gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team,caughtStealingPercentage
119,119,992,1022,468,172,13,130,1079,322,7,984,39,.243,4042,.304,.389,.693,31,70,.693,62,17090,3.70,1059.1,69,50,32,49,56,17,436,1.23,4438,3178,119,2,11,11111,.650,39,3,26,9,1572,0.97,.580,16.13,117,3.35,9.17,2.74,8.36,3.98,1.10,0,11,24,Philadelphia Phillies,
119,119,986,1024,530,194,15,139,1043,396,18,962,50,.242,3973,.317,.403,.720,30,109,.784,61,17570,4.29,1052.2,51,68,19,35,48,16,502,1.29,4461,3158,119,1,5,11232,.640,50,7,32,14,1603,0.96,.429,16.69,118,2.63,8.92,3.39,8.22,4.53,1.19,0,14,28,Atlanta Braves,
120,120,924,1203,535,219,19,130,915,443,22,986,64,.248,3983,.330,.410,.740,24,106,.815,89,17518,4.15,1048.1,44,76,17,34,53,17,483,1.36,4539,3145,120,0,6,10935,.620,64,7,32,13,1633,0.77,.367,16.71,120,2.07,7.86,3.80,8.46,4.59,1.12,4,9,36,Chicago White Sox,
119,119,1007,1130,569,214,19,132,936,370,12,1010,51,.250,4041,.318,.410,.728,19,143,.883,71,17446,4.52,1055.1,57,62,29,48,66,19,530,1.31,4508,3166,119,0,9,11139,.640,51,5,41,3,1658,0.89,.479,16.53,119,2.53,7.98,3.16,8.61,4.85,1.13,4,7,35,Miami Marlins,
120,120,1003,1048,518,176,17,136,1066,416,9,915,40,.229,3999,.306,.383,.689,21,75,.781,69,17569,4.01,1062.2,64,56,31,48,72,17,474,1.25,4493,3188,120,0,10,11139,.630,40,3,36,14,1533,0.96,.533,16.53,120,2.56,9.03,3.52,7.75,4.39,1.15,5,11,22,New York Yankees,
119,119,938,1120,456,168,12,129,1029,393,14,906,43,.229,3950,.304,.376,.680,23,61,.726,76,17362,3.58,1059.1,75,44,34,46,81,12,421,1.23,4431,3178,119,0,11,11050,.640,43,5,26,6,1485,0.84,.630,16.39,119,2.62,8.74,3.34,7.70,3.87,1.10,2,16,27,Milwaukee Brewers,
120,120,1021,1109,595,169,15,163,952,454,37,1059,34,.259,4091,.335,.427,.762,17,90,.841,110,17843,4.62,1065.0,58,62,28,55,68,27,547,1.42,4630,3195,120,0,5,11402,.640,34,8,47,5,1747,0.92,.483,16.75,120,2.10,8.05,3.84,8.95,5.03,1.38,1,13,37,Los Angeles Angels,
120,120,1033,1102,587,252,18,148,978,380,17,1053,49,.255,4125,.324,.433,.757,21,80,.792,83,17594,4.54,1068.0,58,62,32,54,62,22,539,1.34,4597,3204,120,0,7,11164,.630,49,8,23,9,1785,0.94,.483,16.47,120,2.57,8.24,3.20,8.87,4.95,1.25,2,17,24,Arizona Diamondbacks,
119,119,988,1070,594,197,21,164,976,388,10,1079,38,.265,4067,.333,.445,.778,19,81,.810,75,17551,4.82,1044.1,53,66,28,43,79,15,559,1.40,4541,3133,119,1,4,11229,.640,38,5,44,9,1810,0.92,.445,16.81,118,2.52,8.41,3.34,9.30,5.12,1.41,2,14,32,Baltimore Orioles,
121,121,1061,1078,517,154,5,121,997,403,15,1009,57,.246,4100,.320,.375,.695,34,102,.750,89,17765,3.74,1083.0,66,55,32,54,64,22,450,1.30,4613,3249,121,2,7,11410,.640,57,5,35,2,1536,0.98,.545,16.40,119,2.47,8.29,3.35,8.39,4.30,1.01,8,12,33,Boston Red Sox,
118,118,924,1216,487,166,13,148,890,303,8,973,37,.246,3956,.303,.407,.710,27,58,.682,82,16599,3.89,1047.2,67,51,26,39,76,13,453,1.22,4345,3143,118,0,13,10910,.660,37,0,21,17,1609,0.76,.568,15.84,118,2.94,7.65,2.60,8.36,4.18,1.27,2,15,32,Chicago Cubs,.318
121,121,930,1208,503,209,12,133,999,379,9,945,46,.234,4030,.305,.391,.696,24,85,.780,61,17696,3.86,1068.2,63,58,29,44,77,15,458,1.24,4509,3206,121,3,6,11355,.640,46,2,30,8,1577,0.77,.521,16.56,118,2.64,8.41,3.19,7.96,4.24,1.12,2,21,31,Cincinnati Reds,
118,118,934,1119,488,176,13,126,994,419,16,943,39,.239,3940,.316,.387,.703,30,83,.735,70,17442,3.81,1050.2,62,56,35,51,83,16,445,1.30,4449,3152,118,1,10,11102,.640,39,7,36,13,1523,0.83,.525,16.60,117,2.37,8.51,3.59,8.08,4.18,1.08,1,15,35,Cleveland Guardians,
119,119,1101,1110,768,253,26,173,779,415,13,1263,45,.301,4197,.367,.497,.864,26,100,.794,105,17646,6.01,1037.1,31,88,21,41,47,20,693,1.62,4716,3112,119,0,2,11147,.630,45,6,52,7,2087,0.99,.261,17.01,119,1.88,6.76,3.60,10.96,6.66,1.50,3,12,44,Colorado Rockies,
121,121,1028,1060,508,178,14,137,1031,348,12,976,49,.241,4051,.307,.393,.700,27,62,.697,82,17404,3.87,1071.1,69,52,32,48,55,16,461,1.24,4494,3214,121,1,10,11282,.650,49,1,35,7,1593,0.97,.570,16.25,120,2.96,8.66,2.92,8.20,4.27,1.15,2,14,30,Detroit Tigers,
120,120,892,1090,479,195,10,142,1138,363,6,920,47,.231,3987,.300,.392,.692,19,123,.866,64,17372,3.79,1067.0,67,53,35,47,71,12,449,1.20,4453,3201,120,3,9,11107,.640,47,3,29,8,1561,0.82,.558,16.28,117,3.13,9.60,3.06,7.76,4.04,1.20,3,21,32,Houston Astros,
120,120,1012,1150,462,184,20,121,947,361,16,959,32,.238,4033,.304,.383,.687,18,33,.647,83,17199,3.63,1068.0,60,60,34,49,62,15,431,1.24,4462,3204,120,0,10,11045,.640,32,2,38,7,1546,0.88,.500,16.10,120,2.62,7.98,3.04,8.08,3.89,1.02,1,15,20,Kansas City Royals,
120,120,972,1066,540,191,23,145,1069,418,22,986,52,.244,4045,.320,.410,.730,29,86,.748,70,17859,4.15,1068.1,68,52,35,54,91,19,493,1.31,4563,3205,120,0,5,11327,.630,52,3,48,9,1658,0.91,.567,16.72,120,2.56,9.01,3.52,8.31,4.55,1.22,0,14,34,Los Angeles Dodgers,
119,119,982,1149,656,200,26,148,906,401,4,1105,68,.271,4081,.343,.441,.784,33,79,.705,80,17831,5.34,1044.1,47,72,22,36,47,14,620,1.44,4611,3133,119,0,7,11350,.640,68,3,52,5,1801,0.85,.395,17.07,119,2.26,7.81,3.46,9.52,5.65,1.28,0,17,44,Washington Nationals,
119,119,1053,1008,488,177,17,108,1012,426,6,958,57,.240,3992,.320,.374,.694,29,53,.646,76,17895,3.71,1055.0,64,55,35,55,78,20,435,1.31,4518,3165,119,1,7,11285,.630,57,4,46,5,1493,1.04,.538,16.96,118,2.38,8.63,3.63,8.17,4.16,0.92,4,11,28,New York Mets,
