Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Pittsburgh Pirates,21,28.4,4.11,23,39,.371,3.88,62,62,61,1,7,0,13,550.0,485,255,237,50,192,9,456,25,1,17,2297,108,3.78,1.231,7.9,0.8,3.1,7.5,2.38,405
San Diego Padres,20,29.5,3.90,35,25,.583,3.56,60,60,58,2,10,2,22,534.0,449,234,211,62,192,6,523,23,3,14,2224,113,3.83,1.200,7.6,1.0,3.2,8.8,2.72,396
Seattle Mariners,26,27.6,4.38,32,28,.533,3.87,60,60,60,0,1,0,18,546.2,540,263,235,64,186,12,479,23,1,14,2336,96,3.99,1.328,8.9,1.1,3.1,7.9,2.58,450
San Francisco Giants,17,29.5,3.47,34,28,.548,3.06,62,62,62,0,4,0,18,547.0,472,215,186,41,186,6,535,21,1,20,2266,126,3.23,1.203,7.8,0.7,3.1,8.8,2.88,419
St. Louis Cardinals,19,30.1,4.22,33,27,.550,3.88,60,60,59,1,7,1,17,530.2,495,253,229,47,167,6,431,19,2,17,2230,105,3.65,1.247,8.4,0.8,2.8,7.3,2.58,393
Tampa Bay Rays,17,27.6,3.61,32,29,.525,3.43,61,61,60,1,5,0,15,545.1,469,220,208,79,161,3,475,23,0,7,2221,113,4.23,1.155,7.7,1.3,2.7,7.8,2.95,370
Texas Rangers,21,32.0,3.40,29,33,.468,3.17,62,62,61,1,6,1,17,539.1,444,211,190,53,177,4,483,18,3,24,2211,119,3.65,1.151,7.4,0.9,3.0,8.1,2.73,382
Toronto Blue Jays,24,31.0,4.30,32,29,.525,4.03,61,61,61,0,4,0,18,544.2,482,262,244,85,177,7,555,27,4,16,2265,104,4.19,1.210,8.0,1.4,2.9,9.2,3.14,379
Washington Nationals,18,28.2,5.08,29,32,.475,4.99,61,61,61,0,5,0,18,536.0,532,310,297,59,210,1,485,41,1,33,2344,80,4.10,1.384,8.9,1.0,3.5,8.1,2.31,429
League Average,22,29.3,4.30,31,31,.500,4.00,61,61,61,0,5,0,16,543,502,264,241,66,199,7,507,24,2,18,2305,102,4.01,1.289,8.3,1.1,3.3,8.4,2.55,419
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,658,29.3,4.30,920,920,.500,4.00,1840,1840,1830,10,139,5,476,16299.2,15046,7911,7241,1968,5966,204,15197,709,72,552,69145,102,4.01,1.289,8.3,1.1,3.3,8.4,2.55,12567
