game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
567169,1.9285714285714286,4.4,2.0454545454545454,2.7857142857142856
567467,4.0,2.0,2.857142857142857,3.0
567562,3.8333333333333335,4.25,2.3125,3.7777777777777777
564742,1.1578947368421053,2.1,1.826086956521739,2.2777777777777777
565130,1.2222222222222223,8.333333333333334,1.736842105263158,4.3
565420,1.7142857142857142,4.833333333333333,2.0,3.75
565519,1.7777777777777777,1.1666666666666667,1.5454545454545454,1.5
566096,2.3333333333333335,3.6,1.8888888888888888,2.6
566186,8.0,2.2857142857142856,5.714285714285714,3.6363636363636362
566285,2.7142857142857144,4.0,2.9285714285714284,3.0714285714285716
566574,2.5,1.5333333333333334,2.526315789473684,1.875
566674,3.2222222222222223,2.0,3.176470588235294,2.6470588235294117
566775,2.142857142857143,3.8,2.230769230769231,3.0
567372,1.5833333333333333,1.8333333333333333,1.8888888888888888,2.230769230769231
567468,4.4,1.8,2.9285714285714284,3.0833333333333335
567563,3.7142857142857144,12.0,2.25,4.25
564743,0.9523809523809523,1.8888888888888888,1.4814814814814814,2.3529411764705883
564937,2.0,3.8333333333333335,2.238095238095238,1.85
564938,1.7692307692307692,5.666666666666667,2.210526315789474,2.0
565131,1.5555555555555556,4.2,2.125,4.3
565322,2.0,1.8461538461538463,2.75,2.142857142857143
565323,1.3,1.6666666666666667,1.875,2.0384615384615383
565421,1.7777777777777777,3.2857142857142856,2.3529411764705883,3.3333333333333335
566097,2.75,5.0,2.0555555555555554,2.533333333333333
566187,5.0,1.875,4.555555555555555,3.727272727272727
566286,5.333333333333333,5.5,2.923076923076923,3.2857142857142856
566575,2.6363636363636362,1.5384615384615385,2.6315789473684212,2.0
566675,4.125,1.9,3.2941176470588234,2.4210526315789473
566776,1.7777777777777777,2.75,2.1333333333333333,3.1
567373,1.5833333333333333,2.4,2.111111111111111,2.4545454545454546
567469,3.142857142857143,1.7272727272727273,2.933333333333333,2.2
567564,2.3636363636363638,16.0,2.0,4.375
564744,1.2105263157894737,2.8333333333333335,1.5,2.8666666666666667
564939,2.3636363636363638,6.0,2.5294117647058822,2.411764705882353
565132,5.0,4.0,2.2857142857142856,4.3
565324,1.7142857142857142,1.4444444444444444,1.9375,1.896551724137931
565422,2.111111111111111,5.5,2.533333333333333,3.8461538461538463
565521,2.2857142857142856,1.1666666666666667,1.5714285714285714,1.5789473684210527
566098,2.1818181818181817,3.4,2.2941176470588234,2.5625
566188,4.75,1.5,4.222222222222222,3.6363636363636362
566287,4.75,6.0,2.7857142857142856,3.357142857142857
566576,2.7777777777777777,1.5833333333333333,2.8823529411764706,1.7391304347826086
