Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
577.0,Forrest Whitley,27.0,HOU,AL,-0.1,0.0,0.0,,10.13,2.0,0.0,1.0,0.0,0.0,0.0,2.2,1.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,14.0,45.0,10.21,1.875,3.4,3.4,13.5,10.1,0.75,
578.0,Nick Burdi,32.0,BOS,AL,0.1,0.0,0.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.1,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,,3.51,2.143,15.4,0.0,3.9,3.9,1.0,
579.0,Caleb Freeman,27.0,CHW,AL,-0.1,0.0,0.0,,7.71,4.0,0.0,2.0,0.0,0.0,0.0,2.1,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,61.0,8.23,2.143,15.4,3.9,3.9,7.7,2.0,
580.0,Yosver Zulueta,27.0,CIN,NL,0.0,0.0,0.0,,3.86,2.0,0.0,1.0,0.0,0.0,0.0,2.1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,132.0,3.51,0.429,0.0,0.0,3.9,3.9,1.0,
581.0,Tucker Barnhart,34.0,TEX,AL,-0.1,0.0,0.0,,13.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,34.0,4.58,2.5,22.5,0.0,0.0,0.0,,
582.0,Cody Bolton,27.0,CLE,AL,-0.1,0.0,0.0,,13.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,35.0,2.08,2.0,18.0,0.0,0.0,4.5,,
583.0,Chris Devenski,34.0,NYM,NL,-0.1,0.0,0.0,,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,51.0,2.58,1.5,9.0,0.0,4.5,9.0,2.0,
584.0,Nic Enright,28.0,CLE,AL,0.1,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,,0.08,1.0,9.0,0.0,0.0,13.5,,
585.0,Kevin Herget,34.0,NYM,NL,0.0,0.0,0.0,,4.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,102.0,2.08,1.5,13.5,0.0,0.0,4.5,,
586.0,Brooks Kriske,31.0,CHC,NL,0.1,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,,5.08,1.5,4.5,0.0,9.0,4.5,0.5,
587.0,Sam Moll*,33.0,CIN,NL,-0.2,0.0,0.0,,18.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,12.0,29.0,13.08,3.0,13.5,4.5,13.5,4.5,0.33,
588.0,Tyler Owens,24.0,DET,AL,0.1,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,,2.08,0.5,4.5,0.0,0.0,4.5,,
589.0,Michael Petersen,31.0,ATL,NL,0.1,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,,2.08,0.0,0.0,0.0,0.0,4.5,,
590.0,Jacob Stallings,35.0,COL,NL,0.0,0.0,0.0,,4.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,119.0,2.08,1.0,9.0,0.0,0.0,4.5,,
591.0,Robert Stock,35.0,BOS,AL,0.0,0.0,0.0,,4.5,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,108.0,4.58,2.0,13.5,0.0,4.5,0.0,0.0,
592.0,Touki Toussaint,29.0,LAA,AL,0.0,0.0,0.0,,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,11.0,54.0,1.58,2.5,18.0,0.0,4.5,13.5,3.0,
593.0,Jordan Wicks*,25.0,CHC,NL,-0.4,0.0,1.0,0.0,13.5,2.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,34.0,1.08,3.0,27.0,0.0,0.0,9.0,,
594.0,Will Wilson,26.0,CLE,AL,-0.1,0.0,0.0,,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,9.58,1.0,9.0,4.5,0.0,0.0,,
595.0,Sauryn Lao,25.0,SEA,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,,-0.52,1.8,16.2,0.0,0.0,16.2,,
596.0,Richard Lovelady*,29.0,TOR,AL,-0.2,0.0,1.0,0.0,21.6,2.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,4.0,4.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,12.0,23.0,8.48,2.4,10.8,0.0,10.8,16.2,1.5,
597.0,TomÃ¡s Nido,31.0,DET,AL,0.1,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,,4.88,0.0,0.0,0.0,0.0,0.0,,
598.0,Adam Ottavino,39.0,NYY,AL,0.1,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,9.0,,6.68,2.4,0.0,0.0,21.6,16.2,0.75,
599.0,Hunter Stratton,28.0,PIT,NL,-0.2,0.0,0.0,,21.6,2.0,0.0,1.0,0.0,0.0,0.0,1.2,6.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,12.68,4.2,32.4,5.4,5.4,0.0,0.0,
600.0,Jhonathan DÃ­az*,28.0,SEA,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,,1.58,0.75,6.8,0.0,0.0,6.8,,
601.0,Bailey Horn*,27.0,DET,AL,0.1,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,,0.08,0.75,6.8,0.0,0.0,13.5,,
602.0,Grant Wolfram*,28.0,BAL,AL,-0.1,0.0,0.0,,13.5,2.0,0.0,0.0,0.0,0.0,0.0,1.1,3.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,36.0,6.08,3.75,20.3,0.0,13.5,6.8,0.5,
603.0,Jacob Amaya,26.0,CHW,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.08,0.0,0.0,0.0,0.0,0.0,,
604.0,Aaron Ashby*,27.0,MIL,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,,-0.92,1.0,9.0,0.0,0.0,18.0,,
605.0,Willi Castro,28.0,MIN,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,3.08,1.0,9.0,0.0,0.0,0.0,,
606.0,Davis Daniel,28.0,ATL,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,,4.08,0.0,0.0,0.0,0.0,9.0,,
607.0,Ezequiel DurÃ¡n,26.0,TEX,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.08,0.0,0.0,0.0,0.0,0.0,,
608.0,Austin Hedges,32.0,CLE,AL,0.0,0.0,0.0,,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,61.0,4.08,3.0,18.0,0.0,9.0,9.0,1.0,
609.0,KikÃ© HernÃ¡ndez,33.0,LAD,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,3.08,2.0,18.0,0.0,0.0,0.0,,
610.0,Christian Koss,27.0,SFG,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,3.08,1.0,9.0,0.0,0.0,0.0,,
611.0,Ryan Loutos,26.0,LAD,NL,-0.1,0.0,0.0,,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,30.0,4.08,4.0,27.0,0.0,9.0,9.0,1.0,
612.0,Jorge Mateo,30.0,BAL,AL,-0.2,0.0,0.0,,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,12.0,25.08,7.0,45.0,9.0,18.0,0.0,0.0,
613.0,Easton McGee,27.0,MIL,NL,0.1,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,1.08,0.0,0.0,0.0,0.0,9.0,,
614.0,Anthony Molina,23.0,COL,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,1.08,0.0,0.0,0.0,0.0,9.0,,
615.0,Leo Rivas,27.0,SEA,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,,6.08,4.0,27.0,0.0,9.0,0.0,0.0,
616.0,Emmanuel Rivera,29.0,BAL,AL,-0.2,0.0,0.0,,72.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,22.08,10.0,72.0,9.0,18.0,0.0,0.0,
617.0,Amed Rosario,29.0,WSN,NL,-0.1,0.0,0.0,,36.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,22.08,7.0,45.0,9.0,18.0,0.0,0.0,
618.0,Gary SÃ¡nchez,32.0,BAL,AL,-0.1,0.0,0.0,,36.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,15.0,22.08,3.0,18.0,9.0,9.0,0.0,0.0,
619.0,Michael Stefanic,29.0,TOR,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.08,0.0,0.0,0.0,0.0,0.0,,
620.0,Kade Strowd,27.0,BAL,AL,0.0,0.0,0.0,,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,59.0,1.08,2.0,18.0,0.0,0.0,9.0,,
621.0,Abraham Toro,28.0,BOS,AL,-0.1,0.0,0.0,,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,6.08,5.0,36.0,0.0,9.0,0.0,0.0,
622.0,Alan Trejo,29.0,COL,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,3.08,1.0,9.0,0.0,0.0,0.0,,
623.0,Tyler Wade,30.0,SDP,NL,0.0,0.0,0.0,,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,61.0,6.08,3.0,18.0,0.0,9.0,0.0,0.0,
624.0,Austin Warren,29.0,NYM,NL,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,,4.08,1.0,0.0,0.0,9.0,9.0,1.0,
625.0,Nathan Wiles,26.0,ATL,NL,-0.1,0.0,0.0,,27.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,21.0,1.08,4.0,36.0,0.0,0.0,9.0,,
626.0,Luke Little*,24.0,CHC,NL,-0.1,0.0,0.0,,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,21.08,6.0,0.0,0.0,54.0,0.0,0.0,
627.0,Daniel Robert,30.0,PHI,NL,0.0,0.0,0.0,,13.5,2.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,48.0,10.58,6.0,13.5,0.0,40.5,27.0,0.67,
628.0,Ty Adcock,28.0,NYM,NL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,,12.08,6.0,27.0,0.0,27.0,0.0,0.0,
629.0,Carlos DurÃ¡n,23.0,ATH,AL,-0.2,0.0,0.0,,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,30.08,12.0,27.0,0.0,81.0,0.0,0.0,
630.0,Nicky Lopez,30.0,LAA,AL,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,12.08,3.0,0.0,0.0,27.0,0.0,0.0,
,League Average,,,,,,,0.5,4.03,,,,,,,,,,,,,,,,,,,100.0,4.03,1.295,8.3,1.1,3.3,8.4,2.53,
