Commence_Time,Home_Team,Away_Team,Bookmaker,Market,Team,Odds
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,FanDuel,Moneyline,Milwaukee Brewers,-112
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,FanDuel,Moneyline,Pittsburgh Pirates,-104
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,MyBookie.ag,Moneyline,Milwaukee Brewers,-115
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,MyBookie.ag,Moneyline,Pittsburgh Pirates,-102
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,BetRivers,Moneyline,Milwaukee Brewers,-115
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,BetRivers,Moneyline,Pittsburgh Pirates,-103
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,DraftKings,Moneyline,Milwaukee Brewers,-115
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,DraftKings,Moneyline,Pittsburgh Pirates,-105
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,BetMGM,Moneyline,Milwaukee Brewers,-115
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,BetMGM,Moneyline,Pittsburgh Pirates,-105
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,Bovada,Moneyline,Milwaukee Brewers,-113
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,Bovada,Moneyline,Pittsburgh Pirates,-107
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,BetUS,Moneyline,Milwaukee Brewers,-108
2025-05-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,BetUS,Moneyline,Pittsburgh Pirates,-102
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,FanDuel,Moneyline,Atlanta Braves,-156
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,FanDuel,Moneyline,Washington Nationals,132
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetOnline.ag,Moneyline,Atlanta Braves,-151
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetOnline.ag,Moneyline,Washington Nationals,137
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,LowVig.ag,Moneyline,Atlanta Braves,-151
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,LowVig.ag,Moneyline,Washington Nationals,137
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,MyBookie.ag,Moneyline,Atlanta Braves,-161
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,MyBookie.ag,Moneyline,Washington Nationals,137
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,DraftKings,Moneyline,Atlanta Braves,-155
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,DraftKings,Moneyline,Washington Nationals,130
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetMGM,Moneyline,Atlanta Braves,-155
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetMGM,Moneyline,Washington Nationals,130
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetRivers,Moneyline,Atlanta Braves,-157
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetRivers,Moneyline,Washington Nationals,132
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,Bovada,Moneyline,Atlanta Braves,-154
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,Bovada,Moneyline,Washington Nationals,129
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetUS,Moneyline,Atlanta Braves,-151
2025-05-22T22:45:00Z,Washington Nationals,Atlanta Braves,BetUS,Moneyline,Washington Nationals,135
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,FanDuel,Moneyline,Houston Astros,114
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,FanDuel,Moneyline,Seattle Mariners,-134
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,LowVig.ag,Moneyline,Houston Astros,122
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,LowVig.ag,Moneyline,Seattle Mariners,-135
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetOnline.ag,Moneyline,Houston Astros,122
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetOnline.ag,Moneyline,Seattle Mariners,-135
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,DraftKings,Moneyline,Houston Astros,120
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,DraftKings,Moneyline,Seattle Mariners,-142
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,MyBookie.ag,Moneyline,Houston Astros,118
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,MyBookie.ag,Moneyline,Seattle Mariners,-139
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetUS,Moneyline,Houston Astros,122
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetUS,Moneyline,Seattle Mariners,-135
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetMGM,Moneyline,Houston Astros,115
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetMGM,Moneyline,Seattle Mariners,-135
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,Bovada,Moneyline,Houston Astros,115
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,Bovada,Moneyline,Seattle Mariners,-138
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetRivers,Moneyline,Houston Astros,114
2025-05-23T00:10:00Z,Houston Astros,Seattle Mariners,BetRivers,Moneyline,Seattle Mariners,-132
2025-05-23T22:41:00Z,Cincinnati Reds,Chicago Cubs,FanDuel,Moneyline,Chicago Cubs,-120
2025-05-23T22:41:00Z,Cincinnati Reds,Chicago Cubs,FanDuel,Moneyline,Cincinnati Reds,102
2025-05-23T22:41:00Z,Pittsburgh Pirates,Milwaukee Brewers,FanDuel,Moneyline,Milwaukee Brewers,112
2025-05-23T22:41:00Z,Pittsburgh Pirates,Milwaukee Brewers,FanDuel,Moneyline,Pittsburgh Pirates,-132
2025-05-23T22:46:00Z,Washington Nationals,San Francisco Giants,FanDuel,Moneyline,San Francisco Giants,-104
2025-05-23T22:46:00Z,Washington Nationals,San Francisco Giants,FanDuel,Moneyline,Washington Nationals,-112
2025-05-23T23:06:00Z,Tampa Bay Rays,Toronto Blue Jays,FanDuel,Moneyline,Tampa Bay Rays,-146
2025-05-23T23:06:00Z,Tampa Bay Rays,Toronto Blue Jays,FanDuel,Moneyline,Toronto Blue Jays,124
2025-05-23T23:11:00Z,Detroit Tigers,Cleveland Guardians,FanDuel,Moneyline,Cleveland Guardians,110
2025-05-23T23:11:00Z,Detroit Tigers,Cleveland Guardians,FanDuel,Moneyline,Detroit Tigers,-130
2025-05-23T23:11:00Z,New York Mets,Los Angeles Dodgers,FanDuel,Moneyline,Los Angeles Dodgers,-120
2025-05-23T23:11:00Z,New York Mets,Los Angeles Dodgers,FanDuel,Moneyline,New York Mets,102
2025-05-23T23:41:00Z,Chicago White Sox,Texas Rangers,FanDuel,Moneyline,Chicago White Sox,152
2025-05-23T23:41:00Z,Chicago White Sox,Texas Rangers,FanDuel,Moneyline,Texas Rangers,-180
2025-05-24T00:11:00Z,Houston Astros,Seattle Mariners,FanDuel,Moneyline,Houston Astros,-134
2025-05-24T00:11:00Z,Houston Astros,Seattle Mariners,FanDuel,Moneyline,Seattle Mariners,114
2025-05-24T00:11:00Z,Minnesota Twins,Kansas City Royals,FanDuel,Moneyline,Kansas City Royals,136
2025-05-24T00:11:00Z,Minnesota Twins,Kansas City Royals,FanDuel,Moneyline,Minnesota Twins,-162
2025-05-24T00:16:00Z,St. Louis Cardinals,Arizona Diamondbacks,FanDuel,Moneyline,Arizona Diamondbacks,-130
2025-05-24T00:16:00Z,St. Louis Cardinals,Arizona Diamondbacks,FanDuel,Moneyline,St. Louis Cardinals,110
2025-05-24T01:39:00Z,Los Angeles Angels,Miami Marlins,FanDuel,Moneyline,Los Angeles Angels,-142
2025-05-24T01:39:00Z,Los Angeles Angels,Miami Marlins,FanDuel,Moneyline,Miami Marlins,120
