game_pk,id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
263835,1061,2010,2010-04-07T00:00:00.000Z,False,regular,STATUS_FINAL,PNC Park,False,22,14,pittsburgh-pirates,los-angeles-dodgers,PIT,LAD,Pittsburgh Pirates,Los Angeles Dodgers,Pirates,Dodgers,Pirates,Dodgers,Pittsburgh,Los Angeles,National,National,Central,West,4,3,,,,,,
263852,1403,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Nationals Park,False,30,21,washington-nationals,philadelphia-phillies,WSH,PHI,Washington Nationals,Philadelphia Phillies,Nationals,Phillies,Nationals,Phillies,Washington,Philadelphia,National,National,East,East,6,5,,,,,,
263855,1400,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Choctaw Stadium,False,28,29,texas-rangers,toronto-blue-jays,TEX,TOR,Texas Rangers,Toronto Blue Jays,Rangers,Blue Jays,Rangers,Blue Jays,Texas,Toronto,American,American,West,East,1,3,,,,,,
263854,1398,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,26,cincinnati-reds,st-louis-cardinals,CIN,STL,Cincinnati Reds,St. Louis Cardinals,Reds,Cardinals,Reds,Cardinals,Cincinnati,St. Louis,National,National,Central,Central,2,1,,,,,,
263853,1402,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Oakland Coliseum,False,20,25,oakland-athletics,seattle-mariners,OAK,SEA,Oakland Athletics,Seattle Mariners,Athletics,Mariners,Athletics,Mariners,Oakland,Seattle,American,American,West,West,6,2,,,,,,
263850,1408,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Angel Stadium,False,13,17,los-angeles-angels,minnesota-twins,LAA,MIN,Los Angeles Angels,Minnesota Twins,Angels,Twins,Angels,Twins,Los Angeles,Minnesota,American,American,West,Central,1,10,,,,,,
263849,1399,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,PNC Park,False,22,14,pittsburgh-pirates,los-angeles-dodgers,PIT,LAD,Pittsburgh Pirates,Los Angeles Dodgers,Pirates,Dodgers,Pirates,Dodgers,Pittsburgh,Los Angeles,National,National,Central,West,2,10,,,,,,
263848,1405,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Citi Field,False,18,15,new-york-mets,miami-marlins,NYM,MIA,New York Mets,Miami Marlins,Mets,Marlins,Mets,Marlins,New York,Miami,National,National,East,East,1,3,,,,,,
263847,1401,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,10,kansas-city-royals,detroit-tigers,KC,DET,Kansas City Royals,Detroit Tigers,Royals,Tigers,Royals,Tigers,Kansas City,Detroit,American,American,Central,Central,3,7,,,,,,
263846,1407,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Guaranteed Rate Field,False,6,8,chicago-white-sox,cleveland-guardians,CHW,CLE,Chicago White Sox,Cleveland Guardians,White Sox,Guardians,White Sox,Guardians,Chicago,Cleveland,American,American,Central,Central,3,5,,,,,,
263845,1404,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Center Parc Stadium,False,2,5,atlanta-braves,chicago-cubs,ATL,CHC,Atlanta Braves,Chicago Cubs,Braves,Cubs,Braves,Cubs,Atlanta,Chicago,National,National,East,Central,0,2,,,,,,
263844,1406,2010,2010-04-08T00:00:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,3,tampa-bay-rays,baltimore-orioles,TB,BAL,Tampa Bay Rays,Baltimore Orioles,Rays,Orioles,Rays,Orioles,Tampa Bay,Baltimore,American,American,East,East,4,5,,,,,,
263870,1648,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Minute Maid Park,False,11,21,houston-astros,philadelphia-phillies,HOU,PHI,Houston Astros,Philadelphia Phillies,Astros,Phillies,Astros,Phillies,Houston,Philadelphia,American,National,West,East,0,8,,,,,,
263869,1642,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Oracle Park,False,24,2,san-francisco-giants,atlanta-braves,SF,ATL,San Francisco Giants,Atlanta Braves,Giants,Braves,Giants,Braves,San Francisco,Atlanta,National,National,West,East,5,4,,,,,,
263868,1644,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Citi Field,False,18,30,new-york-mets,washington-nationals,NYM,WSH,New York Mets,Washington Nationals,Mets,Nationals,Mets,Nationals,New York,Washington,National,National,East,East,8,2,,,,,,
263867,1640,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Oriole Park at Camden Yards,False,3,29,baltimore-orioles,toronto-blue-jays,BAL,TOR,Baltimore Orioles,Toronto Blue Jays,Orioles,Blue Jays,Orioles,Blue Jays,Baltimore,Toronto,American,American,East,East,6,7,,,,,,
263866,1651,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Miller Park,False,16,26,milwaukee-brewers,st-louis-cardinals,MIL,STL,Milwaukee Brewers,St. Louis Cardinals,Brewers,Cardinals,Brewers,Cardinals,Milwaukee,St. Louis,National,National,Central,Central,4,5,,,,,,
263865,1647,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Choctaw Stadium,False,28,25,texas-rangers,seattle-mariners,TEX,SEA,Texas Rangers,Seattle Mariners,Rangers,Mariners,Rangers,Mariners,Texas,Seattle,American,American,West,West,6,2,,,,,,
263863,1652,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Chase Field,False,1,22,arizona-diamondbacks,pittsburgh-pirates,ARI,PIT,Arizona Diamondbacks,Pittsburgh Pirates,Diamondbacks,Pirates,Diamondbacks,Pirates,Arizona,Pittsburgh,National,National,West,Central,9,1,,,,,,
263864,1641,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,23,colorado-rockies,san-diego-padres,COL,SD,Colorado Rockies,San Diego Padres,Rockies,Padres,Rockies,Padres,Colorado,San Diego,National,National,West,West,7,0,,,,,,
263861,1646,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,19,tampa-bay-rays,new-york-yankees,TB,NYY,Tampa Bay Rays,New York Yankees,Rays,Yankees,Rays,Yankees,Tampa Bay,New York,American,American,East,East,9,3,,,,,,
263860,1649,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Guaranteed Rate Field,False,6,17,chicago-white-sox,minnesota-twins,CHW,MIN,Chicago White Sox,Minnesota Twins,White Sox,Twins,White Sox,Twins,Chicago,Minnesota,American,American,Central,Central,3,4,,,,,,
263859,1645,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Hard Rock Stadium,False,15,14,miami-marlins,los-angeles-dodgers,MIA,LAD,Miami Marlins,Los Angeles Dodgers,Marlins,Dodgers,Marlins,Dodgers,Miami,Los Angeles,National,National,East,West,3,7,,,,,,
263858,1639,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Comerica Park,False,10,8,detroit-tigers,cleveland-guardians,DET,CLE,Detroit Tigers,Cleveland Guardians,Tigers,Guardians,Tigers,Guardians,Detroit,Cleveland,American,American,Central,Central,5,2,,,,,,
263857,1643,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,5,cincinnati-reds,chicago-cubs,CIN,CHC,Cincinnati Reds,Chicago Cubs,Reds,Cubs,Reds,Cubs,Cincinnati,Chicago,National,National,Central,Central,5,4,,,,,,
263856,1650,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Kauffman Stadium,False,12,4,kansas-city-royals,boston-red-sox,KC,BOS,Kansas City Royals,Boston Red Sox,Royals,Red Sox,Royals,Red Sox,Kansas City,Boston,American,American,Central,East,4,3,,,,,,
263862,1653,2010,2010-04-09T00:00:00.000Z,False,regular,STATUS_FINAL,Angel Stadium,False,13,20,los-angeles-angels,oakland-athletics,LAA,OAK,Los Angeles Angels,Oakland Athletics,Angels,Athletics,Angels,Athletics,Los Angeles,Oakland,American,American,West,West,4,10,,,,,,
263880,1731,2010,2010-04-10T00:00:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,23,colorado-rockies,san-diego-padres,COL,SD,Colorado Rockies,San Diego Padres,Rockies,Padres,Rockies,Padres,Colorado,San Diego,National,National,West,West,4,5,,,,,,
263885,1727,2010,2010-04-10T00:00:00.000Z,False,regular,STATUS_FINAL,Minute Maid Park,False,11,21,houston-astros,philadelphia-phillies,HOU,PHI,Houston Astros,Philadelphia Phillies,Astros,Phillies,Astros,Phillies,Houston,Philadelphia,American,National,West,East,6,9,,,,,,
263884,1722,2010,2010-04-10T00:00:00.000Z,False,regular,STATUS_FINAL,Citi Field,False,18,30,new-york-mets,washington-nationals,NYM,WSH,New York Mets,Washington Nationals,Mets,Nationals,Mets,Nationals,New York,Washington,National,National,East,East,3,4,,,,,,
