Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
462.0,Reese McGuire*,30.0,CHC,NL,0.3,8.0,31.0,30.0,5.0,8.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,0.267,0.267,0.5,0.767,116.0,0.323,109.0,15.0,0.0,0.0,1.0,0.0,0.0,/2,
463.0,Jacob Melton*,24.0,HOU,AL,0.3,11.0,31.0,29.0,3.0,7.0,0.0,1.0,0.0,6.0,3.0,0.0,2.0,12.0,0.241,0.29,0.31,0.601,69.0,0.287,60.0,9.0,1.0,0.0,0.0,0.0,0.0,/789H,
464.0,Andruw Monasterio,28.0,MIL,NL,0.0,17.0,30.0,25.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,0.16,0.3,0.24,0.54,56.0,0.261,59.0,6.0,0.0,0.0,0.0,0.0,0.0,/635H4,
465.0,Heriberto HernÃ¡ndez,25.0,MIA,NL,0.6,10.0,29.0,27.0,4.0,11.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,7.0,0.407,0.448,0.593,1.041,185.0,0.484,213.0,16.0,0.0,0.0,0.0,0.0,0.0,/79DH,
466.0,Willie MacIver,28.0,ATH,AL,0.0,9.0,29.0,28.0,2.0,6.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,0.214,0.241,0.286,0.527,48.0,0.239,36.0,8.0,0.0,0.0,0.0,0.0,0.0,/21,
467.0,John Rave*,27.0,KCR,AL,0.0,14.0,29.0,25.0,1.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,10.0,0.24,0.286,0.32,0.606,70.0,0.251,56.0,8.0,1.0,0.0,1.0,1.0,0.0,9/78H,
468.0,Aaron Schunk,27.0,COL,NL,-0.3,11.0,29.0,28.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.214,0.214,0.25,0.464,26.0,0.207,7.0,7.0,1.0,0.0,1.0,0.0,0.0,/65H4D,
469.0,Hayden Senger,28.0,NYM,NL,0.2,13.0,29.0,28.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.179,0.207,0.214,0.421,22.0,0.189,13.0,6.0,0.0,0.0,0.0,0.0,0.0,2,
470.0,Nicky Lopez*,30.0,2TM,2LG,-0.5,18.0,28.0,24.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.042,0.179,0.042,0.22,-32.0,0.129,-32.0,1.0,1.0,0.0,0.0,0.0,0.0,5/6H147D,
470.0,Nicky Lopez*,30.0,LAA,AL,-0.2,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,0.0,-132.0,0.0,0.0,0.0,0.0,0.0,0.0,/5167,
470.0,Nicky Lopez*,30.0,CHC,NL,-0.3,14.0,22.0,18.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.056,0.227,0.056,0.283,-12.0,0.164,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,5/H64D,
471.0,James Outman*,28.0,LAD,NL,0.0,9.0,27.0,24.0,5.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,13.0,0.125,0.222,0.375,0.597,67.0,0.263,63.0,9.0,0.0,0.0,0.0,0.0,0.0,/89H,
472.0,Luke Keaschall,22.0,MIN,AL,0.4,7.0,26.0,19.0,4.0,7.0,3.0,0.0,0.0,2.0,5.0,0.0,5.0,2.0,0.368,0.538,0.526,1.065,200.0,0.518,212.0,10.0,0.0,2.0,0.0,0.0,0.0,/D4,
473.0,Jared Young*,29.0,NYM,NL,0.0,11.0,26.0,23.0,3.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,7.0,0.174,0.269,0.478,0.747,111.0,0.323,109.0,11.0,1.0,1.0,0.0,0.0,0.0,/DH7,
474.0,Vidal BrujÃ¡n#,27.0,CHC,NL,-0.2,20.0,25.0,25.0,3.0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,0.2,0.2,0.28,0.48,37.0,0.195,25.0,7.0,0.0,0.0,0.0,0.0,0.0,/H579D468,
475.0,Jonny DeLuca,26.0,TBR,AL,0.4,9.0,25.0,23.0,4.0,10.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,4.0,0.435,0.48,0.522,1.002,187.0,0.466,184.0,12.0,0.0,0.0,0.0,0.0,0.0,/8DH,
476.0,David Fry,29.0,CLE,AL,-0.1,10.0,25.0,21.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,11.0,0.143,0.28,0.286,0.566,61.0,0.271,60.0,6.0,1.0,1.0,0.0,0.0,0.0,/DH,
477.0,Ryan Ritter,24.0,COL,NL,0.1,6.0,25.0,24.0,1.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,0.25,0.28,0.417,0.697,86.0,0.298,76.0,10.0,1.0,1.0,0.0,0.0,0.0,/6,
478.0,Michael Stefanic,29.0,TOR,AL,0.0,9.0,25.0,22.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.182,0.28,0.182,0.462,34.0,0.222,29.0,4.0,0.0,0.0,0.0,0.0,0.0,/4H16,
479.0,David Villar,28.0,SFG,NL,0.0,9.0,25.0,20.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.2,0.36,0.25,0.61,82.0,0.296,90.0,5.0,1.0,1.0,0.0,0.0,0.0,/3H5D,
480.0,Logan Davidson#,27.0,ATH,AL,-0.3,9.0,24.0,20.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,12.0,0.15,0.261,0.2,0.461,33.0,0.218,23.0,4.0,1.0,0.0,1.0,0.0,0.0,/35H4,
481.0,Jose Siri,29.0,NYM,NL,-0.2,10.0,24.0,20.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,8.0,0.05,0.208,0.1,0.308,-7.0,0.19,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,/8H,
482.0,Otto Kemp,25.0,PHI,NL,-0.2,6.0,23.0,22.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.273,0.304,0.318,0.623,74.0,0.252,64.0,7.0,0.0,0.0,0.0,0.0,0.0,/53,
483.0,Jordan Lawlar,22.0,ARI,NL,-0.4,8.0,22.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.136,0.0,0.136,-57.0,0.095,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,/4H56D,
484.0,Jose Barrero,27.0,STL,NL,0.0,16.0,21.0,20.0,4.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,0.15,0.19,0.35,0.54,48.0,0.236,40.0,7.0,0.0,1.0,0.0,0.0,0.0,/48H695,
485.0,Bobby Dalbec,30.0,CHW,AL,0.0,7.0,21.0,18.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,0.222,0.333,0.278,0.611,76.0,0.282,75.0,5.0,1.0,0.0,0.0,0.0,0.0,/36H5,
486.0,Keston Hiura,28.0,COL,NL,0.0,8.0,21.0,18.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.222,0.333,0.278,0.611,69.0,0.294,73.0,5.0,0.0,3.0,0.0,0.0,0.0,/3,
487.0,JosÃ© AzÃ³car,29.0,2TM,NL,0.0,13.0,20.0,18.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.278,0.35,0.278,0.628,85.0,0.304,86.0,5.0,0.0,0.0,0.0,0.0,0.0,/H789D,
487.0,JosÃ© AzÃ³car,29.0,NYM,NL,0.0,12.0,20.0,18.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.278,0.35,0.278,0.628,85.0,0.304,86.0,5.0,0.0,0.0,0.0,0.0,0.0,/H789,
487.0,JosÃ© AzÃ³car,29.0,ATL,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/DH,
488.0,Luis Campusano,26.0,SDP,NL,-0.2,8.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.3,0.0,0.3,-7.0,0.209,19.0,0.0,1.0,0.0,0.0,0.0,0.0,/DH,
489.0,Rece Hinds,24.0,CIN,NL,0.1,7.0,20.0,19.0,2.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,10.0,0.158,0.2,0.526,0.726,89.0,0.303,80.0,10.0,0.0,0.0,0.0,0.0,0.0,/9,
490.0,Manuel Margot,30.0,DET,AL,-0.1,6.0,20.0,19.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.316,0.3,0.316,0.616,75.0,0.264,63.0,6.0,0.0,0.0,0.0,1.0,0.0,/9H,
491.0,Michael Siani*,25.0,STL,NL,-0.2,19.0,19.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.235,0.316,0.235,0.551,59.0,0.264,60.0,4.0,0.0,0.0,0.0,0.0,0.0,8/H,
492.0,Kyle Teel*,23.0,CHW,AL,0.1,6.0,19.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.214,0.421,0.214,0.635,88.0,0.292,102.0,3.0,0.0,0.0,0.0,0.0,0.0,/2D,
493.0,Akil Baddoo*,26.0,DET,AL,0.3,7.0,18.0,17.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.118,0.167,0.176,0.343,-2.0,0.172,-15.0,3.0,0.0,0.0,0.0,0.0,0.0,/798H,
494.0,MoisÃ©s Ballesteros*,21.0,CHC,NL,-0.1,5.0,18.0,16.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.188,0.278,0.188,0.465,38.0,0.223,37.0,3.0,1.0,0.0,0.0,0.0,0.0,/D,
495.0,Johnathan RodrÃ­guez,25.0,CLE,AL,-0.2,8.0,18.0,17.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.176,0.222,0.235,0.458,30.0,0.258,57.0,4.0,1.0,0.0,0.0,0.0,0.0,/97HD,
496.0,Blake Sabol*,27.0,BOS,AL,-0.1,8.0,18.0,16.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.125,0.167,0.188,0.354,-1.0,0.158,-18.0,3.0,1.0,0.0,0.0,1.0,0.0,/2DH,
497.0,CJ Alexander*,28.0,ATH,AL,-0.2,6.0,17.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.176,0.176,0.176,0.353,0.0,0.158,-17.0,3.0,0.0,0.0,0.0,0.0,0.0,/35H79,
