Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
11.0,St. Louis Cardinals,36,31,0.537,L 3,4.7,4.3,0.4,0.1,0.5,36-31,0.0,10-9,8-5,5-1,13-16,22-13,14-18,1-5,12-10,24-20,12-11,21-19,15-12,4-6,10-10,18-12
12.0,Tampa Bay Rays,36,31,0.537,L 1,4.4,3.7,0.7,0.0,0.7,39-28,-3.0,10-8,2-4,8-8,16-11,23-20,13-11,4-2,12-11,26-21,10-10,19-16,17-15,7-3,15-5,20-10
13.0,Minnesota Twins,35,31,0.53,L 1,4.2,3.9,0.4,-0.1,0.2,36-30,-1.0,10-5,10-12,8-6,7-8,19-11,16-20,3-4,7-10,30-27,5-4,17-23,18-8,4-6,9-11,19-11
14.0,Milwaukee Brewers,36,32,0.529,W 1,4.4,4.1,0.3,0.1,0.3,36-32,0.0,4-1,9-8,5-8,18-15,20-13,16-19,3-2,10-9,23-23,13-9,21-23,15-9,6-4,13-7,17-13
15.0,Cleveland Guardians,34,32,0.515,L 2,3.8,4.2,-0.3,0.1,-0.2,30-36,4.0,7-8,14-5,4-5,9-14,18-15,16-17,4-1,8-6,30-19,4-13,21-24,13-8,4-6,9-11,13-17
16.0,Cincinnati Reds,35,33,0.515,W 5,4.5,3.9,0.6,-0.1,0.5,39-29,-4.0,3-7,10-13,9-3,13-10,18-16,17-17,1-5,7-10,27-20,8-13,18-19,17-14,6-4,11-9,16-14
17.0,Kansas City Royals,34,33,0.507,L 1,3.4,3.7,-0.3,0.1,-0.1,31-36,3.0,8-8,13-14,3-3,10-8,19-14,15-19,4-3,12-9,27-28,7-5,21-27,13-6,4-6,9-11,13-17
18.0,Seattle Mariners,33,33,0.5,L 2,4.4,4.5,-0.2,-0.2,-0.3,32-34,1.0,5-10,5-4,15-10,8-9,16-17,17-16,4-6,13-10,22-25,11-8,14-17,19-16,3-7,6-14,11-19
19.0,Arizona Diamondbacks,33,34,0.493,W 2,5.1,5.2,-0.1,0.2,0.1,33-34,0.0,13-11,6-13,7-6,7-4,17-17,16-17,3-5,10-12,24-24,9-10,19-24,14-10,6-4,8-12,14-16
20.0,Los Angeles Angels,32,34,0.485,W 2,4.2,5.0,-0.8,0.0,-0.8,28-38,4.0,7-8,6-10,9-8,10-8,14-16,18-18,4-0,12-5,29-28,3-6,19-23,13-11,6-4,11-9,17-13
21.0,Boston Red Sox,33,36,0.478,W 1,4.9,4.7,0.2,0.0,0.3,36-33,-3.0,11-11,9-10,5-8,8-7,18-17,15-19,4-8,6-17,26-27,7-9,18-21,15-15,5-5,9-11,13-17
22.0,Texas Rangers,32,35,0.478,W 3,3.5,3.3,0.2,0.0,0.2,35-32,-3.0,8-11,4-3,8-12,12-9,20-13,12-22,0-0,9-13,26-25,6-10,17-24,15-11,5-5,7-13,14-16
23.0,Washington Nationals,30,36,0.455,L 3,4.2,5.0,-0.8,-0.1,-0.9,28-38,2.0,8-12,4-9,9-6,9-9,15-18,15-18,2-2,11-8,22-26,8-10,13-22,17-14,4-6,11-9,13-17
24.0,Atlanta Braves,28,38,0.424,L 1,4.0,4.0,0.1,0.0,0.1,34-32,-6.0,7-7,7-5,6-19,8-7,17-14,11-24,5-2,9-19,22-31,6-7,16-24,12-14,2-8,5-15,11-19
25.0,Baltimore Orioles,26,39,0.4,L 2,3.8,5.2,-1.4,0.0,-1.4,23-42,3.0,8-8,7-15,6-3,5-13,12-18,14-21,1-2,9-8,22-25,4-14,15-25,11-14,7-3,11-9,13-17
26.0,Pittsburgh Pirates,27,41,0.397,L 1,3.2,4.0,-0.8,0.2,-0.6,27-41,0.0,11-11,7-12,4-8,5-10,18-19,9-22,3-3,13-14,21-31,6-10,16-33,11-8,6-4,12-8,15-15
27.0,Miami Marlins,25,40,0.385,W 1,4.0,5.4,-1.4,0.1,-1.3,24-41,1.0,6-8,8-7,3-15,8-10,14-20,11-20,4-3,10-13,18-31,7-9,14-25,11-15,3-7,7-13,11-19
28.0,Athletics,26,43,0.377,L 2,4.3,6.0,-1.7,-0.1,-1.8,24-45,2.0,3-7,6-4,8-14,9-18,12-23,14-20,3-3,8-11,20-36,6-7,10-31,16-12,3-7,4-16,6-24
29.0,Chicago White Sox,23,44,0.343,W 1,3.5,4.3,-0.7,0.0,-0.7,28-39,-5.0,3-7,6-17,8-11,6-9,16-18,7-26,2-2,4-16,17-35,6-9,14-28,9-16,5-5,9-11,13-17
30.0,Colorado Rockies,12,54,0.182,L 4,3.2,6.2,-3.0,0.3,-2.7,15-51,-3.0,5-17,1-8,3-14,3-15,6-26,6-28,0-4,6-12,11-36,1-18,5-43,7-11,3-7,4-16,6-24
,Average,33,33,0.5,,4.3,4.3,,,,33-33,,8-7,7-8,7-7,9-9,18-14,14-18,3-3,10-10,25-24,7-9,17-22,15-10,5-4,10-9,15-14
