game_pk,date,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10
381151,2014-05-15,1.8181818181818181,2.6666666666666665,2.357142857142857,2.6666666666666665
381152,2014-05-15,5.625,5.0,4.25,5.090909090909091
381153,2014-05-15,1.7272727272727273,1.3076923076923077,2.3333333333333335,1.3076923076923077
381154,2014-05-16,2.1538461538461537,4.111111111111111,2.9411764705882355,4.777777777777778
381155,2014-05-16,3.5,1.5625,2.272727272727273,2.1052631578947367
381156,2014-05-16,4.5,3.6666666666666665,4.5,3.076923076923077
381157,2014-05-16,2.2222222222222223,1.2,2.25,1.8333333333333333
381158,2014-05-16,5.111111111111111,3.727272727272727,5.076923076923077,4.125
381159,2014-05-16,2.7,4.25,2.5555555555555554,5.5
381160,2014-05-16,2.6666666666666665,3.0,2.6666666666666665,2.2142857142857144
381161,2014-05-16,2.727272727272727,4.6,2.8125,3.6666666666666665
381162,2014-05-16,4.666666666666667,3.375,3.6,3.6
381163,2014-05-16,2.875,2.1818181818181817,2.7142857142857144,2.388888888888889
381165,2014-05-16,1.6666666666666667,6.0,1.894736842105263,2.7142857142857144
381166,2014-05-16,1.1,1.0769230769230769,0.9444444444444444,1.0
381167,2014-05-16,2.875,1.9,2.6666666666666665,2.4
381168,2014-05-16,3.5454545454545454,4.857142857142857,4.153846153846154,3.2666666666666666
381169,2014-05-17,1.0555555555555556,3.1818181818181817,1.2222222222222223,3.0588235294117645
381170,2014-05-17,0.8571428571428571,2.6,0.8571428571428571,2.4615384615384617
381171,2014-05-17,1.1428571428571428,2.4,1.55,2.4
381172,2014-05-17,2.4,2.4545454545454546,2.4,2.75
381173,2014-05-17,4.375,5.25,4.7272727272727275,4.833333333333333
381174,2014-05-17,6.0,25.0,6.0,25.0
381175,2014-05-17,2.0714285714285716,1.4285714285714286,3.066666666666667,1.3636363636363635
381176,2014-05-17,3.0,1.5714285714285714,2.0,2.1666666666666665
381177,2014-05-17,2.909090909090909,8.666666666666666,2.7222222222222223,7.6
381178,2014-05-17,6.0,4.6,6.0,4.666666666666667
381179,2014-05-17,1.0,1.5,1.0,1.7692307692307692
381180,2014-05-17,2.2222222222222223,2.3,2.2857142857142856,3.272727272727273
381181,2014-05-17,2.3333333333333335,2.2857142857142856,2.3333333333333335,2.1
381182,2014-05-17,2.3076923076923075,1.4615384615384615,2.8421052631578947,1.25
381183,2014-05-17,4.75,1.0,2.6666666666666665,1.8235294117647058
381164,2014-05-18,1.3333333333333333,3.2222222222222223,1.3333333333333333,2.8125
381184,2014-05-18,0.0,6.5,0.0,6.5
381185,2014-05-18,5.0,2.3333333333333335,4.666666666666667,1.8636363636363635
381186,2014-05-18,1.5555555555555556,1.6153846153846154,1.5555555555555556,1.4782608695652173
381187,2014-05-18,5.0,1.5333333333333334,7.25,1.8823529411764706
381188,2014-05-18,1.2352941176470589,2.1818181818181817,1.5185185185185186,2.1818181818181817
381189,2014-05-18,3.0,3.2857142857142856,3.0,4.222222222222222
381190,2014-05-18,1.8333333333333333,1.6666666666666667,1.9411764705882353,1.6666666666666667
381191,2014-05-18,2.272727272727273,3.875,2.933333333333333,3.2857142857142856
381192,2014-05-18,6.25,1.368421052631579,5.25,1.7083333333333333
381193,2014-05-18,2.3333333333333335,2.9,2.260869565217391,4.25
381194,2014-05-18,7.333333333333333,1.4166666666666667,5.142857142857143,1.8235294117647058
381195,2014-05-18,1.5,0.0,2.142857142857143,0.0
381196,2014-05-18,5.0,2.3333333333333335,2.8333333333333335,5.0
381197,2014-05-18,3.0,14.0,3.0,11.666666666666666
381198,2014-05-18,0.6666666666666666,2.4166666666666665,0.6666666666666666,1.7407407407407407
381199,2014-05-19,4.8,1.1666666666666667,3.6363636363636362,1.1666666666666667
381200,2014-05-19,6.166666666666667,3.3333333333333335,4.666666666666667,3.090909090909091
381201,2014-05-19,6.714285714285714,2.4,5.076923076923077,2.4
381202,2014-05-19,3.6,5.166666666666667,2.7,4.2727272727272725
381203,2014-05-19,4.0,5.2,4.0,3.9
381204,2014-05-20,4.0,2.625,3.7333333333333334,2.25
381205,2014-05-20,1.75,2.5,2.227272727272727,2.4285714285714284
381206,2014-05-20,3.7777777777777777,1.2307692307692308,3.3125,1.2307692307692308
381207,2014-05-20,0.0,4.1,0.0,4.222222222222222
381208,2014-05-20,4.0,1.9285714285714286,4.0,1.9583333333333333
381209,2014-05-20,2.4444444444444446,1.875,2.5384615384615383,1.8
381210,2014-05-20,1.5,3.4444444444444446,1.5,2.6666666666666665
381211,2014-05-20,3.3,2.2222222222222223,2.875,2.4375
381212,2014-05-20,5.285714285714286,1.25,5.0,1.6666666666666667
381213,2014-05-20,3.857142857142857,7.6,3.5833333333333335,9.428571428571429
381214,2014-05-20,2.909090909090909,6.5,2.4444444444444446,6.5
381215,2014-05-20,7.0,3.0,7.0,1.7307692307692308
381216,2014-05-20,3.5714285714285716,15.0,4.142857142857143,15.0
381217,2014-05-20,1.5833333333333333,4.125,1.631578947368421,3.6875
381218,2014-05-20,2.3333333333333335,1.4285714285714286,1.8125,1.4285714285714286
381219,2014-05-21,3.3636363636363638,9.0,4.428571428571429,5.2
381220,2014-05-21,2.857142857142857,1.7692307692307692,2.857142857142857,2.15
381221,2014-05-21,2.6,4.333333333333333,2.25,3.0
381222,2014-05-21,4.5,1.8888888888888888,3.3333333333333335,2.3076923076923075
381223,2014-05-21,2.4,3.0,2.411764705882353,3.65
381224,2014-05-21,3.125,3.4,2.5,3.4
381225,2014-05-21,3.0,2.7142857142857144,3.0,2.8181818181818183
381226,2014-05-21,3.625,6.666666666666667,4.6,3.5384615384615383
381227,2014-05-21,2.3333333333333335,23.0,2.3043478260869565,6.666666666666667
381228,2014-05-21,2.4166666666666665,2.0,2.6842105263157894,2.0
381229,2014-05-21,1.4615384615384615,1.4615384615384615,1.5714285714285714,1.8
381230,2014-05-21,3.0,2.5714285714285716,4.166666666666667,2.4615384615384617
381231,2014-05-21,2.6666666666666665,1.2727272727272727,2.6666666666666665,0.9411764705882353
381232,2014-05-21,0.875,2.066666666666667,0.875,2.1176470588235294
381233,2014-05-21,1.5,3.875,2.357142857142857,3.4375
381234,2014-05-22,2.1666666666666665,2.75,2.789473684210526,2.3333333333333335
381235,2014-05-22,4.0,1.625,2.625,1.625
381236,2014-05-22,2.625,1.5333333333333334,3.3,1.8928571428571428
381237,2014-05-22,3.1,1.2857142857142858,2.1904761904761907,1.375
381238,2014-05-22,3.142857142857143,4.0,3.1666666666666665,5.083333333333333
381239,2014-05-22,7.4,2.25,3.4705882352941178,2.4210526315789473
381240,2014-05-22,4.142857142857143,1.2857142857142858,4.142857142857143,1.2857142857142858
381241,2014-05-22,2.8,2.4166666666666665,2.8,2.4761904761904763
381242,2014-05-22,3.0,2.8333333333333335,2.5,2.8333333333333335
381244,2014-05-22,3.5,3.5,3.5,4.0625
381245,2014-05-22,3.6666666666666665,1.2307692307692308,4.5625,1.9444444444444444
381246,2014-05-22,1.6666666666666667,0.0,2.0,0.0
381248,2014-05-23,1.3333333333333333,5.5,2.05,4.3076923076923075
381249,2014-05-23,0.0,4.285714285714286,0.0,2.45
381250,2014-05-23,2.2222222222222223,0.0,2.357142857142857,0.0
381251,2014-05-23,3.4,1.5,3.4,1.75
381252,2014-05-23,2.4444444444444446,0.0,5.0,0.0
381253,2014-05-23,2.75,1.1428571428571428,2.9047619047619047,1.1428571428571428
381254,2014-05-23,1.2,9.333333333333334,1.8823529411764706,9.333333333333334
381255,2014-05-23,1.3571428571428572,3.1,1.5416666666666667,3.125
381256,2014-05-23,2.0,1.0,2.888888888888889,1.05
381257,2014-05-23,2.25,9.0,2.25,4.777777777777778
381258,2014-05-23,0.0,2.375,0.0,3.5833333333333335
381259,2014-05-23,2.1,1.2666666666666666,2.5555555555555554,1.3793103448275863
381260,2014-05-23,2.1818181818181817,0.0,1.9285714285714286,0.0
381261,2014-05-23,1.8181818181818181,5.0,2.0555555555555554,4.3
381262,2014-05-24,1.3888888888888888,2.5,1.7692307692307692,2.6666666666666665
381263,2014-05-24,18.5,1.3846153846153846,12.833333333333334,1.5925925925925926
381264,2014-05-24,0.0,1.6428571428571428,0.0,2.8333333333333335
381265,2014-05-24,3.0,4.888888888888889,2.0869565217391304,4.933333333333334
381266,2014-05-24,3.5,1.2,3.5,2.1333333333333333
381267,2014-05-24,1.4444444444444444,3.2857142857142856,1.4444444444444444,2.8181818181818183
381268,2014-05-24,2.25,4.0,2.25,4.538461538461538
