Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
126.0,Michael Massey*,27.0,KCR,AL,-0.7,46.0,174.0,164.0,9.0,34.0,5.0,0.0,2.0,14.0,1.0,0.0,4.0,27.0,0.207,0.225,0.274,0.5,40.0,0.218,26.0,45.0,3.0,1.0,1.0,4.0,0.0,*4/7DH,
127.0,Eric Wagaman,27.0,MIA,NL,-0.3,44.0,174.0,161.0,19.0,39.0,10.0,1.0,3.0,12.0,1.0,1.0,12.0,32.0,0.242,0.293,0.373,0.666,81.0,0.305,84.0,60.0,5.0,0.0,0.0,1.0,0.0,37/DH5,
128.0,Byron Buxton,31.0,MIN,AL,1.8,41.0,173.0,157.0,33.0,41.0,5.0,3.0,10.0,27.0,8.0,0.0,11.0,56.0,0.261,0.312,0.522,0.834,128.0,0.36,121.0,82.0,0.0,2.0,0.0,3.0,1.0,*8/D,
129.0,Dylan Crews,23.0,WSN,NL,0.5,45.0,173.0,158.0,24.0,31.0,2.0,1.0,7.0,15.0,11.0,3.0,11.0,48.0,0.196,0.266,0.354,0.62,75.0,0.287,75.0,56.0,0.0,4.0,0.0,0.0,0.0,*98,
130.0,Max Kepler*,32.0,PHI,NL,0.5,45.0,173.0,153.0,20.0,35.0,10.0,0.0,5.0,16.0,0.0,0.0,17.0,36.0,0.229,0.312,0.392,0.704,95.0,0.31,91.0,60.0,2.0,2.0,0.0,1.0,1.0,*7/9H8,
131.0,George Springer,35.0,TOR,AL,0.7,45.0,173.0,144.0,24.0,38.0,11.0,1.0,5.0,18.0,7.0,0.0,25.0,45.0,0.264,0.374,0.458,0.833,136.0,0.372,135.0,66.0,7.0,1.0,0.0,1.0,1.0,9D8/H7,
132.0,Keibert Ruiz#,26.0,WSN,NL,0.6,43.0,172.0,161.0,16.0,45.0,8.0,0.0,2.0,18.0,0.0,2.0,8.0,18.0,0.28,0.326,0.366,0.692,97.0,0.321,108.0,59.0,2.0,3.0,0.0,0.0,0.0,*2/H,
133.0,Victor Scott II*,24.0,STL,NL,1.6,46.0,172.0,149.0,25.0,41.0,8.0,1.0,2.0,18.0,13.0,1.0,17.0,42.0,0.275,0.349,0.383,0.732,105.0,0.34,103.0,57.0,1.0,1.0,3.0,2.0,0.0,*8/97,
134.0,Kyle Manzardo*,24.0,CLE,AL,0.5,43.0,171.0,148.0,18.0,32.0,5.0,2.0,10.0,26.0,1.0,0.0,19.0,45.0,0.216,0.304,0.48,0.784,120.0,0.333,114.0,71.0,3.0,1.0,0.0,3.0,1.0,D3/H,
135.0,J.T. Realmuto,34.0,PHI,NL,0.7,41.0,171.0,154.0,17.0,37.0,8.0,1.0,5.0,19.0,4.0,1.0,17.0,41.0,0.24,0.316,0.403,0.718,99.0,0.324,99.0,62.0,9.0,0.0,0.0,0.0,1.0,*2/D,
