game_pk,home_bp_k_per_9_rolling_5,away_bp_k_per_9_rolling_5,home_bp_k_per_9_rolling_10,away_bp_k_per_9_rolling_10
381950,6.882352941176472,5.4,8.228571428571428,5.04
381951,13.701512987332816,2.3823389274180737,12.10344827586207,3.857131836766181
381952,5.170201765528159,14.727272727272727,6.1518831597894685,10.636363636363637
381953,10.43179447319438,7.269244748547592,11.185682326621924,7.636386776929628
381954,7.534901243956381,7.163279925061071,8.901108682537014,6.750016875042187
381955,8.100081000810007,7.8,8.852517065685678,7.027406886858749
381956,6.428571428571429,7.977308987768126,7.105263157894737,7.714285714285714
381957,9.486435208458332,9.692307692307692,8.231657124041927,10.43186559938909
381958,8.678602423580083,5.142820408425655,8.650493835430908,6.657488647338032
381959,10.6875,11.076923076923077,11.57140313977332,8.510860314282267
381960,11.290929619872035,7.243990780375369,9.514312898036852,6.230841125089904
381961,6.06123685966706,8.735319809764146,7.0,8.41560627430201
381962,7.838734963661174,6.2790405626020345,8.510860314282267,7.043470604923256
381963,8.64003456013824,5.170201765528159,8.650493835430908,5.634772809090768
381964,6.480025920103681,12.272783058104809,8.40569209695131,11.571452186637115
381965,5.282620179609087,4.821445790877825,8.072173270281722,4.068498723970855
381966,13.500036486585097,4.799968000213331,12.818181818181818,4.618408898923951
381967,5.522714721102906,13.965469084589365,5.6841955679064,10.983032232148759
381968,8.217355576714885,6.230781213040794,10.3845754439406,7.485163336957102
381969,7.163279925061071,8.099983800032401,8.804366966015143,7.243911273062528
381970,8.437552734704592,9.367366055849093,8.409891212401394,8.41560627430201
381972,6.230817160132002,5.684240443370755,4.183110374958802,7.875024609451905
381973,8.307692307692308,9.160747002667865,10.28575102053936,8.650493835430908
381974,11.853716359592,13.921896752963676,10.741970135387534,13.106808841561982
381975,8.1,11.089325319018995,7.767133927580723,9.52943979246998
381976,5.869539697653488,9.169845923946882,4.939012343872332,8.83637970250855
381977,7.147142907563618,6.096764360057485,5.961100894554748,9.679227020326378
381978,10.636363636363637,7.64149501604714,8.064924591007024,7.220921836137399
381979,4.909099834726972,5.249999999999999,6.683181550854556,5.468340586479528
381980,10.04653499194184,8.526293351859602,8.544314613056473,9.592080020842051
381981,13.499948077122783,6.0967938606253576,10.887079214388363,7.887631586930802
381982,7.147016782254221,10.12506328164551,6.2876281669303635,8.723144024184801
381983,8.265322990455083,5.510215326970056,8.0,7.83000783000783
381984,8.099959500202498,12.21419847001093,7.105255678678233,9.346081953215743
381985,7.0,8.79071811794911,6.126045272230864,8.258833245686173
381986,7.799999999999999,6.0,7.573179967292643,5.899154706592684
380737,5.7272727272727275,10.431865599389088,7.518996859489695,9.62378143323056
381987,3.5217697545196045,7.000077778641985,4.576286699276946,8.011024224282306
381988,8.4,9.327289685981247,9.73258077344366,7.548387096774194
381989,12.0,13.05,11.060267615102687,12.844672664730743
381990,5.684195567906401,10.968818555115966,7.762519406298516,10.231600487579975
381991,7.363619628137208,9.918387588546098,5.926814812646799,9.34617181956119
381992,9.204587293578605,5.890887669499383,6.977590809805031,9.865375129446988
381993,10.8,8.4375,7.807219509374085,7.120886946029612
381994,4.7368421052631575,5.651175932967285,6.291268243949752,5.337203096275469
381995,10.04653499194184,9.219489708561687,7.8607694440119555,9.246550009452028
381996,10.241343995365535,3.6486585098878646,10.720572469746367,7.56
381997,8.774956125219374,9.236890720477476,6.662303052971154,9.26871205201225
381998,6.428571428571429,6.517252615952787,7.185489665717472,8.538461538461538
381999,8.61700294254693,11.571345918957721,7.163257996675513,9.548722263888635
382000,6.113196012837712,11.769321302471555,5.349046511232998,9.818207320019011
382001,8.4,7.081978822916103,7.67046326189007,6.230769230769231
382002,4.973710387949411,6.517286326112593,5.10812191384301,7.941199827058315
382003,7.714285714285714,9.6,9.418626554945478,8.24209658726675
382004,12.6,13.5,11.000040740891635,12.633039112879919
382005,6.42857142857143,10.323559775175807,8.437521093802733,10.903867122821389
382006,7.232129942625102,8.804366966015143,5.522714721102907,9.089126909162196
382007,11.152198156952513,6.157862327040384,8.544379507160189,9.086529724490648
382008,10.0,7.297317019775729,8.307692307692308,7.156643750948798
382009,5.823529411764706,5.940023760095039,6.06123685966706,5.4
382010,9.6,8.54995725021375,8.202542028534214,8.437473632894896
382011,10.124968359473877,5.023267495970921,11.758045551539432,7.615384615384615
382012,8.790656787642847,8.526360665056131,7.1565920164240175,8.865724571489979
382013,6.954545454545454,8.500000000000002,6.967747554635125,8.052631578947368
382014,7.2,8.999925000624994,6.5675675675675675,8.999928000575995
382015,6.893602354037545,12.34292767387242,5.288648889383734,10.323559775175807
