Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
96.0,Quinn Priester,24.0,MIL,NL,0.7,4.0,2.0,0.667,3.65,12.0,8.0,1.0,0.0,0.0,0.0,61.2,54.0,27.0,25.0,6.0,26.0,0.0,43.0,0.0,0.0,2.0,258.0,108.0,4.22,1.297,7.9,0.9,3.8,6.3,1.65,
97.0,Patrick Corbin*,35.0,TEX,AL,0.6,3.0,5.0,0.375,3.52,11.0,11.0,0.0,1.0,0.0,0.0,61.1,54.0,24.0,24.0,10.0,18.0,0.0,43.0,1.0,0.0,3.0,249.0,108.0,4.73,1.174,7.9,1.5,2.6,6.3,2.39,
98.0,Logan Allen*,26.0,CLE,AL,0.2,4.0,4.0,0.5,4.28,13.0,12.0,0.0,0.0,0.0,0.0,61.0,64.0,32.0,29.0,7.0,28.0,0.0,46.0,2.0,0.0,2.0,271.0,95.0,4.54,1.508,9.4,1.0,4.1,6.8,1.64,
99.0,Casey Mize,28.0,DET,AL,1.1,6.0,2.0,0.75,2.95,11.0,11.0,0.0,0.0,0.0,0.0,61.0,60.0,21.0,20.0,9.0,18.0,0.0,55.0,0.0,0.0,1.0,257.0,135.0,4.08,1.279,8.9,1.3,2.7,8.1,3.06,
100.0,Cade Povich*,25.0,BAL,AL,-0.4,1.0,5.0,0.167,5.46,12.0,12.0,0.0,0.0,0.0,0.0,61.0,71.0,40.0,37.0,10.0,22.0,1.0,64.0,1.0,0.0,4.0,270.0,70.0,4.24,1.525,10.5,1.5,3.2,9.4,2.91,
101.0,Pablo LÃ³pez,29.0,MIN,AL,1.4,5.0,3.0,0.625,2.82,11.0,11.0,0.0,0.0,0.0,0.0,60.2,51.0,22.0,19.0,5.0,14.0,0.0,61.0,3.0,2.0,1.0,247.0,147.0,2.98,1.071,7.6,0.7,2.1,9.0,4.36,
102.0,Bowden Francis,29.0,TOR,AL,-0.9,2.0,8.0,0.2,6.12,13.0,13.0,0.0,0.0,0.0,0.0,60.1,70.0,44.0,41.0,19.0,24.0,0.0,50.0,4.0,0.0,3.0,271.0,69.0,6.91,1.558,10.4,2.8,3.6,7.5,2.08,
103.0,Hunter Greene,25.0,CIN,NL,2.0,4.0,3.0,0.571,2.72,11.0,11.0,0.0,0.0,0.0,0.0,59.2,44.0,18.0,18.0,9.0,14.0,0.0,73.0,2.0,0.0,2.0,237.0,162.0,3.4,0.972,6.6,1.4,2.1,11.0,5.21,
104.0,Cal Quantrill,30.0,MIA,NL,-0.1,3.0,7.0,0.3,5.61,13.0,13.0,0.0,0.0,0.0,0.0,59.1,70.0,38.0,37.0,8.0,19.0,0.0,46.0,2.0,0.0,2.0,255.0,77.0,4.34,1.5,10.6,1.2,2.9,7.0,2.42,
105.0,Bryce Elder,26.0,ATL,NL,0.5,2.0,3.0,0.4,4.08,10.0,10.0,0.0,0.0,0.0,0.0,57.1,51.0,26.0,26.0,9.0,16.0,0.0,49.0,1.0,0.0,1.0,233.0,100.0,4.3,1.169,8.0,1.4,2.5,7.7,3.06,
106.0,Will Warren,26.0,NYY,AL,-0.3,4.0,3.0,0.571,5.34,13.0,13.0,0.0,0.0,0.0,0.0,57.1,53.0,36.0,34.0,6.0,28.0,0.0,75.0,1.0,0.0,2.0,255.0,76.0,3.34,1.413,8.3,0.9,4.4,11.8,2.68,
107.0,Charlie Morton,41.0,BAL,AL,-1.0,2.0,7.0,0.222,6.59,15.0,9.0,1.0,0.0,0.0,0.0,56.0,64.0,43.0,41.0,10.0,31.0,0.0,57.0,4.0,1.0,1.0,265.0,58.0,5.24,1.696,10.3,1.6,5.0,9.2,1.84,
108.0,Eduardo RodrÃ­guez*,32.0,ARI,NL,-0.8,2.0,3.0,0.4,6.27,11.0,11.0,0.0,0.0,0.0,0.0,56.0,70.0,45.0,39.0,10.0,19.0,0.0,60.0,0.0,1.0,2.0,257.0,66.0,4.28,1.589,11.3,1.6,3.1,9.6,3.16,
109.0,Walker Buehler,30.0,BOS,AL,-0.3,5.0,4.0,0.556,5.01,11.0,11.0,0.0,0.0,0.0,0.0,55.2,59.0,33.0,31.0,11.0,18.0,0.0,51.0,6.0,0.0,0.0,244.0,83.0,5.11,1.383,9.5,1.8,2.9,8.2,2.83,
110.0,Michael King,30.0,SDP,NL,1.3,4.0,2.0,0.667,2.59,10.0,10.0,0.0,1.0,1.0,0.0,55.2,40.0,19.0,16.0,6.0,17.0,0.0,64.0,2.0,0.0,2.0,225.0,158.0,3.21,1.024,6.5,1.0,2.7,10.3,3.76,
111.0,Jack Leiter,25.0,TEX,AL,0.3,4.0,3.0,0.571,3.88,11.0,11.0,0.0,0.0,0.0,0.0,55.2,41.0,24.0,24.0,6.0,28.0,0.0,45.0,2.0,1.0,4.0,232.0,98.0,4.48,1.24,6.6,1.0,4.5,7.3,1.61,
112.0,Emerson Hancock,26.0,SEA,AL,0.0,2.0,2.0,0.5,5.04,11.0,11.0,0.0,0.0,0.0,0.0,55.1,63.0,31.0,31.0,10.0,20.0,0.0,41.0,2.0,0.0,2.0,240.0,73.0,5.14,1.5,10.2,1.6,3.3,6.7,2.05,
113.0,Clarke Schmidt,29.0,NYY,AL,1.0,3.0,3.0,0.5,3.6,10.0,10.0,0.0,0.0,0.0,0.0,55.0,44.0,22.0,22.0,6.0,24.0,0.0,57.0,0.0,2.0,2.0,226.0,112.0,3.73,1.236,7.2,1.0,3.9,9.3,2.38,
114.0,Zach Eflin,31.0,BAL,AL,0.7,6.0,2.0,0.75,4.08,9.0,9.0,0.0,0.0,0.0,0.0,53.0,51.0,25.0,24.0,10.0,7.0,0.0,36.0,2.0,0.0,0.0,213.0,94.0,4.68,1.094,8.7,1.7,1.2,6.1,5.14,
115.0,Brayan Bello,26.0,BOS,AL,0.3,2.0,1.0,0.667,3.96,10.0,10.0,0.0,0.0,0.0,0.0,52.1,56.0,26.0,23.0,5.0,25.0,0.0,37.0,4.0,0.0,0.0,234.0,105.0,4.57,1.548,9.6,0.9,4.3,6.4,1.48,
116.0,Justin Verlander,42.0,SFG,NL,0.0,0.0,3.0,0.0,4.33,10.0,10.0,0.0,0.0,0.0,0.0,52.0,52.0,27.0,25.0,8.0,21.0,0.0,41.0,1.0,0.0,0.0,225.0,89.0,4.77,1.404,9.0,1.4,3.6,7.1,1.95,
117.0,Sean Newcomb*,32.0,2TM,AL,0.0,1.0,4.0,0.2,3.78,16.0,5.0,6.0,0.0,0.0,0.0,50.0,65.0,27.0,21.0,3.0,21.0,0.0,48.0,2.0,0.0,2.0,231.0,111.0,3.32,1.72,11.7,0.5,3.8,8.6,2.29,
117.0,Sean Newcomb*,32.0,BOS,AL,-0.2,0.0,4.0,0.0,3.95,12.0,5.0,5.0,0.0,0.0,0.0,41.0,55.0,24.0,18.0,3.0,17.0,0.0,41.0,2.0,0.0,2.0,190.0,105.0,3.42,1.756,12.1,0.7,3.7,9.0,2.41,
117.0,Sean Newcomb*,32.0,ATH,AL,0.2,1.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,10.0,3.0,3.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,41.0,142.0,2.86,1.556,10.0,0.0,4.0,7.0,1.75,
118.0,Edward Cabrera,27.0,MIA,NL,0.7,2.0,2.0,0.5,3.99,10.0,10.0,0.0,0.0,0.0,0.0,49.2,52.0,24.0,22.0,6.0,21.0,0.0,53.0,1.0,0.0,3.0,218.0,108.0,3.85,1.47,9.4,1.1,3.8,9.6,2.52,
119.0,Aaron Nola,32.0,PHI,NL,0.1,1.0,7.0,0.125,6.16,9.0,9.0,0.0,0.0,0.0,0.0,49.2,59.0,35.0,34.0,11.0,16.0,0.0,52.0,3.0,0.0,1.0,220.0,68.0,5.01,1.51,10.7,2.0,2.9,9.4,3.25,
120.0,Hunter Dobbins,25.0,BOS,AL,0.3,3.0,1.0,0.75,4.2,10.0,8.0,0.0,0.0,0.0,0.0,49.1,53.0,24.0,23.0,6.0,10.0,1.0,37.0,2.0,0.0,0.0,207.0,99.0,3.89,1.277,9.7,1.1,1.8,6.8,3.7,
121.0,Ryan Gusto,26.0,HOU,AL,0.0,4.0,3.0,0.571,4.56,15.0,9.0,1.0,0.0,0.0,0.0,49.1,57.0,28.0,25.0,6.0,22.0,0.0,52.0,2.0,0.0,0.0,226.0,89.0,4.01,1.601,10.4,1.1,4.0,9.5,2.36,
122.0,Jackson Jobe,22.0,DET,AL,0.2,4.0,1.0,0.8,4.22,10.0,10.0,0.0,0.0,0.0,0.0,49.0,46.0,24.0,23.0,7.0,27.0,0.0,39.0,2.0,0.0,1.0,218.0,95.0,5.12,1.49,8.4,1.3,5.0,7.2,1.44,
123.0,Mitch Spence,27.0,ATH,AL,0.3,2.0,1.0,0.667,3.67,24.0,2.0,3.0,0.0,0.0,1.0,49.0,44.0,27.0,20.0,5.0,15.0,1.0,45.0,4.0,0.0,1.0,207.0,112.0,3.73,1.204,8.1,0.9,2.8,8.3,3.0,
124.0,Jordan Hicks,28.0,SFG,NL,-0.9,1.0,5.0,0.167,6.47,13.0,9.0,2.0,0.0,0.0,0.0,48.2,55.0,36.0,35.0,3.0,20.0,0.0,43.0,4.0,0.0,4.0,217.0,59.0,3.59,1.541,10.2,0.6,3.7,8.0,2.15,
125.0,Bryce Miller,26.0,SEA,AL,-0.6,2.0,5.0,0.286,5.73,10.0,10.0,0.0,0.0,0.0,0.0,48.2,52.0,31.0,31.0,5.0,23.0,0.0,39.0,3.0,0.0,2.0,216.0,64.0,4.42,1.541,9.6,0.9,4.3,7.2,1.7,
126.0,Reese Olson,25.0,DET,AL,1.1,4.0,3.0,0.571,2.96,9.0,9.0,0.0,0.0,0.0,0.0,48.2,38.0,16.0,16.0,2.0,19.0,1.0,51.0,4.0,0.0,2.0,201.0,135.0,2.94,1.171,7.0,0.4,3.5,9.4,2.68,
127.0,Cole Ragans*,27.0,KCR,AL,-0.2,2.0,3.0,0.4,5.18,10.0,10.0,0.0,0.0,0.0,0.0,48.2,47.0,29.0,28.0,5.0,16.0,0.0,76.0,2.0,0.0,3.0,209.0,80.0,2.4,1.295,8.7,0.9,3.0,14.1,4.75,
128.0,Ronel Blanco,31.0,HOU,AL,0.6,3.0,4.0,0.429,4.1,9.0,9.0,0.0,0.0,0.0,0.0,48.1,37.0,22.0,22.0,7.0,20.0,0.0,48.0,0.0,0.0,0.0,199.0,100.0,4.22,1.179,6.9,1.3,3.7,8.9,2.4,
129.0,Osvaldo Bido,29.0,ATH,AL,-0.4,2.0,4.0,0.333,5.98,11.0,9.0,1.0,0.0,0.0,0.0,46.2,58.0,33.0,31.0,11.0,21.0,0.0,33.0,2.0,0.0,0.0,216.0,69.0,6.21,1.693,11.2,2.1,4.1,6.4,1.57,
130.0,Taijuan Walker,32.0,PHI,NL,0.5,2.0,5.0,0.286,3.69,13.0,8.0,2.0,0.0,0.0,1.0,46.1,44.0,25.0,19.0,4.0,19.0,0.0,41.0,2.0,0.0,1.0,205.0,113.0,3.79,1.36,8.5,0.8,3.7,8.0,2.16,
131.0,Keider Montero,24.0,DET,AL,0.3,2.0,1.0,0.667,4.3,9.0,6.0,0.0,0.0,0.0,0.0,46.0,48.0,23.0,22.0,8.0,17.0,0.0,30.0,2.0,0.0,2.0,197.0,93.0,5.28,1.413,9.4,1.6,3.3,5.9,1.76,
132.0,Brad Lord,25.0,WSN,NL,0.8,1.0,5.0,0.167,3.77,22.0,6.0,2.0,0.0,0.0,0.0,45.1,46.0,20.0,19.0,4.0,20.0,0.0,40.0,2.0,0.0,0.0,198.0,105.0,3.92,1.456,9.1,0.8,4.0,7.9,2.0,
133.0,Bryse Wilson,27.0,CHW,AL,-0.9,0.0,2.0,0.0,6.95,19.0,5.0,7.0,0.0,0.0,0.0,45.1,67.0,37.0,35.0,11.0,19.0,0.0,27.0,2.0,0.0,0.0,218.0,59.0,6.43,1.897,13.3,2.2,3.8,5.4,1.42,
134.0,Ryan Yarbrough*,33.0,NYY,AL,0.4,3.0,1.0,0.75,4.17,14.0,6.0,3.0,0.0,0.0,0.0,45.1,39.0,21.0,21.0,8.0,13.0,0.0,43.0,2.0,0.0,0.0,186.0,97.0,4.47,1.147,7.7,1.6,2.6,8.5,3.31,
135.0,Ryne Nelson,27.0,ARI,NL,0.5,2.0,2.0,0.5,4.6,14.0,4.0,4.0,0.0,0.0,1.0,45.0,35.0,23.0,23.0,4.0,15.0,0.0,38.0,2.0,0.0,0.0,186.0,90.0,3.68,1.111,7.0,0.8,3.0,7.6,2.53,
136.0,Chase Dollander,23.0,COL,NL,-0.6,2.0,6.0,0.25,6.85,10.0,10.0,0.0,0.0,0.0,0.0,44.2,47.0,37.0,34.0,12.0,22.0,0.0,42.0,2.0,0.0,1.0,204.0,67.0,6.3,1.545,9.5,2.4,4.4,8.5,1.91,
