game_pk,home_batting_bb_per_g_rolling_10,away_batting_bb_per_g_rolling_10
778470,2.8333333333333335,3.8333333333333335
778467,4.2,1.8
778462,2.5,3.5
778466,3.8,4.833333333333333
778468,3.5,1.8333333333333333
778458,4.0,2.5
778463,3.5714285714285716,4.666666666666667
778460,4.777777777777778,3.7142857142857144
778465,3.3333333333333335,3.142857142857143
778456,1.8333333333333333,2.857142857142857
778461,4.0,4.0
778444,3.0,4.142857142857143
778457,2.6666666666666665,4.857142857142857
778459,4.166666666666667,3.875
778464,4.142857142857143,3.4285714285714284
778455,2.8333333333333335,2.857142857142857
778454,2.2857142857142856,3.6666666666666665
778453,3.142857142857143,2.0
778447,2.6666666666666665,3.0
778445,4.142857142857143,2.7142857142857144
778440,2.142857142857143,3.0
778450,5.0,3.375
778452,2.2857142857142856,4.5
778448,4.285714285714286,3.888888888888889
778449,3.875,4.285714285714286
778441,2.7142857142857144,2.75
778438,2.25,3.4285714285714284
778446,3.4285714285714284,3.125
778439,3.25,2.125
778451,4.0,3.0
778442,2.4285714285714284,2.875
778436,3.4285714285714284,4.5
778437,2.857142857142857,3.4285714285714284
778429,2.25,4.666666666666667
778443,4.125,4.285714285714286
778443,4.125,4.333333333333333
778443,4.5,4.285714285714286
778443,4.5,4.333333333333333
778432,4.555555555555555,4.5
778434,4.0,3.7
778428,4.0,4.0
778435,3.375,3.2222222222222223
778433,4.125,2.75
778422,2.75,3.0
778419,2.375,2.875
778421,3.3333333333333335,2.111111111111111
778430,5.7,3.111111111111111
778420,2.6666666666666665,3.0
778423,2.5,3.3333333333333335
778427,3.5,4.666666666666667
778425,3.125,3.5
778443,4.125,4.285714285714286
778443,4.125,4.333333333333333
778443,4.5,4.285714285714286
778443,4.5,4.333333333333333
778424,4.555555555555555,3.888888888888889
778415,4.1,4.5
778418,2.5555555555555554,3.1
778426,5.0,3.4
778416,3.3333333333333335,3.2222222222222223
778411,5.8,2.6
778412,2.5555555555555554,2.6666666666666665
778413,4.5,2.8
778405,4.5,3.0
778410,3.4444444444444446,2.2
778414,3.3,3.6
778403,4.6,3.8
778402,3.5555555555555554,2.7777777777777777
778407,3.5,3.2
778408,3.6,4.6
778409,2.6,2.7
778404,5.2,3.4
778417,2.888888888888889,2.888888888888889
778406,3.7777777777777777,4.777777777777778
778401,5.5,2.6
778400,2.7,2.6
778394,2.5555555555555554,3.3
778396,4.2,2.8
778398,4.0,3.1
778397,3.2,2.1
778395,3.4,3.5
778389,3.1,4.3
778390,3.3,2.8
778387,4.1,3.5
778385,5.7,2.4
778381,3.2,3.5
778380,4.9,2.6
778376,3.1,2.1
778392,2.6,3.1
778383,4.0,3.1
778391,3.7,3.0
778386,4.7,3.6
778399,3.0,3.2
778393,4.0,4.6
778388,2.9,2.3
778379,2.7,2.9
778382,3.2,3.5
778378,4.1,3.4
778373,2.8,2.6
778371,2.9,3.2
778377,4.3,3.3
778384,3.9,4.5
778375,4.0,2.6
778374,2.3,3.2
778367,3.0,3.7
778370,3.2,3.2
778369,3.0,2.9
778366,3.3,4.3
778368,3.4,3.2
778363,2.9,3.8
778365,4.1,4.5
778361,3.5,3.4
778360,4.0,2.4
778364,4.9,3.6
778358,3.5,3.2
778356,3.3,5.7
778348,3.0,3.7
778347,4.1,4.3
778355,3.3,4.1
778346,3.9,3.3
778362,2.7,3.4
778353,2.8,3.4
778349,3.5,4.2
778354,3.1,3.6
778359,3.8,2.6
778357,2.5,3.1
778351,3.8,3.2
778350,4.1,3.6
778352,3.1,3.5
778345,3.3,5.4
778341,4.4,2.7
778344,2.7,3.6
778339,3.4,4.2
778342,4.1,2.4
778343,2.8,3.4
778340,2.8,3.7
778337,3.2,3.8
778329,3.9,2.9
778335,2.5,3.6
778338,3.3,4.6
778336,4.0,4.5
778333,3.7,3.3
778330,2.9,3.2
778334,4.2,2.4
778332,4.2,3.5
778331,2.7,4.8
778321,3.5,4.2
778320,4.4,4.3
778328,2.6,4.0
778327,3.8,2.5
778322,3.6,3.5
778324,2.6,3.9
778323,3.2,3.6
778325,3.3,4.4
778315,2.8,4.7
778326,3.0,3.1
778314,3.7,4.0
778316,3.1,3.8
778318,3.5,4.2
778313,4.4,4.0
778317,2.6,3.8
778319,2.8,3.2
778312,3.5,2.7
778311,3.6,3.5
778307,2.9,3.9
778309,3.3,3.7
778310,3.2,3.5
778308,3.3,4.1
778306,2.1,2.7
778305,3.3,4.3
778302,3.1,3.1
778297,3.6,3.2
778299,2.5,3.6
778295,3.3,3.3
778290,2.9,4.4
778288,3.6,3.9
778301,2.6,4.0
778293,3.5,4.3
778304,3.5,4.0
778303,3.6,3.9
778296,4.3,3.6
778298,3.0,3.1
778300,3.5,2.6
778294,3.6,3.5
778289,2.1,2.8
778287,3.5,3.0
778291,3.5,4.1
778280,3.2,4.3
778285,3.4,3.7
778283,3.6,3.5
778279,4.7,4.1
778292,2.8,3.6
778286,3.3,2.8
778282,3.2,3.7
778278,3.6,3.0
778281,2.1,2.5
778268,3.2,4.4
778277,3.0,2.8
778271,3.1,3.3
778274,4.2,3.9
778276,3.0,3.8
778272,3.3,3.8
778273,3.6,3.8
778270,3.4,2.8
778275,2.6,3.6
778284,3.2,2.4
778263,1.6,3.7
778269,4.3,4.2
778261,3.1,2.9
778260,2.0,3.9
778252,4.3,3.6
778265,2.8,3.1
778257,2.6,4.4
778258,3.3,3.7
778262,2.6,4.2
778254,3.4,3.3
778256,3.3,2.5
778251,1.4,3.8
778247,2.8,4.0
778264,2.6,3.4
778255,3.3,3.9
778259,4.0,3.5
778253,3.1,3.0
778267,3.4,2.5
778243,1.9,4.1
778266,3.1,4.2
778266,3.1,3.8
778266,2.7,4.2
778266,2.7,3.8
778250,3.2,4.8
778242,3.6,3.1
778249,3.0,2.9
778245,3.2,3.3
778248,4.2,3.6
778241,3.2,4.3
778246,3.0,3.2
778244,3.0,2.8
778240,3.4,4.5
778239,3.1,2.9
778236,2.6,4.9
778234,1.5,3.6
778235,3.1,4.1
778266,3.1,4.2
778266,3.1,3.8
778266,2.7,4.2
778266,2.7,3.8
778232,1.4,4.3
778237,3.9,3.6
778238,3.5,3.0
778227,2.6,4.1
778228,3.0,3.8
778230,3.4,5.8
778225,3.1,3.7
778233,2.6,2.8
778231,3.5,3.1
778226,5.0,3.3
778218,2.7,3.9
778221,3.4,4.0
778219,3.2,5.5
778222,3.3,2.9
778224,3.6,4.2
778223,2.8,3.9
778229,2.9,2.5
778215,3.1,2.6
778220,2.2,3.5
778216,3.0,3.0
778217,3.2,3.0
778211,1.3,3.0
778212,4.4,3.6
778210,4.4,3.2
778213,2.7,1.7
778214,3.3,3.0
778209,3.3,4.0
778203,3.1,4.0
778208,3.3,5.2
778206,2.5,3.9
778204,2.8,3.1
778207,4.1,4.2
778205,2.5,3.5
778200,2.6,2.9
778201,3.0,2.9
778202,1.4,3.3
778199,4.4,3.7
778198,4.2,3.3
778197,2.6,2.2
778195,2.9,3.1
778195,2.9,3.6
778195,3.3,3.1
778195,3.3,3.6
778189,3.1,3.1
778196,3.8,4.3
778190,3.1,3.4
778195,2.9,3.1
778195,2.9,3.6
778195,3.3,3.1
778195,3.3,3.6
778194,4.0,3.4
778193,2.1,3.2
778191,1.2,3.2
778188,5.0,3.5
778192,2.3,2.0
778182,3.1,4.3
778183,2.2,2.7
778185,4.3,2.6
778187,3.3,2.3
778186,3.2,1.1
778184,3.3,3.6
778181,3.8,5.4
778172,3.8,3.4
778177,4.5,3.1
778175,4.7,3.0
778178,2.5,3.5
778176,3.3,3.2
778171,4.5,2.2
778179,2.3,3.8
778179,2.3,4.6
778179,2.3,3.8
778179,2.3,4.6
778169,2.4,4.3
778168,3.3,3.2
778180,3.6,3.2
778180,3.6,3.5
778180,4.1,3.2
778180,4.1,3.5
778166,3.9,1.3
778164,3.3,3.6
778161,4.0,5.5
778173,2.1,2.6
778159,4.4,2.2
778174,3.1,4.3
778165,2.5,3.4
778167,3.1,1.9
778162,4.3,3.4
778160,3.3,3.1
778163,3.4,3.2
778154,4.9,2.3
778180,3.6,3.2
778180,3.6,3.5
778180,4.1,3.2
778180,4.1,3.5
778179,2.3,3.8
778179,2.3,4.6
778179,2.3,3.8
778179,2.3,4.6
778170,4.5,2.6
778170,4.5,2.8
778170,4.5,2.6
778170,4.5,2.8
778153,2.1,2.6
778156,4.1,2.8
778170,4.5,2.6
778170,4.5,2.8
778170,4.5,2.6
778170,4.5,2.8
778157,2.2,4.8
778155,4.5,3.5
778144,4.1,1.1
778152,3.0,1.9
778150,3.5,3.4
778148,4.0,5.1
778151,3.8,2.1
778149,2.5,3.5
778145,3.6,3.5
778146,2.9,3.3
778147,4.6,3.6
778136,5.1,2.3
778158,3.4,4.2
778138,2.2,2.8
778139,2.5,4.2
778140,3.2,4.3
778141,5.3,3.7
778143,1.9,2.5
778142,1.9,4.5
778137,3.6,3.8
778132,3.6,2.3
778129,2.2,4.1
778133,3.4,4.0
778135,3.4,3.2
778131,4.1,2.1
778128,3.3,2.7
778127,2.8,4.9
778130,3.3,4.4
778125,3.6,3.5
778122,2.0,2.8
778124,2.0,4.6
778120,3.5,3.7
778121,5.2,1.2
778126,2.8,4.1
778123,3.5,2.3
778134,5.1,3.5
778134,5.1,3.9
778134,3.7,3.5
778134,3.7,3.9
778119,4.6,4.2
778110,2.4,4.6
778102,3.6,3.5
778109,3.9,2.2
778104,5.1,1.7
778105,2.2,3.9
778116,2.1,3.9
778115,3.0,3.7
778112,3.3,3.4
778118,3.6,2.0
778113,3.2,2.4
778114,2.9,4.5
778117,3.2,3.6
778111,3.8,4.2
778106,2.9,2.6
778134,5.1,3.5
778134,5.1,3.9
778134,3.7,3.5
778134,3.7,3.9
778100,3.2,3.4
778107,2.8,4.3
778103,4.0,3.5
778097,3.3,2.3
778108,2.0,3.7
778094,3.9,4.7
778096,2.9,2.7
778099,3.5,1.9
778095,2.9,4.6
778101,2.0,4.5
778098,3.9,3.2
778087,3.1,2.1
778090,3.3,2.5
778086,3.3,3.5
778093,3.1,2.7
778088,4.1,2.9
778081,2.6,2.4
778089,4.2,3.6
778091,2.1,3.1
778092,3.6,4.1
778079,4.0,2.8
778083,2.8,5.2
778080,4.4,3.6
778084,4.5,4.1
778085,2.1,4.1
778082,3.3,2.8
778074,4.2,2.6
778066,4.2,2.8
778064,2.8,2.3
778065,3.5,2.6
778069,3.0,2.6
778073,3.6,3.2
778075,2.1,3.1
778078,3.1,3.4
778077,3.4,2.5
778070,2.2,4.7
778071,4.1,3.7
778072,2.8,2.5
778076,3.8,4.3
778067,1.7,4.1
778068,3.9,4.3
778068,3.9,4.7
778068,4.1,4.3
778068,4.1,4.7
778053,3.8,4.2
778068,3.9,4.3
778068,3.9,4.7
778068,4.1,4.3
778068,4.1,4.7
778062,2.7,2.4
778051,3.6,2.4
778063,3.5,2.8
778057,3.8,3.0
778056,3.1,2.4
778061,2.4,3.1
778059,2.9,3.2
778055,4.3,2.6
778054,3.8,3.8
778052,2.5,4.7
778048,3.2,2.6
778050,1.6,4.0
778058,3.3,2.9
778060,3.6,4.3
778047,1.9,4.1
778045,3.7,2.5
778049,3.2,3.3
778044,3.6,3.0
778043,2.1,4.4
778042,3.8,2.7
778036,4.0,3.6
778039,3.1,5.0
778038,3.1,4.4
778026,2.9,3.1
778046,3.2,3.3
778046,3.2,3.6
778046,3.3,3.3
778046,3.3,3.6
778035,2.2,4.1
778037,3.5,2.6
778040,3.2,3.0
778041,3.7,2.7
778034,3.3,3.5
778027,3.2,2.3
778028,2.9,2.7
778033,2.2,4.1
778031,3.5,2.6
778030,3.7,3.9
778025,2.0,3.2
778032,3.2,5.4
778024,3.4,4.6
778046,3.2,3.3
778046,3.2,3.6
778046,3.3,3.3
778046,3.3,3.6
778022,3.3,3.6
778015,3.8,2.8
778016,3.9,3.7
778020,3.4,2.6
778010,3.5,4.2
778014,3.2,5.3
778017,2.7,4.5
778018,3.1,2.7
778021,3.1,3.0
778019,4.0,2.8
778023,3.2,3.4
778011,2.2,2.8
778012,2.7,4.1
778013,2.4,3.8
778009,2.2,3.1
778029,2.2,3.5
778029,2.2,2.6
778029,2.4,3.5
778029,2.4,2.6
778007,1.9,2.4
778006,2.6,2.9
778008,2.5,3.7
778004,2.5,2.9
778029,2.2,3.5
778029,2.2,2.6
778029,2.4,3.5
778029,2.4,2.6
778005,3.3,2.8
778003,2.7,3.3
778000,2.6,2.9
777999,3.2,4.6
777996,2.4,3.5
777998,3.4,2.6
777995,3.6,3.5
778002,2.9,3.8
778001,5.0,3.2
777997,4.0,2.8
777990,2.5,2.5
777991,3.4,2.7
777989,3.3,3.5
777992,2.3,2.8
777993,2.5,3.0
777986,2.7,2.0
777988,3.2,4.4
777984,4.3,3.3
777994,3.3,3.5
777980,3.5,4.1
777985,3.3,2.7
777972,3.0,3.9
777981,3.2,3.8
777987,2.6,3.3
777983,4.0,2.9
777979,3.1,4.0
777977,2.6,2.0
777978,3.5,2.9
777982,4.9,3.6
777974,2.3,2.4
777975,3.7,4.1
777976,2.5,3.1
777973,2.6,2.3
777970,3.8,3.2
777968,4.2,3.5
777962,3.5,3.7
777967,3.6,3.1
777969,2.8,3.0
777964,3.5,3.0
777963,3.6,4.7
777965,2.6,2.1
777956,2.3,2.3
777966,3.2,2.8
777955,2.7,3.3
777957,3.0,4.2
777961,2.7,2.4
777954,3.6,3.5
777958,3.4,3.4
777971,4.2,2.9
777960,3.6,2.8
777951,2.7,1.7
777953,3.0,3.8
777950,3.8,3.6
777959,3.0,3.3
777952,3.6,3.3
777949,2.9,2.8
777948,3.8,2.2
777947,3.3,2.6
777941,3.0,4.3
777939,2.4,3.3
777944,4.1,2.9
777940,2.8,2.1
777945,4.5,3.1
777935,3.3,3.2
777943,3.8,3.7
777942,2.9,3.1
777936,3.5,3.4
777934,3.0,2.9
777931,3.4,2.4
777932,3.1,3.1
777926,3.0,4.4
777930,2.3,3.3
777937,3.2,3.1
777924,2.6,2.3
777938,2.9,2.4
777938,2.9,2.9
777938,3.0,2.4
777938,3.0,2.9
777922,2.9,4.0
777933,3.2,4.0
777933,3.2,3.8
777933,3.3,4.0
777933,3.3,3.8
777925,4.2,2.8
777916,2.7,3.6
777915,2.9,4.3
777927,3.2,2.2
777923,3.7,3.6
777919,3.5,3.7
777928,4.0,2.8
777929,2.8,2.8
777921,3.4,3.6
777918,3.3,2.9
777920,3.4,2.2
777914,3.6,3.2
777917,3.1,2.7
777938,2.9,2.4
777938,2.9,2.9
777938,3.0,2.4
777938,3.0,2.9
777933,3.2,4.0
777933,3.2,3.8
777933,3.3,4.0
777933,3.3,3.8
