game_pk,home_pitching_hr_per_9_rolling_10,away_pitching_hr_per_9_rolling_10
778306,0.8470588235294118,1.7790697674418605
778305,0.7241379310344828,1.0227272727272727
778302,1.3604651162790697,1.7386363636363635
778297,0.9854007405834011,1.5168539325842696
778299,0.7159090909090909,0.4090909090909091
778295,0.923954021310258,0.5113636363636364
778290,0.5890913375209728,0.9926466938798919
778288,0.7078651685393258,1.0112359550561798
778301,1.2413793103448276,1.2272727272727273
778293,0.6774193548387096,0.8275862068965517
778304,0.9169814781062182,0.5848371228612832
778303,0.9101123595505618,0.6136363636363636
778296,1.2272727272727273,0.8470588235294118
778298,2.537593030980063,0.6897812736428006
778300,1.1511627906976745,0.9418604651162791
778294,1.2806329172462125,0.989010989010989
778289,0.8470588235294118,1.4651162790697674
778287,1.3448275862068966,1.8
778291,1.2413793103448276,0.4090909090909091
778280,0.4838709677419355,1.0465116279069768
778285,1.0074630624862173,0.496323346939946
778283,0.9492191207887192,1.1123595505617978
778279,1.0227272727272727,0.8470588235294118
778292,1.0344827586206897,1.3448275862068966
778286,0.8275862068965517,1.0588235294117647
778282,2.30854932767683,1.1511627906976745
778278,0.4090909090909091,0.48561186015241736
778281,0.8470588235294118,1.1647058823529413
778268,1.0227272727272727,0.4044943820224719
778277,0.8275862068965517,1.0714285714285714
778271,0.4945054945054945,1.2413793103448276
778274,1.0227272727272727,1.2272727272727273
778276,1.2272727272727273,1.2952034299643653
778272,2.3,1.2755900489802956
778273,1.0799996072728701,0.6798558705554423
778270,0.4090909090909091,0.4927009097448576
778275,0.6974172315192737,1.146718589466637
778284,1.6363636363636365,0.6136363636363636
778263,0.6352941176470588,1.5517241379310345
778269,0.9926466938798919,0.6
778261,0.615969347540172,0.9101123595505618
778260,1.1785714285714286,0.6428571428571429
778252,1.0112359550561798,1.4482758620689655
778265,0.8275862068965517,1.1927710843373494
778257,1.125,0.9101123595505618
778258,1.1654672066664726,0.5869565217391305
778262,1.4318181818181819,1.2810223653366297
778254,0.3956043956043956,1.2272727272727273
778256,0.5113636363636364,0.5912410916938291
778251,0.7411764705882353,1.4318181818181819
778247,1.8214285714285714,1.0588235294117647
778264,0.7970482645934556,1.569767441860465
778255,2.2,1.1556415736803214
778259,1.1040888088889185,0.7078651685393258
778253,0.51330778961681,0.8089887640449438
778267,1.5340909090909092,0.6136363636363636
778243,1.0714285714285714,0.6506024096385542
778266,2.0357142857142856,1.0588235294117647
778266,2.0357142857142856,0.8571428571428571
778266,1.3928571428571428,1.0588235294117647
778266,1.3928571428571428,0.8571428571428571
778250,1.6179775280898876,1.793358595335275
778242,0.4945054945054945,1.2272727272727273
778249,1.5340909090909092,0.7159090909090909
778245,0.7883214555917721,1.648855591166256
778248,1.1123595505617978,1.4482758620689655
778241,1.317072711821355,0.47368421052631576
778246,0.9310344827586207,1.0975609756097562
778244,0.4090909090909091,0.5977861984450917
778240,1.879120879120879,0.8307689112427263
778239,0.615969347540172,0.6067415730337079
778236,1.3295454545454546,1.0227272727272727
778234,0.8372093023255814,1.5340909090909092
778235,1.7142857142857142,0.8571428571428571
778266,2.0357142857142856,1.0588235294117647
778266,2.0357142857142856,0.8571428571428571
778266,1.3928571428571428,1.0588235294117647
778266,1.3928571428571428,0.8571428571428571
778232,1.0714285714285714,0.8674698795180723
778237,1.0919113632678812,0.6136363636363636
778238,1.0074630624862173,1.6301892944110543
778227,1.2134831460674158,0.8307689112427263
778228,0.8181818181818182,0.5056179775280899
778230,1.3146067415730338,1.8929896284094572
778225,0.3068181818181818,1.1123595505617978
778233,1.4318181818181819,0.7325581395348837
778231,1.231938695080344,1.5993025786402166
778226,0.9959020475008392,0.615969347540172
778218,1.4157303370786516,0.9101123595505618
778221,0.8181818181818182,0.5113636363636364
778219,1.4157303370786516,1.9213483146067416
778222,0.8674698795180723,1.9213483146067416
778224,1.1207551399076001,0.4891304347826087
778223,0.3068181818181818,1.4157303370786516
778229,1.4651162790697674,0.9529411764705882
778215,0.9759036144578314,1.3928571428571428
778220,1.2,1.3146067415730338
778216,1.0344827586206897,1.5283024635103635
778217,1.125,1.6510785427775028
778211,0.9529411764705882,0.7159090909090909
778212,1.0,1.5824175824175823
778210,1.0546879119874657,0.615969347540172
778213,0.6136363636363636,0.7241379310344828
778214,1.3448275862068966,1.1647058823529413
778209,0.9204545454545454,0.5113636363636364
778203,0.30337078651685395,1.4318181818181819
778208,1.3146067415730338,1.8409090909090908
778206,1.5168539325842696,0.8181818181818182
778204,0.75,2.0224719101123596
778207,1.208955674983461,0.5934065934065934
778205,1.1868131868131868,1.5168539325842696
778200,1.125,1.7802197802197801
778201,1.0227272727272727,1.648855591166256
778202,1.0588235294117647,0.7078651685393258
778199,1.0,1.6
778198,1.146718589466637,0.615969347540172
778197,1.0227272727272727,1.1379310344827587
778195,0.8372093023255814,1.255813953488372
778195,0.8372093023255814,1.0465116279069768
778195,1.1379310344827587,1.255813953488372
778195,1.1379310344827587,1.0465116279069768
778189,1.0227272727272727,1.8764486009454056
778196,1.2,0.5934065934065934
778190,0.9310344827586207,1.0465116279069768
778195,0.8372093023255814,1.255813953488372
778195,0.8372093023255814,1.0465116279069768
778195,1.1379310344827587,1.255813953488372
778195,1.1379310344827587,1.0465116279069768
778194,1.04247144496967,0.6206896551724138
778193,0.6352941176470588,1.8202247191011236
778191,0.8372093023255814,0.6
778188,1.076086956521739,1.3695652173913044
778192,0.9204545454545454,0.9310344827586207
778182,1.2717391304347827,1.3048322286869038
778183,0.627906976744186,0.3
778185,0.6136363636363636,1.6813186813186813
778187,0.9204545454545454,0.9204545454545454
778186,1.1511627906976745,0.9418604651162791
778184,1.2857142857142858,0.8275862068965517
778181,0.8372093023255814,1.8409090909090908
778172,0.8275862068965517,1.4516129032258065
778177,1.064516129032258,1.1379310344827587
778175,0.7912087912087912,1.4157303370786516
778178,1.125,1.8142299660988006
778176,1.6363636363636365,0.8
778171,0.938224300472703,0.821292463386896
778179,1.4157303370786516,1.2
778179,1.4157303370786516,0.8
778179,1.4157303370786516,1.2
778179,1.4157303370786516,0.8
778169,1.5168539325842696,0.8
778168,0.7078651685393258,1.7191011235955056
778180,0.9101123595505618,1.7586206896551724
778180,0.9101123595505618,1.7790697674418605
778180,0.8,1.7586206896551724
778180,0.8,1.7790697674418605
778166,1.255813953488372,1.0465116279069768
778164,1.1785714285714286,0.7325581395348837
