game_pk,home_pitching_qs_rate_rolling_10,away_pitching_qs_rate_rolling_10
778257,0.5,0.5
778258,0.8,0.7
778259,0.5,0.7
778262,0.4,0.6
778264,0.7,0.6
778265,0.7,0.2
778267,0.2,0.7
778232,0.6,0.2
778234,0.7,0.4
778235,0.2,0.4
778236,0.5,0.5
778237,0.6,0.8
778239,0.7,0.8
778240,0.5,0.7
778241,0.7,0.7
778242,0.7,0.6
778244,0.7,0.7
778245,0.7,0.6
778246,0.7,0.3
778248,0.5,0.1
778249,0.3,0.6
778250,0.3,0.5
778266,0.3,0.4
778225,0.6,0.4
778226,0.2,0.7
778227,0.5,0.7
778228,0.7,0.9
778230,0.1,0.5
778231,0.6,0.6
778233,0.4,0.6
778238,0.6,0.6
778210,0.3,0.7
778211,0.7,0.6
778212,0.5,0.5
778213,0.7,0.8
778215,0.3,0.4
778216,0.5,0.6
778217,0.7,0.5
778218,0.4,0.7
778219,0.1,0.5
778220,0.6,0.5
778221,0.8,0.8
778222,0.5,0.2
778223,0.6,0.3
778224,0.6,0.7
778229,0.3,0.5
778197,0.6,0.7
778198,0.3,0.7
778199,0.5,0.4
778200,0.7,0.4
778201,0.5,0.6
778202,0.6,0.6
778203,0.6,0.2
778204,0.5,0.2
778205,0.6,0.5
778206,0.4,0.7
778207,0.7,0.7
778208,0.2,0.5
778209,0.8,0.8
778214,0.3,0.5
778188,0.5,0.4
778189,0.6,0.5
778190,0.4,0.4
778191,0.7,0.7
778192,0.7,0.7
778193,0.6,0.2
778194,0.4,0.8
778195,0.4,0.4
778196,0.6,0.6
778171,0.5,0.8
778172,0.7,0.3
778175,0.6,0.2
778176,0.4,0.7
778177,0.5,0.4
778178,0.7,0.5
778181,0.3,0.5
778182,0.6,0.3
778183,0.7,0.6
778184,0.4,0.7
778185,0.8,0.4
778186,0.6,0.7
778187,0.4,0.8
778154,0.6,0.2
778159,0.6,0.8
778160,0.7,0.3
778161,0.3,0.4
778162,0.4,0.5
778163,0.5,0.7
778164,0.4,0.8
778165,0.7,0.5
778166,0.5,0.7
778167,0.5,0.8
778168,0.9,0.3
778169,0.3,0.5
778173,0.7,0.5
778174,0.6,0.3
778179,0.3,0.6
778180,0.9,0.3
778136,0.7,0.2
778144,0.6,0.6
778145,0.5,0.6
778146,0.7,0.4
778147,0.4,0.5
778148,0.3,0.4
778149,0.6,0.5
778150,0.3,0.7
778151,0.7,0.8
778152,0.6,0.9
778153,0.7,0.6
778155,0.9,0.3
778156,0.7,0.5
778157,0.2,0.6
778158,0.5,0.4
778170,0.7,0.5
778132,0.5,0.2
778137,0.3,0.5
778138,0.7,0.5
778139,0.2,0.6
778140,0.2,0.7
778141,0.5,0.2
778142,0.9,1.0
778143,0.8,0.6
778120,0.3,0.5
778121,0.6,0.5
778122,0.8,0.6
778123,0.4,0.2
778124,0.8,0.9
778125,0.6,0.7
778126,0.6,0.8
778127,0.4,0.6
778128,0.4,0.6
778129,0.2,0.6
778130,0.4,0.4
778131,0.5,0.6
778133,0.2,0.6
778135,0.5,0.6
778102,0.3,0.6
778104,0.7,0.5
778105,0.5,0.7
778106,0.8,0.5
778109,0.5,0.2
778110,0.8,0.8
778111,0.6,0.7
778112,0.4,0.6
778113,0.5,0.7
778114,0.3,0.6
778115,0.2,0.6
778116,0.3,0.7
778117,0.5,0.3
778118,0.5,0.6
778119,0.6,0.3
778134,0.5,0.4
778094,0.5,0.6
778095,0.2,0.5
778096,0.7,0.5
778097,0.5,0.8
778098,0.6,0.3
778099,0.5,0.5
778100,0.5,0.7
778101,0.4,0.7
778103,0.4,0.4
778107,0.5,0.4
778108,0.3,0.7
778079,0.5,0.8
778080,0.5,0.8
778081,0.3,0.4
778082,0.6,0.3
778083,0.7,0.7
778084,0.4,0.4
778085,0.3,0.6
778086,0.6,0.5
778087,0.5,0.5
778088,0.6,0.5
778089,0.5,0.8
778090,0.4,0.6
778091,0.2,0.6
778092,0.6,0.4
778093,0.2,0.8
778064,0.4,0.4
778065,0.4,0.5
778066,0.6,0.7
778067,0.2,0.6
778069,0.6,0.2
778070,0.7,0.7
778071,0.5,0.8
778072,0.3,0.8
778073,0.5,0.7
778074,0.6,0.6
778075,0.2,0.7
778076,0.6,0.5
778077,0.6,0.4
778078,0.7,0.5
778048,0.7,0.2
778050,0.3,0.5
778051,0.4,0.5
778052,0.8,0.7
778053,0.4,0.5
778054,0.4,0.8
778055,0.5,0.7
778056,0.4,0.4
778057,0.7,0.7
778058,0.5,0.3
778059,0.8,0.4
778060,0.6,0.5
778061,0.1,0.6
778062,0.3,0.8
778063,0.4,0.7
778068,0.4,0.4
778036,0.4,0.3
778038,0.6,0.8
778039,0.4,0.3
778042,0.4,0.7
778043,0.8,0.5
778044,0.8,0.7
778045,0.6,0.6
778047,0.1,0.5
778049,0.7,0.4
778024,0.6,0.8
778025,0.2,0.4
778026,0.3,0.5
778027,0.8,0.7
778028,0.6,0.3
778030,0.4,0.3
778031,0.5,0.6
778032,0.4,0.3
778033,0.8,0.5
778034,0.7,0.4
