game_pk,home_fielding_e_per_g_rolling_10,away_fielding_e_per_g_rolling_10
777821,0.4,0.2
777822,0.8,0.3
777797,0.1,0.2
777798,1.0,0.5
777799,0.4,0.6
777800,0.9,0.3
777801,0.9,0.5
777802,0.9,0.1
777804,0.1,0.3
777805,1.0,0.2
777806,0.1,0.3
777807,0.4,0.2
777808,0.7,0.2
777810,0.3,0.3
777811,0.4,0.1
777813,0.6,0.7
777815,0.7,0.6
777781,0.9,0.6
777782,0.9,0.1
777784,0.1,0.3
777786,0.1,0.2
777787,0.9,0.3
777788,0.4,0.7
777789,0.7,0.3
777790,0.5,0.8
777791,0.3,0.3
777792,0.9,0.3
777793,0.9,0.4
777794,0.2,0.5
777795,0.3,0.3
777796,0.4,0.2
777803,0.6,0.7
777809,0.3,0.7
777765,0.2,0.5
777766,0.1,0.2
777767,0.8,0.6
777768,1.0,0.2
777772,0.4,0.5
777773,0.6,0.2
777774,0.9,0.3
777775,0.3,0.3
777776,0.2,0.5
777777,1.1,0.5
777778,1.0,0.4
777779,0.3,0.4
777780,0.5,0.2
777783,0.5,0.6
777785,0.2,0.8
777756,0.6,0.4
777757,0.3,1.0
777758,0.5,1.1
777759,0.5,0.2
777760,0.5,0.3
777761,0.0,0.3
777762,0.2,0.1
777763,0.7,0.2
777764,0.6,0.4
777769,0.5,0.6
777770,0.5,0.4
777771,0.8,0.1
777741,0.4,0.2
777742,0.6,0.5
777743,0.4,1.0
777744,0.1,0.3
777745,0.8,0.2
777746,0.2,0.2
777747,0.6,0.4
777748,0.4,0.6
777749,0.5,1.0
777750,0.6,0.3
777751,0.3,1.1
777752,0.9,0.2
777753,0.5,0.7
777754,0.7,0.3
777755,0.5,0.5
777724,0.4,0.4
777726,0.7,0.7
777728,0.8,0.2
777729,0.2,0.4
777730,0.4,1.0
777731,0.3,0.9
777732,0.2,0.2
777733,0.6,0.3
777734,0.8,0.2
777736,0.6,0.4
777737,0.4,0.8
777738,0.5,0.6
777739,0.5,0.7
777740,0.7,0.4
777722,0.5,1.0
777723,0.5,0.4
777725,0.5,0.2
777727,0.4,0.3
777735,0.5,0.3
777707,0.8,0.5
777708,0.6,0.2
777709,0.4,0.6
777710,0.4,1.0
777711,0.5,0.4
777712,0.4,0.2
777713,0.5,0.2
777714,0.6,0.2
777715,0.5,0.6
777716,0.4,0.3
777717,0.8,0.7
777718,0.6,0.9
777719,0.3,0.7
777720,0.6,0.7
777721,0.5,0.7
777691,0.7,0.4
777693,0.5,0.3
777694,0.7,0.3
777695,0.5,0.3
777696,0.5,0.9
777697,0.4,0.7
777698,0.6,0.2
777699,0.6,0.6
777700,0.4,0.8
777701,0.5,0.3
777702,0.4,0.5
777703,0.5,0.6
777704,0.4,0.2
777705,0.7,0.7
777706,0.2,0.7
777677,0.7,0.3
777678,0.4,0.6
777679,0.5,0.8
777680,0.6,0.3
777681,0.7,0.4
777682,0.6,0.2
777683,0.6,0.7
777684,0.4,0.5
777685,0.4,0.3
777686,0.3,0.9
777687,0.4,0.2
777688,0.4,0.5
777689,0.8,0.6
777690,0.5,0.3
777692,0.2,0.8
777669,0.5,0.4
777670,0.8,0.7
777671,0.3,0.4
777673,0.8,0.6
777674,0.4,0.3
777675,0.7,0.3
777676,0.5,0.3
777655,0.5,0.6
777656,0.4,0.2
777657,0.7,0.4
777658,0.5,0.4
777659,0.9,0.4
777660,0.7,0.5
777661,0.2,0.2
777662,0.4,0.5
777663,0.4,0.2
777664,0.2,0.7
777665,0.4,0.6
777666,0.7,0.6
777667,1.0,0.6
777668,0.2,0.5
777672,0.1,0.5
777638,0.7,0.5
777639,0.2,0.3
777641,0.4,0.3
777643,0.5,0.4
777645,0.5,0.4
777646,0.4,0.5
777647,0.3,0.3
777648,0.5,0.2
777649,1.4,0.6
777650,0.7,0.5
777651,0.5,0.6
777652,0.7,0.6
777653,0.2,0.8
777654,0.1,0.6
777628,0.5,0.4
777629,0.6,0.4
777630,0.4,0.2
777631,0.8,0.5
777632,0.7,0.3
777633,0.5,0.3
777634,0.1,0.3
777635,0.7,0.6
777636,0.5,0.4
777637,0.5,0.6
777640,0.1,0.6
777642,0.7,0.5
777644,0.2,0.9
777613,0.6,0.3
777614,0.7,0.4
777615,0.3,0.4
777616,0.6,0.5
777617,0.3,0.3
777618,0.1,0.6
777619,0.5,0.2
777620,0.7,0.4
777621,0.4,0.4
777622,1.0,0.3
777623,0.4,0.6
777624,0.7,0.2
777625,0.6,0.7
777626,0.3,0.3
777627,0.3,1.5
777597,0.2,0.3
777598,0.5,0.3
777599,0.7,0.4
777600,0.3,0.4
777601,0.7,0.3
777603,0.7,0.3
777604,0.6,0.5
777605,0.3,1.4
777606,0.1,0.8
777607,0.3,0.4
777608,0.7,0.3
777609,0.3,0.3
777610,0.7,0.3
777611,0.6,0.8
777612,0.4,0.6
777582,0.5,0.4
777583,0.7,0.6
777585,0.3,0.2
777586,0.2,0.4
777587,0.4,0.3
777588,0.7,0.3
777589,0.6,0.5
777590,0.1,0.7
777591,0.7,0.3
777592,0.5,0.8
777593,0.3,1.5
777594,0.3,0.3
777595,0.3,0.3
777596,0.7,0.3
777602,0.4,0.5
777574,0.3,0.5
777575,0.2,0.4
777576,0.6,0.8
777577,0.4,0.4
777578,0.3,0.3
777579,0.3,0.4
777580,0.6,0.4
777581,0.4,0.3
777584,1.5,0.5
777557,0.4,0.3
777558,0.3,0.4
777559,0.2,0.3
777560,0.5,0.5
