game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
778173,0.8,1.0
778159,0.6,1.6
778174,1.2,0.2
778165,1.4,0.8
778167,0.2,0.4
778162,1.0,1.6
778160,0.6,0.4
778163,1.2,0.8
778154,1.4,1.2
778180,0.8,0.6
778180,0.8,0.4
778180,1.0,0.6
778180,1.0,0.4
778179,1.0,1.2
778179,1.0,1.2
778179,0.6,1.2
778179,0.6,1.2
778170,1.2,0.4
778170,1.2,0.6
778170,1.0,0.4
778170,1.0,0.6
778153,0.8,1.0
778156,1.2,0.6
778170,1.2,0.4
778170,1.2,0.6
778170,1.0,0.4
778170,1.0,0.6
778157,0.2,1.4
778155,1.2,0.4
778144,1.0,1.2
778152,0.2,0.4
778150,0.6,0.6
778148,2.0,1.4
778151,0.4,1.6
778149,1.4,0.8
778145,1.4,1.0
778146,0.4,0.6
778147,1.8,1.6
778136,1.6,1.0
778158,0.8,0.4
778138,0.8,0.4
778139,0.4,0.8
778140,0.4,1.4
778141,1.2,0.4
778143,0.8,0.8
778142,0.8,1.2
778137,1.6,1.2
778132,1.8,1.2
778129,0.4,0.8
778133,0.6,1.4
778135,1.2,0.8
778131,0.2,0.8
778128,0.8,0.2
778127,0.6,1.8
778130,1.2,1.6
778125,1.0,0.2
778122,0.6,0.6
778124,1.0,1.2
778120,1.4,0.8
778121,1.8,1.0
778126,0.2,0.4
778123,1.4,1.4
778134,1.2,0.2
778134,1.2,1.4
778134,0.8,0.2
778134,0.8,1.4
778119,1.0,1.0
778110,0.8,1.4
778102,1.2,0.6
778109,1.4,1.2
778104,2.0,1.2
778105,0.2,0.6
778116,0.8,1.0
778115,0.4,2.6
778112,1.0,1.0
778118,0.6,1.2
778113,0.8,0.2
778114,0.8,2.4
778117,1.6,1.2
778111,1.4,0.4
778106,0.0,0.8
778134,1.2,0.2
778134,1.2,1.4
778134,0.8,0.2
778134,0.8,1.4
778100,0.6,0.8
778107,0.2,2.0
778103,2.0,1.0
778097,0.6,0.4
778108,0.8,0.8
778094,1.0,0.4
778096,0.0,1.0
778099,1.2,1.2
778095,1.2,2.4
778101,1.0,1.6
778098,0.6,1.0
778087,0.6,1.2
778090,0.8,0.4
778086,1.2,1.4
778093,0.8,0.6
778088,2.4,0.8
778081,1.4,1.0
778089,2.4,0.8
778091,1.2,0.8
778092,0.6,1.8
778079,1.0,1.2
778083,0.0,2.2
778080,0.4,1.6
778084,2.0,2.2
778085,1.0,2.2
778082,0.8,0.8
778074,2.4,0.6
778066,1.0,1.4
778064,1.6,1.2
778065,0.8,0.6
778069,1.0,0.8
778073,2.2,1.0
778075,1.4,0.8
778078,1.4,0.6
778077,0.4,1.0
778070,0.2,2.4
778071,0.2,2.2
778072,1.0,0.4
778076,0.2,1.6
778067,1.0,3.2
778068,2.0,2.6
778068,2.0,1.2
778068,1.2,2.6
778068,1.2,1.2
778053,1.4,1.8
778068,2.0,2.6
778068,2.0,1.2
778068,1.2,2.6
778068,1.2,1.2
778062,1.0,1.0
778051,0.4,0.8
778063,1.6,0.8
778057,2.2,0.4
778056,1.6,1.6
778061,1.2,1.4
778059,1.8,0.6
778055,0.8,1.4
778054,0.4,2.8
778052,0.2,1.8
778048,1.4,0.6
778050,1.0,2.8
778058,0.6,0.8
778060,0.4,1.6
778047,1.0,1.6
778045,2.4,1.0
778049,0.8,0.8
778044,2.0,1.6
778043,2.4,0.4
778042,0.2,1.2
778036,0.6,0.4
778039,0.6,0.8
778038,1.2,1.4
778026,0.6,1.2
778046,0.8,1.2
778046,0.8,1.6
778046,1.0,1.2
778046,1.0,1.6
778035,1.2,1.6
778037,0.8,0.2
778040,0.4,2.0
778041,1.4,0.8
778034,1.0,0.8
778027,2.4,1.4
778028,0.8,1.6
778033,2.2,0.4
778031,0.4,1.2
778030,1.2,0.6
778025,0.8,1.4
778032,0.8,0.8
778024,1.0,1.0
778046,0.8,1.2
778046,0.8,1.6
778046,1.0,1.2
778046,1.0,1.6
778022,1.0,1.8
778015,0.6,1.0
778016,1.2,0.4
778020,1.8,1.4
778010,1.0,1.0
778014,0.6,0.4
778017,1.0,1.6
778018,0.4,0.2
778021,0.6,2.0
778019,1.4,0.6
778023,1.0,0.4
778011,1.0,1.4
778012,2.2,0.2
778013,0.4,3.0
778009,1.2,1.2
778029,0.6,2.6
778029,0.6,1.0
778029,0.4,2.6
778029,0.4,1.0
778007,1.4,1.2
778006,1.0,0.6
778008,2.4,0.0
778004,0.4,2.0
778029,0.6,2.6
778029,0.6,1.0
778029,0.4,2.6
778029,0.4,1.0
778005,0.4,2.2
778003,1.0,0.8
778000,1.2,0.8
777999,0.8,1.6
777996,1.0,0.4
777998,0.2,0.8
777995,0.8,1.0
778002,0.8,0.8
778001,0.8,1.2
777997,1.4,2.0
777990,1.8,1.0
777991,0.0,0.8
777989,1.0,0.8
777992,1.4,1.2
777993,0.4,0.6
777986,1.4,1.0
777988,1.0,1.4
777984,0.6,0.8
777994,1.0,1.6
777980,0.6,0.8
777985,0.6,0.4
777972,0.4,2.0
777981,1.0,0.6
777987,0.4,0.4
777983,2.0,1.6
777979,0.6,0.6
777977,0.4,1.0
777978,0.2,0.6
777982,1.6,1.0
777974,1.2,1.0
777975,2.0,1.6
777976,1.0,0.6
777973,1.4,1.2
