game_pk,home_batting_obp_rolling_5,away_batting_obp_rolling_5,home_batting_obp_rolling_10,away_batting_obp_rolling_10
778402,0.2727272727272727,0.2658959537572254,0.2981366459627329,0.27419354838709675
778403,0.34782608695652173,0.35436893203883496,0.34974093264248707,0.3477157360406091
778404,0.4142857142857143,0.3225806451612903,0.3625,0.3442622950819672
778406,0.3010752688172043,0.3502824858757062,0.2777777777777778,0.3609467455621302
778407,0.3107344632768362,0.2777777777777778,0.2857142857142857,0.3035230352303523
778408,0.3027027027027027,0.3827751196172249,0.289544235924933,0.37163814180929094
778409,0.29518072289156627,0.3016759776536313,0.28901734104046245,0.29310344827586204
778417,0.28,0.32124352331606215,0.3166144200626959,0.296969696969697
778376,0.30158730158730157,0.28,0.2891891891891892,0.25146198830409355
778379,0.3333333333333333,0.30994152046783624,0.2888283378746594,0.3005464480874317
778380,0.30113636363636365,0.2727272727272727,0.3333333333333333,0.3022598870056497
778381,0.3582089552238806,0.31413612565445026,0.32020997375328086,0.3460490463215259
778383,0.3103448275862069,0.28426395939086296,0.2891891891891892,0.2664835164835165
778385,0.3854166666666667,0.26785714285714285,0.3829268292682927,0.24773413897280966
778386,0.4029126213592233,0.32124352331606215,0.3609022556390977,0.33153638814016173
778387,0.3575418994413408,0.3181818181818182,0.3439153439153439,0.33756345177664976
778388,0.3063583815028902,0.2681564245810056,0.29362880886426596,0.24929178470254956
778389,0.281767955801105,0.3399014778325123,0.2779291553133515,0.36253041362530414
778390,0.34285714285714286,0.2994652406417112,0.2949438202247191,0.29347826086956524
778391,0.2897727272727273,0.2529411764705882,0.2937853107344633,0.26900584795321636
778392,0.32941176470588235,0.29347826086956524,0.30547550432276654,0.29971988795518206
778393,0.34210526315789475,0.33519553072625696,0.29476584022038566,0.35543766578249336
778399,0.26285714285714284,0.3263157894736842,0.31932773109243695,0.2981029810298103
778371,0.3417085427135678,0.34759358288770054,0.29301075268817206,0.3095890410958904
778373,0.26666666666666666,0.292817679558011,0.2752808988764045,0.2661064425770308
778377,0.3248730964467005,0.32142857142857145,0.34430379746835443,0.31978319783197834
778378,0.29714285714285715,0.2857142857142857,0.29022988505747127,0.2737752161383285
778382,0.28735632183908044,0.3435897435897436,0.3240223463687151,0.3074866310160428
778384,0.37055837563451777,0.3241758241758242,0.3011049723756906,0.3582887700534759
778356,0.3,0.36507936507936506,0.30362116991643456,0.37777777777777777
778358,0.34759358288770054,0.32,0.3155080213903743,0.28611898016997167
778360,0.2872340425531915,0.2768361581920904,0.2914438502673797,0.2514792899408284
778361,0.3401015228426396,0.35602094240837695,0.35809018567639256,0.3183023872679045
778363,0.28804347826086957,0.3333333333333333,0.2722222222222222,0.33692722371967654
778364,0.32386363636363635,0.34375,0.34594594594594597,0.3133514986376022
778365,0.30288461538461536,0.32653061224489793,0.342042755344418,0.34048257372654156
778366,0.27485380116959063,0.27419354838709675,0.27714285714285714,0.3484848484848485
778367,0.29651162790697677,0.36597938144329895,0.30857142857142855,0.30494505494505497
778368,0.3106796116504854,0.34375,0.2853333333333333,0.3113456464379947
778369,0.2967032967032967,0.3488372093023256,0.29973474801061006,0.3
778370,0.29015544041450775,0.26704545454545453,0.3142857142857143,0.29473684210526313
778374,0.281767955801105,0.2774869109947644,0.2535612535612536,0.27123287671232876
778375,0.28488372093023256,0.27607361963190186,0.29745042492917845,0.2784090909090909
778341,0.2756756756756757,0.27932960893854747,0.3007915567282322,0.2608695652173913
778345,0.30319148936170215,0.3045977011494253,0.3016759776536313,0.3620253164556962
778346,0.33689839572192515,0.3259668508287293,0.3324607329842932,0.30303030303030304
778347,0.30392156862745096,0.3197969543147208,0.3404761904761905,0.32608695652173914
778348,0.29120879120879123,0.31868131868131866,0.2953929539295393,0.3404255319148936
778349,0.29545454545454547,0.24719101123595505,0.29213483146067415,0.3452685421994885
778350,0.3,0.3351063829787234,0.3089887640449438,0.3216216216216216
778351,0.3644859813084112,0.3155080213903743,0.3153846153846154,0.31413612565445026
778352,0.3553299492385787,0.32608695652173914,0.35294117647058826,0.30831099195710454
778353,0.31176470588235294,0.32978723404255317,0.3103448275862069,0.3024523160762943
778354,0.32275132275132273,0.3675675675675676,0.29427792915531337,0.3096590909090909
778355,0.26857142857142857,0.28735632183908044,0.3054054054054054,0.31746031746031744
778357,0.26011560693641617,0.2736842105263158,0.2375366568914956,0.26721763085399447
778359,0.3063583815028902,0.25766871165644173,0.29428571428571426,0.26176470588235295
778362,0.2658959537572254,0.3076923076923077,0.2881844380403458,0.32085561497326204
778329,0.3333333333333333,0.3089005235602094,0.3171355498721228,0.3151041666666667
778330,0.3089887640449438,0.2727272727272727,0.3315068493150685,0.2997275204359673
778331,0.28415300546448086,0.3422459893048128,0.2804532577903683,0.35309278350515466
778332,0.32947976878612717,0.31746031746031744,0.3240223463687151,0.3162162162162162
778333,0.3333333333333333,0.3118279569892473,0.33066666666666666,0.2916666666666667
778334,0.28888888888888886,0.2849162011173184,0.30831099195710454,0.26453488372093026
778335,0.2752808988764045,0.2897727272727273,0.27298050139275765,0.3140495867768595
