game_pk,home_batting_r_per_g_rolling_5,away_batting_r_per_g_rolling_5,home_batting_r_per_g_rolling_10,away_batting_r_per_g_rolling_10
778207,6.0,6.2,4.4,5.7
778205,6.8,5.0,6.0,4.1
778200,4.6,2.2,3.7,3.5
778201,3.4,3.6,3.5,2.6
778202,3.0,4.2,2.6,3.9
778199,5.4,2.8,5.3,4.6
778198,3.0,6.6,4.9,5.0
778197,4.0,3.4,4.4,3.0
778195,2.6,4.4,2.6,3.4
778195,2.6,2.8,2.6,4.0
778195,4.4,4.4,3.2,3.4
778195,4.4,2.8,3.2,4.0
778189,3.8,3.6,3.5,2.6
778196,5.0,5.6,4.7,6.0
778190,3.6,2.6,2.9,3.6
778195,2.6,4.4,2.6,3.4
778195,2.6,2.8,2.6,4.0
778195,4.4,4.4,3.2,3.4
778195,4.4,2.8,3.2,4.0
778194,3.8,6.0,4.8,4.8
778193,3.2,3.4,3.5,4.6
778191,2.4,4.6,2.3,4.0
778188,5.4,3.6,5.9,4.9
778192,3.4,2.8,4.3,2.9
778182,7.8,4.8,6.7,5.1
778183,3.2,4.8,3.3,4.4
778185,4.6,1.8,4.2,3.2
778187,5.4,4.0,3.7,3.9
778186,3.0,2.8,3.5,2.3
778184,4.2,6.8,3.8,5.1
778181,2.8,8.0,3.9,7.0
778172,2.2,5.0,3.6,4.8
778177,4.0,5.0,5.8,4.6
778175,6.2,5.8,5.5,5.2
778178,3.6,3.6,4.4,2.8
778176,4.6,3.8,4.4,4.3
778171,4.4,3.4,4.4,3.0
778179,3.6,4.8,3.9,4.7
778179,3.6,5.4,3.9,5.0
778179,3.6,4.8,3.9,4.7
778179,3.6,5.4,3.9,5.0
778169,4.0,4.8,4.2,5.0
778168,3.6,3.2,4.1,4.3
778180,3.8,2.0,3.6,4.0
778180,3.8,2.0,3.6,3.9
778180,4.4,2.0,4.2,4.0
778180,4.4,2.0,4.2,3.9
778166,4.6,3.2,4.1,2.4
778164,4.8,4.4,3.3,5.2
778161,3.6,8.6,4.4,7.4
778173,3.6,5.0,3.5,4.3
778159,3.6,3.0,4.0,3.1
778174,6.0,2.6,5.5,4.7
778165,4.2,3.0,5.0,3.0
778167,5.0,3.4,3.7,3.2
778162,4.0,5.8,5.5,5.1
778160,1.8,3.2,3.0,3.3
778163,4.0,4.4,4.4,3.6
778154,5.4,5.4,5.6,4.9
778180,3.8,2.0,3.6,4.0
778180,3.8,2.0,3.6,3.9
778180,4.4,2.0,4.2,4.0
778180,4.4,2.0,4.2,3.9
778179,3.6,4.8,3.9,4.7
778179,3.6,5.4,3.9,5.0
778179,3.6,4.8,3.9,4.7
778179,3.6,5.4,3.9,5.0
778170,3.4,1.8,4.0,2.9
778170,3.4,1.8,4.0,2.2
778170,5.0,1.8,4.8,2.9
778170,5.0,1.8,4.8,2.2
778153,3.4,4.0,3.4,4.2
778156,3.6,1.4,4.1,2.6
778170,3.4,1.8,4.0,2.9
778170,3.4,1.8,4.0,2.2
778170,5.0,1.8,4.8,2.9
778170,5.0,1.8,4.8,2.2
778157,3.4,4.6,4.3,5.3
778155,4.4,2.4,4.7,3.2
778144,5.2,2.4,4.5,2.5
778152,4.6,3.0,3.6,2.9
778150,5.2,5.0,3.9,5.2
778148,3.8,5.0,4.1,7.2
778151,3.2,3.4,3.2,2.9
778149,4.6,4.6,4.1,3.9
778145,5.0,4.4,5.0,4.0
778146,1.4,4.0,2.1,3.3
778147,4.8,6.2,5.2,5.1
778136,6.6,4.0,6.6,4.5
778158,5.6,3.6,5.5,5.1
778138,3.6,4.4,4.2,4.6
778139,3.4,5.4,4.4,4.4
778140,1.8,5.6,2.6,4.7
778141,6.0,4.2,7.7,3.6
778143,2.2,4.2,2.8,4.1
778142,3.0,5.8,3.4,4.8
778137,3.6,5.6,3.1,5.2
778132,6.6,4.0,5.4,4.9
778129,3.4,6.4,3.5,5.1
778133,2.2,5.2,2.7,4.9
778135,3.0,5.4,3.6,5.2
778131,3.4,3.8,5.0,3.5
778128,4.6,4.0,3.7,3.8
