game_pk,home_pitching_era_rolling_5,away_pitching_era_rolling_5,home_pitching_era_rolling_10,away_pitching_era_rolling_10
778256,2.659090909090909,2.9302325581395348,3.0681818181818183,2.0746432491767286
778257,5.5227272727272725,4.704545454545454,4.295454545454546,4.044943820224719
778258,3.3260869565217392,4.5,2.3427331887201737,3.2282608695652173
778259,3.7674418604651163,2.4,3.733183856502242,2.730337078651685
778262,4.304347826086956,3.3260869565217392,4.193181818181818,2.8649835345773877
778264,4.5,7.363636363636363,3.596004439511654,5.127906976744186
778265,2.511627906976744,5.625,2.689655172413793,4.554216867469879
778267,5.142857142857143,3.4,4.5,2.8636363636363638
778232,3.0,4.071428571428571,4.5,4.445783132530121
778234,1.8,3.272727272727273,3.3488372093023258,5.011363636363637
778235,7.2439024390243905,6.0,6.642857142857143,6.035294117647059
778236,5.5227272727272725,5.651162790697675,4.5,4.193181818181818
778237,3.558139534883721,3.0681818181818183,3.492239467849224,2.659090909090909
778239,2.4,1.6363636363636365,2.9931192660550456,2.5280898876404496
778240,4.5,3.2,4.153846153846154,3.6542923433874708
778241,3.75,4.595744680851064,2.8361344537815127,3.3157894736842106
778242,3.4,5.232558139534884,3.065934065934066,3.477272727272727
778244,2.4545454545454546,3.0,2.5568181818181817,2.097669256381798
778245,4.8,7.346938775510205,3.556531284302964,5.2698048220436275
778246,2.511627906976744,5.4,2.793103448275862,4.5
778248,5.8,8.372093023255815,5.056179775280899,6.620689655172414
778249,4.186046511627907,4.090909090909091,4.295454545454546,3.272727272727273
778250,4.2,5.2,4.550561797752809,3.795782463928968
778266,6.0,4.186046511627907,6.0,6.035294117647059
778225,2.4,5.869565217391305,2.659090909090909,5.258426966292135
778226,3.847980997624703,1.6,4.549938347718866,2.8899082568807337
778227,5.318181818181818,2.8,3.741573033707865,3.3410672853828305
778228,2.2,2.8636363636363638,2.659090909090909,1.8202247191011236
778230,7.159090909090909,4.6,6.269662921348314,3.895671476137625
778231,2.4545454545454546,3.75,3.818807339449541,3.497899159663866
778233,3.7674418604651163,4.170731707317073,4.090909090909091,2.9302325581395348
778238,3.130434782608696,5.102040816326531,4.242424242424243,5.005675368898978
778210,3.4204275534441804,2.659090909090909,4.441833137485312,2.68348623853211
778211,2.9302325581395348,3.5217391304347827,4.235294117647059,3.5795454545454546
778212,4.8,3.9130434782608696,4.0,3.5604395604395602
778213,3.3488372093023258,2.0,3.375,2.793103448275862
778215,4.928571428571429,5.232558139534884,4.554216867469879,4.928571428571429
778216,4.604651162790698,5.429234338747101,3.9310344827586206,4.801362088535754
778217,2.4545454545454546,4.595744680851064,3.0681818181818183,4.295010845986985
778218,4.2,3.477272727272727,4.044943820224719,2.932584269662921
778219,6.545454545454546,5.113636363636363,6.573033707865169,3.842696629213483
778220,3.4468085106382977,2.659090909090909,3.9,4.146067415730337
778221,1.7608695652173914,4.071428571428571,2.352272727272727,2.352272727272727
778222,4.928571428571429,7.8,5.785714285714286,6.876404494382022
778223,2.6,5.0,2.4545454545454546,5.561797752808989
778224,2.739130434782609,3.5625,4.290578887627696,3.717391304347826
778229,3.477272727272727,5.625,4.604651162790698,3.7058823529411766
778197,4.813953488372093,2.8,3.9886363636363638,3.103448275862069
778198,3.7587006960556844,3.0681818181818183,4.390243902439025,2.9931192660550456
778199,4.6,4.8,4.1,3.8
778200,2.0,5.478260869565218,2.8636363636363638,4.648351648351649
778201,4.395348837209302,4.275534441805227,3.784090909090909,4.959816303099885
778202,4.090909090909091,3.9130434782608696,5.08235294117647,3.539325842696629
778203,2.6,5.5227272727272725,2.2247191011235956,6.034090909090909
778204,3.558139534883721,9.0,5.464285714285714,7.078651685393258
778205,5.170212765957447,4.295454545454546,4.153846153846154,4.651685393258427
778206,3.3260869565217392,3.558139534883721,4.247191011235955,3.0681818181818183
778207,3.3260869565217392,4.404255319148936,4.040404040404041,3.956043956043956
778208,5.931818181818182,4.714285714285714,6.168539325842697,3.8863636363636362
778209,1.9565217391304348,3.642857142857143,2.5568181818181817,2.352272727272727
778214,4.8,5.487804878048781,4.9655172413793105,3.7058823529411766
778188,5.170212765957447,4.404255319148936,4.010869565217392,3.717391304347826
778189,4.5,3.420427553444181,3.5795454545454546,5.435540069686411
778190,4.4,4.4,4.290697674418604,4.976470588235294
778191,3.6,3.9130434782608696,3.872093023255814,3.0
778192,5.232558139534884,3.272727272727273,3.784090909090909,3.103448275862069
778193,3.8863636363636362,9.627906976744185,4.976470588235294,6.573033707865169
778194,3.877551020408163,3.13953488372093,4.181184668989547,2.793103448275862
778195,3.9130434782608696,4.2,4.0344827586206895,4.976470588235294
778196,4.108695652173913,4.108695652173913,4.3,4.153846153846154
778171,4.081632653061225,3.333333333333333,4.076655052264809,2.580275229357798
778172,3.642857142857143,4.875,3.0,4.064516129032258
778175,4.0212765957446805,5.4,4.252747252747253,6.067415730337078
778176,4.395348837209302,2.8,5.420454545454546,3.0
778177,3.306122448979592,4.2,3.967741935483871,4.655172413793103
778178,5.113636363636363,2.925,3.9886363636363638,5.243757431629013
778181,3.477272727272727,4.5,5.294117647058823,3.8863636363636362
778182,4.875,5.701357466063348,4.108695652173913,5.54932735426009
778183,2.0454545454545454,2.152173913043478,3.9767441860465116,2.4
778184,5.487804878048781,3.857142857142857,4.178571428571429,3.103448275862069
778185,3.558139534883721,6.0,2.659090909090909,4.648351648351649
778186,3.951219512195122,4.2,3.6627906976744184,4.0813953488372094
778187,2.872340425531915,1.4,4.137931034482759,2.5568181818181817
778154,4.090909090909091,3.9130434782608696,4.351648351648351,6.067415730337078
778159,3.2,2.9166666666666665,3.513203214695752,2.346938775510204
778160,2.9302325581395348,3.4468085106382977,3.0,3.967741935483871
778161,4.909090909090909,3.9767441860465116,5.441860465116279,4.6022727272727275
778162,3.24,4.0,4.354838709677419,4.090909090909091
778163,4.604651162790698,2.2,3.8863636363636362,2.8
778164,4.928571428571429,4.390243902439025,3.9642857142857144,2.9302325581395348
778165,5.931818181818182,3.923076923076923,3.784090909090909,4.548736462093863
778166,3.857142857142857,5.931818181818182,3.9767441860465116,4.5
778167,2.25,1.4318181818181819,3.6818181818181817,2.4827586206896552
778168,1.565217391304348,8.372093023255815,2.0224719101123596,6.269662921348314
778169,2.9347826086956523,4.4,4.449438202247191,4.6
778173,2.4545454545454546,3.1858407079646014,3.310344827586207,2.825112107623318
778174,2.8125,4.583333333333333,4.108695652173913,5.204081632653061
778179,4.304347826086956,3.6,4.752808988764045,3.3626373626373627
778180,1.9565217391304348,8.357142857142858,2.2247191011235956,6.206896551724138
778136,3.477272727272727,5.931818181818182,3.5217391304347827,6.545454545454546
778144,2.7209302325581395,6.488372093023256,3.6627906976744184,4.709302325581396
778145,4.5,2.9302325581395348,3.8863636363636362,3.235955056179775
778146,2.9302325581395348,2.872340425531915,2.896551724137931,3.3870967741935485
778147,4.408163265306122,4.891304347826087,4.595744680851064,4.348314606741573
778148,5.931818181818182,4.604651162790698,5.586206896551724,4.6022727272727275
778149,5.2,3.6,4.295454545454546,4.548736462093863
778150,4.395348837209302,4.598540145985402,4.285714285714286,3.5957696827262047
778151,3.2,3.404255319148936,3.3065442020665903,2.680412371134021
778152,1.7234042553191489,1.255813953488372,3.235955056179775,1.8620689655172413
778153,2.2,2.389380530973451,3.5172413793103448,2.3946784922394677
778155,2.0,4.609756097560975,2.1,6.27906976744186
778156,2.7209302325581395,5.357142857142857,2.965909090909091,4.5
778157,4.4,4.295454545454546,4.853932584269663,3.5
778158,4.3125,4.052132701421801,4.891304347826087,5.0
778170,2.9302325581395348,6.146341463414634,2.8636363636363638,4.853932584269663
778132,4.909090909090909,6.906976744186046,3.784090909090909,6.724137931034483
778137,7.116279069767442,5.0,5.7272727272727275,4.247191011235955
778138,3.4,3.047404063205418,3.477272727272727,2.8219484882418815
778139,6.0,2.302325581395349,5.1,3.3488372093023258
778140,4.829268292682927,1.8409090909090908,6.988235294117647,2.659090909090909
778141,3.477272727272727,4.295454545454546,4.295454545454546,4.928571428571429
778142,1.8837209302325582,1.4,2.1724137931034484,1.5824175824175823
778143,2.8329297820823247,3.717391304347826,2.8157589803012746,4.247191011235955
778120,6.75,3.6,5.46067415730337,4.2
778121,3.2,5.571428571428571,3.8152173913043477,4.813953488372093
778122,2.127659574468085,3.5217391304347827,2.7114716106604866,4.348314606741573
778123,3.8,7.517401392111369,4.044943820224719,6.7164179104477615
778124,2.7209302325581395,1.8409090909090908,2.352272727272727,1.9
778125,3.503649635036496,4.16058394160584,3.894230769230769,3.5957696827262047
778126,2.4545454545454546,2.0,3.244186046511628,2.8603859250851307
778127,5.7073170731707314,4.295454545454546,5.113636363636363,3.8
778128,2.25,2.6,3.4838709677419355,3.5
778129,7.8,1.8837209302325582,5.538461538461538,3.176470588235294
778130,3.8600451467268626,4.775510204081633,3.2250839865621503,4.691489361702128
778131,3.0542986425339365,6.6,4.0358744394618835,5.258426966292135
778133,4.285714285714286,2.0454545454545454,6.988235294117647,2.793103448275862
778135,3.857142857142857,4.595744680851064,3.8863636363636362,4.0212765957446805
778102,7.2,3.8,5.359550561797753,4.0
778104,2.8,6.146341463414634,3.4615384615384617,4.813953488372093
778105,3.272727272727273,3.0681818181818183,3.453488372093023,3.4733257661748014
778106,1.8793503480278424,6.0,2.6071842410196986,5.561797752808989
778109,2.739130434782609,9.619952494061758,3.539325842696629,7.439724454649828
778110,3.3488372093023258,3.13953488372093,2.352272727272727,2.3258426966292136
778111,3.4204275534441804,3.8479809976247035,3.4204275534441804,3.490011750881316
