game_pk,date,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10
287170,2011-04-21,2.368421052631579,1.2857142857142858
287171,2011-04-21,0.0,1.40625
287172,2011-04-21,2.410714285714286,0.4945054945054945
287173,2011-04-21,0.9473684210526315,2.0
287174,2011-04-21,0.6666666666666666,0.0
287175,2011-04-21,2.231404958677686,1.0
287176,2011-04-21,1.956521739130435,1.8620689655172413
287177,2011-04-21,0.4072398190045249,2.4324324324324325
287178,2011-04-22,1.1111111111111112,1.1842105263157896
287179,2011-04-22,1.267605633802817,0.8866995073891625
287180,2011-04-22,0.30716723549488056,1.0756972111553784
287181,2011-04-22,0.6206896551724138,0.34615384615384615
287182,2011-04-22,0.0,2.4324324324324325
287184,2011-04-22,1.1688311688311688,0.0
287185,2011-04-22,1.0756972111553784,0.0
287186,2011-04-22,0.9375,0.6844106463878327
287187,2011-04-22,1.7647058823529413,0.8181818181818182
287189,2011-04-22,0.0,0.0
287190,2011-04-22,0.46632124352331605,0.0
287191,2011-04-22,0.6870229007633588,1.0404624277456647
287193,2011-04-23,0.0,1.5789473684210524
287194,2011-04-23,0.34220532319391633,0.3435114503816794
287195,2011-04-23,0.7142857142857143,1.9285714285714286
287196,2011-04-23,1.323529411764706,0.7142857142857143
287197,2011-04-23,1.125,0.4225352112676056
287198,2011-04-23,0.9,1.4876033057851241
287199,2011-04-23,1.3740458015267176,1.588235294117647
287200,2011-04-23,0.3879310344827586,1.379310344827586
287201,2011-04-23,1.413612565445026,0.46632124352331605
287202,2011-04-23,1.8518518518518519,0.8450704225352113
287203,2011-04-23,3.2926829268292686,0.37037037037037035
287204,2011-04-23,0.4186046511627907,0.7377049180327869
287205,2011-04-23,0.4225352112676056,1.0526315789473684
287206,2011-04-23,0.0,0.3191489361702128
287207,2011-04-23,4.390243902439025,0.7407407407407407
287208,2011-04-24,0.782608695652174,3.0
287209,2011-04-24,0.40358744394618834,1.1688311688311688
287210,2011-04-24,0.0,1.9014084507042255
287211,2011-04-24,1.9565217391304348,1.0
287212,2011-04-24,1.5517241379310347,2.4324324324324325
287213,2011-04-24,1.115702479338843,0.3557312252964427
287214,2011-04-24,0.34220532319391633,2.4545454545454546
287215,2011-04-24,1.6216216216216217,0.782608695652174
287216,2011-04-24,0.0,1.0384615384615385
287217,2011-04-24,1.0714285714285714,1.711026615969582
287218,2011-04-24,0.8530805687203791,0.0
287219,2011-04-24,0.37037037037037035,0.0
287220,2011-04-24,0.0,0.3191489361702128
287221,2011-04-24,0.7114624505928855,0.9278350515463917
287222,2011-04-24,0.6428571428571429,0.47120418848167533
287192,2011-04-25,0.41666666666666663,0.8571428571428571
287223,2011-04-25,0.35714285714285715,0.33088235294117646
287224,2011-04-25,1.6216216216216217,0.5590062111801242
287225,2011-04-25,0.37190082644628103,1.5584415584415583
287226,2011-04-25,0.0,1.7647058823529411
287227,2011-04-25,1.3333333333333333,1.3846153846153846
287228,2011-04-25,0.5070422535211268,1.08
287229,2011-04-25,0.8144796380090498,0.7171314741035856
287230,2011-04-25,2.6470588235294117,0.7725321888412017
287231,2011-04-26,0.0,0.6923076923076923
287232,2011-04-26,0.7142857142857143,2.7835051546391756
287233,2011-04-26,0.0,1.0
287234,2011-04-26,1.5,0.7758620689655172
287235,2011-04-26,5.1923076923076925,0.38626609442060084
287236,2011-04-26,0.0,1.7307692307692308
287237,2011-04-26,1.8881118881118881,1.1392405063291138
287238,2011-04-26,0.37344398340248963,0.0
287239,2011-04-26,1.5,0.30716723549488056
287240,2011-04-26,0.7468879668049793,0.75
