game_pk,date,home_k_bb_ratio_rolling_5,away_k_bb_ratio_rolling_5,home_k_bb_ratio_rolling_10,away_k_bb_ratio_rolling_10
778178,2025-04-25,2.2,0.0,2.2,0.0
778181,2025-04-25,6.333333333333333,5.333333333333333,6.333333333333333,5.333333333333333
778182,2025-04-25,10.0,2.0,10.0,2.0
778183,2025-04-25,3.857142857142857,2.857142857142857,3.857142857142857,2.857142857142857
778184,2025-04-25,12.0,2.375,12.0,2.375
778185,2025-04-25,1.8571428571428572,1.8461538461538463,1.8571428571428572,1.8461538461538463
778186,2025-04-25,7.0,1.4285714285714286,7.0,1.4285714285714286
778187,2025-04-25,1.9090909090909092,6.25,1.9090909090909092,6.25
778154,2025-04-26,1.9166666666666667,2.625,1.9166666666666667,2.625
778159,2025-04-26,1.3888888888888888,2.0833333333333335,1.3888888888888888,2.0833333333333335
778160,2025-04-26,3.75,3.1,3.75,3.1
778161,2025-04-26,2.75,5.833333333333333,1.8333333333333333,5.833333333333333
778162,2025-04-26,1.9090909090909092,1.4285714285714286,1.9090909090909092,1.4285714285714286
778163,2025-04-26,1.0,2.0,1.0,2.0
778164,2025-04-26,7.25,1.2222222222222223,7.25,1.2222222222222223
778165,2025-04-26,1.6428571428571428,0.0,1.6428571428571428,0.0
778166,2025-04-26,3.2,2.0,3.2,2.0
778167,2025-04-26,2.0,2.3636363636363638,2.0,2.3636363636363638
778168,2025-04-26,2.5714285714285716,1.0,2.5714285714285716,1.0
778169,2025-04-26,0.0,3.25,0.0,3.25
778173,2025-04-26,1.6666666666666667,2.6153846153846154,1.6666666666666667,2.6153846153846154
778174,2025-04-26,2.1,5.142857142857143,2.1,5.142857142857143
778179,2025-04-26,2.375,1.6363636363636365,2.375,1.6363636363636365
778179,2025-04-26,2.375,1.6363636363636365,2.375,2.0
778179,2025-04-26,2.375,1.6363636363636365,2.090909090909091,1.6363636363636365
778179,2025-04-26,2.375,1.6363636363636365,2.090909090909091,2.0
778179,2025-04-26,2.375,2.4444444444444446,2.375,1.6363636363636365
