game_pk,date,home_k_per_9_rolling_5,away_k_per_9_rolling_5,home_k_per_9_rolling_10,away_k_per_9_rolling_10
778195,2025-04-24,7.463414634146342,11.408450704225352,7.463414634146342,11.408450704225352
778196,2025-04-24,10.063897763578275,7.615384615384615,10.063897763578275,7.615384615384615
778171,2025-04-25,8.808510638297872,9.23841059602649,8.808510638297872,9.23841059602649
778172,2025-04-25,10.488721804511277,12.217194570135746,10.488721804511277,12.217194570135746
778175,2025-04-25,13.977272727272728,4.2105263157894735,13.977272727272728,4.2105263157894735
778176,2025-04-25,11.793103448275861,8.681672025723472,11.793103448275861,8.681672025723472
778177,2025-04-25,9.886363636363637,12.857142857142858,9.886363636363637,12.857142857142858
778178,2025-04-25,6.149068322981366,0.0,6.149068322981366,0.0
778181,2025-04-25,6.758893280632411,13.090909090909092,6.758893280632411,13.090909090909092
778182,2025-04-25,12.162162162162161,7.5,12.162162162162161,7.5
778183,2025-04-25,8.350515463917525,8.108108108108109,8.350515463917525,8.108108108108109
778184,2025-04-25,8.88888888888889,8.814432989690722,8.88888888888889,8.814432989690722
778185,2025-04-25,6.428571428571429,7.659574468085107,6.428571428571429,7.659574468085107
778186,2025-04-25,7.777777777777778,4.5,7.777777777777778,4.5
778187,2025-04-25,6.608391608391608,9.782608695652174,6.608391608391608,9.782608695652174
778154,2025-04-26,7.93103448275862,7.875,7.93103448275862,7.875
778159,2025-04-26,9.33609958506224,8.587786259541986,9.33609958506224,8.587786259541986
778160,2025-04-26,11.065573770491804,9.964285714285714,11.065573770491804,9.964285714285714
778161,2025-04-26,3.4615384615384617,10.43046357615894,3.4615384615384617,10.43046357615894
778162,2025-04-26,7.411764705882353,8.823529411764707,7.411764705882353,8.823529411764707
778163,2025-04-26,7.5,6.593406593406593,7.5,6.593406593406593
778164,2025-04-26,9.0,7.071428571428571,9.0,7.071428571428571
778165,2025-04-26,9.366515837104071,18.0,9.366515837104071,18.0
778166,2025-04-26,10.140845070422536,8.65979381443299,10.140845070422536,8.65979381443299
778167,2025-04-26,7.317073170731707,8.357142857142858,7.317073170731707,8.357142857142858
778168,2025-04-26,6.923076923076923,6.75,6.923076923076923,6.75
778169,2025-04-26,0.0,8.602941176470589,0.0,8.602941176470589
778173,2025-04-26,8.108108108108109,12.489795918367347,8.108108108108109,12.489795918367347
778174,2025-04-26,9.947368421052632,10.764119601328904,9.947368421052632,10.764119601328904
