game_pk,date,home_hr_per_9_rolling_10,away_hr_per_9_rolling_10
778166,2025-04-26,1.267605633802817,1.2371134020618557
778167,2025-04-26,0.36585365853658536,0.6428571428571429
778168,2025-04-26,1.153846153846154,2.25
778169,2025-04-26,0.0,1.3235294117647058
778173,2025-04-26,0.0,0.0
778174,2025-04-26,1.4210526315789473,0.2990033222591362
778179,2025-04-26,1.0714285714285714,2.297872340425532
778180,2025-04-26,3.956043956043956,0.0
778136,2025-04-27,0.0,0.9215017064846416
778144,2025-04-27,1.6666666666666667,0.9782608695652173
778145,2025-04-27,1.0588235294117647,1.3846153846153846
778146,2025-04-27,0.0,2.4827586206896552
778147,2025-04-27,1.5410958904109588,0.8653846153846154
778148,2025-04-27,0.0,1.3043478260869565
778149,2025-04-27,1.7786561264822134,0.0
778150,2025-04-27,1.0,0.4945054945054945
778151,2025-04-27,0.6642066420664207,0.0
778152,2025-04-27,0.297029702970297,0.2903225806451613
778153,2025-04-27,0.2803738317757009,0.0
778155,2025-04-27,0.9574468085106383,2.6694915254237293
778156,2025-04-27,0.6040268456375839,1.157556270096463
778157,2025-04-27,0.4568527918781726,1.8
778158,2025-04-27,1.717557251908397,1.9780219780219783
778170,2025-04-27,1.956521739130435,0.0
778132,2025-04-28,0.4090909090909091,1.9014084507042255
778137,2025-04-28,1.4285714285714286,2.142857142857143
778138,2025-04-28,1.115702479338843,0.7114624505928854
778139,2025-04-28,1.4229249011857708,1.8518518518518519
778140,2025-04-28,1.9780219780219779,0.8910891089108911
778141,2025-04-28,1.4516129032258065,1.717557251908397
778142,2025-04-28,1.205357142857143,1.0505836575875487
778143,2025-04-28,1.9148936170212767,1.3186813186813187
778120,2025-04-29,0.9278350515463918,1.3636363636363638
778121,2025-04-29,0.3673469387755102,1.7716535433070868
778122,2025-04-29,1.7110266159695817,0.0
778123,2025-04-29,0.0,1.205357142857143
778124,2025-04-29,0.6338028169014085,0.34090909090909094
778125,2025-04-29,0.0,0.8157099697885196
778126,2025-04-29,0.3,0.2493074792243767
778127,2025-04-29,2.0377358490566038,0.24793388429752067
778128,2025-04-29,1.281138790035587,1.0188679245283019
778129,2025-04-29,2.926829268292683,2.0361990950226243
778130,2025-04-29,0.6818181818181819,0.9818181818181818
778131,2025-04-29,1.4555256064690025,0.7714285714285715
778133,2025-04-29,0.0,1.274787535410765
778135,2025-04-29,0.28938906752411575,1.891891891891892
778102,2025-04-30,3.91304347826087,1.3138686131386863
778104,2025-04-30,1.6071428571428572,1.6544117647058825
778105,2025-04-30,0.8544303797468354,1.0714285714285714
778106,2025-04-30,0.7458563535911602,0.9424083769633507
778109,2025-04-30,0.0,1.6143497757847534
778110,2025-04-30,0.0,0.9
778111,2025-04-30,0.34090909090909094,2.25
778112,2025-04-30,0.8450704225352113,0.9608540925266903
778113,2025-04-30,0.35714285714285715,0.0
778114,2025-04-30,0.0,0.0
778115,2025-04-30,1.5254237288135593,1.5517241379310345
778116,2025-04-30,1.469387755102041,0.8490566037735849
778117,2025-04-30,0.0,1.3740458015267176
778118,2025-04-30,1.4173228346456694,1.4917127071823204
778119,2025-04-30,0.0,0.0
778134,2025-04-30,0.9963099630996309,0.0
778094,2025-05-01,2.547169811320755,0.7659574468085106
778095,2025-05-01,1.6216216216216217,1.894736842105263
778096,2025-05-01,0.0,1.601423487544484
778097,2025-05-01,0.9278350515463917,1.4754098360655736
778098,2025-05-01,1.2203389830508475,0.6122448979591837
778099,2025-05-01,0.8108108108108109,0.5960264900662252
778100,2025-05-01,0.24193548387096772,0.0
778101,2025-05-01,1.157556270096463,1.263157894736842
778103,2025-05-01,0.3191489361702128,1.4331210191082804
778107,2025-05-01,1.8,0.297029702970297
778108,2025-05-01,1.490066225165563,1.398963730569948
778079,2025-05-02,1.5384615384615385,0.75
778080,2025-05-02,0.7258064516129032,1.2162162162162162
778081,2025-05-02,0.5504587155963302,0.7563025210084033
778082,2025-05-02,1.4469453376205788,2.2183098591549295
778083,2025-05-02,0.0,0.84375
778084,2025-05-02,1.2857142857142858,0.0
778085,2025-05-02,0.8282208588957055,0.7894736842105262
