game_pk,home_pitching_k_bb_ratio_rolling_10,away_pitching_k_bb_ratio_rolling_10
318210,1.8974358974358974,1.5853658536585367
318211,2.361111111111111,1.8695652173913044
318212,1.5675675675675675,2.7857142857142856
318213,2.5142857142857142,2.057142857142857
318214,1.5142857142857142,1.7837837837837838
318215,2.4642857142857144,1.7567567567567568
318216,2.3125,2.1578947368421053
318217,2.586206896551724,2.0294117647058822
318218,2.48,1.7567567567567568
318219,3.32,3.1379310344827585
318220,1.9642857142857142,2.4838709677419355
318221,3.590909090909091,2.6666666666666665
318222,2.606060606060606,2.4074074074074074
318223,2.4193548387096775,1.9714285714285715
318224,2.8,1.558139534883721
318225,1.6923076923076923,1.391304347826087
318226,2.3333333333333335,1.8666666666666667
318227,1.5384615384615385,3.24
318228,2.4285714285714284,2.466666666666667
318229,1.6176470588235294,1.9714285714285715
318230,2.3793103448275863,2.0625
318231,2.6451612903225805,2.05
318232,2.3548387096774195,2.2333333333333334
318233,2.590909090909091,1.6842105263157894
318234,2.7586206896551726,2.8666666666666667
318235,1.9333333333333333,2.0277777777777777
318236,4.095238095238095,2.9615384615384617
318237,2.870967741935484,2.2666666666666666
318238,2.1714285714285713,1.8974358974358974
318239,3.1481481481481484,1.4651162790697674
318240,1.5128205128205128,1.65
318241,2.3125,2.048780487804878
318242,1.8333333333333333,3.2962962962962963
318243,2.323529411764706,2.1515151515151514
318244,2.0,2.0285714285714285
318245,2.34375,1.935483870967742
318246,2.8,2.0
318247,2.3666666666666667,2.6538461538461537
318248,2.076923076923077,1.794871794871795
318249,2.9285714285714284,2.5294117647058822
318250,2.2962962962962963,1.85
318251,3.64,3.1923076923076925
318252,2.0294117647058822,1.9583333333333333
318253,2.1052631578947367,1.3409090909090908
318254,2.0789473684210527,3.310344827586207
318255,2.423076923076923,1.6829268292682926
318256,2.242424242424242,1.826086956521739
318257,1.9090909090909092,3.2857142857142856
318258,2.7666666666666666,2.303030303030303
318259,3.033333333333333,2.0277777777777777
318260,2.2857142857142856,3.269230769230769
318261,2.7419354838709675,2.433333333333333
318262,1.9375,1.736842105263158
318263,2.2058823529411766,2.5161290322580645
318264,3.1481481481481484,1.9487179487179487
318265,1.4146341463414633,2.5
318266,1.4666666666666666,2.5
318267,2.0606060606060606,2.125
318268,1.9523809523809523,1.4634146341463414
318269,1.9268292682926829,3.096774193548387
318270,2.1379310344827585,1.6829268292682926
318271,1.9722222222222223,2.073170731707317
318272,1.631578947368421,3.2413793103448274
318273,2.870967741935484,2.272727272727273
318274,2.935483870967742,2.2285714285714286
318275,2.357142857142857,3.2222222222222223
318276,2.625,2.40625
318277,1.6944444444444444,1.8285714285714285
318278,2.1714285714285713,2.64
318279,3.1785714285714284,1.8333333333333333
318280,1.6,2.3548387096774195
318281,1.411764705882353,2.25
318282,1.8888888888888888,2.3181818181818183
318283,2.2857142857142856,2.257142857142857
318284,2.235294117647059,1.7142857142857142
318285,1.6944444444444444,1.4878048780487805
318286,2.64,2.9393939393939394
318287,2.0277777777777777,2.6666666666666665
318288,2.088235294117647,2.0606060606060606
318289,2.34375,3.44
318290,2.727272727272727,2.5833333333333335
318291,1.44,2.1666666666666665
318292,2.966666666666667,1.8484848484848484
318293,1.3777777777777778,3.88
318294,2.966666666666667,2.392857142857143
318295,1.5,2.5517241379310347
318296,2.057142857142857,2.1538461538461537
318297,2.119047619047619,2.2857142857142856
318298,2.3333333333333335,2.0
318299,2.566666666666667,1.9285714285714286
318300,1.78125,1.5128205128205128
318301,2.64,3.4482758620689653
318302,2.3125,2.8846153846153846
318303,2.21875,1.7837837837837838
318304,2.46875,3.107142857142857
318305,2.696969696969697,2.4166666666666665
318306,1.4901960784313726,2.59375
318307,3.2222222222222223,1.7878787878787878
318308,1.4222222222222223,4.3478260869565215
318309,3.032258064516129,2.392857142857143
318310,1.5526315789473684,2.1515151515151514
318311,2.090909090909091,2.6
318312,2.4193548387096775,1.5405405405405406
318313,2.606060606060606,2.12
318314,3.0,2.5517241379310347
318315,3.5,2.096774193548387
318316,4.173913043478261,2.0689655172413794
318317,1.3829787234042554,1.7105263157894737
318318,2.53125,2.9375
318319,1.5,2.642857142857143
318320,3.3461538461538463,2.25
318321,1.309090909090909,3.130434782608696
318322,1.96875,1.935483870967742
318323,2.657142857142857,2.6785714285714284
318324,1.875,2.0833333333333335
318325,2.2666666666666666,2.0
318326,2.75,2.7419354838709675
318327,2.088235294117647,1.5384615384615385
318328,2.7666666666666666,2.3333333333333335
318329,3.1379310344827585,2.642857142857143
318330,3.6785714285714284,2.3793103448275863
318331,4.9,2.096774193548387
318332,1.3695652173913044,1.8857142857142857
318333,2.7857142857142856,2.71875
318334,1.575,2.125
318335,3.25,2.04
318336,1.309090909090909,3.0
318337,2.5357142857142856,1.7647058823529411
318338,3.129032258064516,2.413793103448276
318339,2.186046511627907,2.0277777777777777
318340,2.5172413793103448,1.8409090909090908
318341,2.892857142857143,2.5294117647058822
318342,2.25,1.7027027027027026
318343,2.9285714285714284,2.2916666666666665
318344,3.033333333333333,2.121212121212121
318345,3.6206896551724137,2.3448275862068964
318346,6.125,2.0625
318347,1.2857142857142858,2.0625
318348,3.185185185185185,2.9
318349,1.763157894736842,2.03125
318350,2.774193548387097,2.52
318351,1.2941176470588236,3.2916666666666665
318352,2.8518518518518516,1.7142857142857142
318353,3.2903225806451615,2.3214285714285716
318354,2.186046511627907,2.0606060606060606
318355,2.5,1.7674418604651163
318356,2.9310344827586206,2.6666666666666665
318357,1.8888888888888888,1.945945945945946
318358,2.8666666666666667,2.085714285714286
318359,2.0606060606060606,2.09375
318360,3.36,1.4042553191489362
318361,1.84375,2.0697674418604652
318362,2.6875,2.6129032258064515
318363,2.375,2.5384615384615383
318364,2.4444444444444446,2.8275862068965516
318365,1.7674418604651163,1.9736842105263157
318366,2.2857142857142856,2.75
318367,2.272727272727273,2.4545454545454546
318368,3.1,1.2777777777777777
318369,6.666666666666667,3.5517241379310347
318370,1.9393939393939394,1.775
318371,2.6129032258064515,2.0
318372,2.642857142857143,2.3666666666666667
318373,2.9285714285714284,1.7297297297297298
318374,1.896551724137931,1.9574468085106382
318375,1.7297297297297298,3.8214285714285716
318376,2.5588235294117645,2.7419354838709675
318377,2.259259259259259,2.6153846153846154
318378,2.0294117647058822,2.36
318379,2.2333333333333334,2.7
318380,1.9230769230769231,2.1714285714285713
318381,2.2222222222222223,2.806451612903226
318382,2.272727272727273,2.3142857142857145
318383,3.1379310344827585,1.3529411764705883
318384,6.571428571428571,3.4482758620689653
318385,1.6666666666666667,1.868421052631579
318386,3.0,2.03125
318387,2.689655172413793,2.375
318388,3.4615384615384617,1.837837837837838
318389,2.0714285714285716,1.7358490566037736
318390,1.6756756756756757,4.115384615384615
318391,2.4857142857142858,2.7666666666666666
318392,2.4074074074074074,3.2083333333333335
318393,2.0,2.5833333333333335
318394,2.34375,3.1379310344827585
318395,2.242424242424242,1.8918918918918919
318396,2.1621621621621623,2.8666666666666667
318397,2.2,2.515151515151515
318398,3.1785714285714284,1.4444444444444444
318399,7.153846153846154,3.103448275862069
318400,2.4516129032258065,1.9230769230769231
318401,3.2,1.8125
318402,1.5789473684210527,3.8076923076923075
318403,1.8918918918918919,2.3076923076923075
318404,2.161290322580645,7.3076923076923075
318405,3.576923076923077,1.868421052631579
318406,2.1481481481481484,2.7419354838709675
318407,3.0,2.515151515151515
318408,2.466666666666667,1.763157894736842
