game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
318195,0.4,0.2
318196,0.6,2.0
318197,1.8,1.6
318199,1.2,0.8
318200,1.2,1.2
318198,2.2,1.8
318201,1.0,0.4
318202,1.2,0.8
318203,1.8,1.6
318204,2.0,2.0
318205,0.8,1.2
318206,1.2,1.2
318207,2.0,0.8
318208,2.2,1.0
318209,0.8,0.6
318210,1.2,0.6
318211,0.2,0.8
318212,1.4,1.0
318213,1.2,0.6
318214,0.4,0.4
318215,1.2,0.6
318216,0.6,0.0
318217,1.8,0.4
318218,0.4,0.2
318219,2.6,1.4
318220,1.0,1.0
318221,1.0,1.6
318222,2.6,0.8
318223,3.0,1.0
318224,0.8,0.8
318225,1.0,0.4
318226,0.8,0.4
318227,1.6,0.4
318228,0.8,0.2
318229,0.4,0.4
318230,1.2,0.8
318231,1.0,0.2
318232,2.0,0.6
318233,0.6,0.4
318234,2.4,0.8
318235,0.6,1.6
318236,1.0,1.4
318237,2.2,0.8
318238,2.4,0.8
318239,1.0,0.8
318240,0.4,0.4
318241,0.6,0.6
318242,1.4,0.4
318243,1.2,0.2
318244,0.4,0.2
318245,1.2,1.0
318246,0.6,0.2
318247,1.8,0.6
318248,0.6,0.4
318249,2.2,0.8
318250,0.6,1.8
318251,0.6,1.8
318252,0.8,0.4
318253,1.8,0.6
318254,0.6,0.8
318255,0.6,0.4
318256,0.6,0.4
318257,0.4,0.2
318258,0.8,0.2
318259,1.4,0.4
318260,0.8,0.8
318261,2.2,1.2
318262,1.2,1.2
318263,1.0,0.6
318264,1.4,0.2
318265,0.8,1.0
318266,1.6,0.8
318267,1.0,0.6
318268,1.4,0.8
318269,0.6,0.6
318270,0.6,0.6
318271,0.6,0.6
318272,0.8,0.2
318273,0.8,0.4
318274,1.4,0.2
318275,0.8,0.6
318276,2.4,1.6
318277,1.2,1.4
318278,0.8,0.6
318279,2.0,0.2
318280,1.2,1.0
318281,1.0,0.8
318282,0.8,0.6
318283,0.4,1.6
318284,1.0,1.2
318285,1.4,0.8
318286,0.4,0.6
318287,0.8,0.8
318288,0.4,1.2
318289,0.4,1.0
318290,0.6,0.4
318291,1.2,1.4
318292,1.4,1.0
318293,1.2,1.4
318294,1.6,0.8
318295,0.8,1.0
318296,0.6,1.6
318297,0.6,0.2
318298,0.4,1.4
318299,1.0,1.2
318300,1.4,0.8
318301,0.2,1.0
318302,0.4,0.8
318303,0.4,0.6
318304,0.6,1.0
318305,0.6,0.8
318306,1.2,1.0
318307,1.0,0.4
318308,1.2,1.4
318309,1.8,1.0
318310,1.0,0.8
318311,0.4,1.0
318312,0.4,1.4
318313,0.4,0.4
318314,0.8,0.4
318315,1.4,1.4
318316,1.4,1.4
318317,1.6,1.0
318318,0.6,1.2
318319,1.2,0.8
318320,0.8,1.2
318321,1.4,0.2
318322,0.4,0.6
318323,1.2,1.2
318324,0.8,0.6
318325,0.6,1.4
318326,0.8,1.2
318327,0.6,0.8
318328,0.4,0.4
318329,0.4,0.6
318330,1.6,1.2
318331,1.6,1.6
318332,1.2,1.4
318333,1.0,0.6
318334,1.2,0.4
318335,1.0,1.2
318336,2.4,0.4
318337,0.2,0.6
318338,1.4,1.2
318339,0.8,0.4
318340,0.4,1.4
318341,0.8,1.2
318342,0.6,0.8
318343,0.8,0.2
318344,0.6,0.6
318345,1.2,1.4
318346,1.6,2.0
318347,1.4,1.6
318348,1.0,0.8
318349,1.2,0.2
318350,1.2,1.2
318351,2.4,0.4
318352,0.0,0.4
318353,1.6,1.4
318354,0.8,0.6
318355,0.4,1.4
318356,1.2,1.2
318357,0.6,0.8
318358,1.2,0.6
318359,1.2,2.2
318360,1.2,1.0
318361,0.2,1.0
318362,1.0,0.6
318363,0.2,0.4
318364,1.6,0.4
318365,1.0,0.4
318366,1.2,0.0
318367,1.2,1.2
318368,0.4,2.4
318369,1.0,1.6
318370,0.6,0.4
318371,1.6,0.8
318372,1.0,2.4
318373,1.6,0.8
318374,0.2,1.2
318375,0.6,1.2
318376,1.0,1.0
318377,0.2,1.0
318378,2.0,1.2
318379,1.6,0.4
318380,1.0,0.2
318381,1.2,0.4
318382,1.0,1.2
318383,0.6,1.8
318384,0.6,1.2
318385,0.4,0.4
318386,2.0,1.0
318387,1.2,2.2
318388,1.6,0.6
318389,0.2,0.8
318390,0.4,1.4
318391,1.2,1.2
318392,0.4,1.0
318393,2.0,1.0
318394,1.0,0.2
318395,0.6,0.2
318396,1.2,0.8
318397,1.0,0.8
318398,1.2,1.6
318399,0.8,1.6
318400,1.0,0.4
318401,2.2,1.0
318402,0.4,0.8
318403,2.2,0.6
318404,0.6,0.6
318405,0.0,0.2
318406,0.2,0.8
318407,0.8,0.6
318408,1.0,0.8
318409,2.8,0.6
318410,2.4,1.0
318411,1.0,0.6
318412,1.2,1.6
318413,1.4,1.4
318414,0.8,1.2
318415,0.4,1.4
318416,1.2,0.6
318417,0.2,0.4
318418,0.4,0.8
318419,2.2,1.2
318420,0.8,1.0
318421,1.4,1.6
318422,0.4,0.6
318423,0.6,0.4
318424,2.8,0.6
318425,2.0,1.0
318426,0.8,0.4
318427,1.0,1.2
318428,1.2,1.2
318429,1.0,1.6
318430,0.8,1.6
318431,1.4,0.8
318432,0.4,0.4
318433,0.8,1.0
318434,1.4,1.4
318435,1.2,1.2
318436,1.4,1.4
318437,0.6,1.0
318438,0.2,0.6
318439,2.6,1.0
318440,1.8,0.6
318441,1.2,0.2
318442,1.0,1.0
318443,1.6,1.4
318444,1.2,1.0
318445,0.8,2.0
318446,1.2,0.8
318447,1.0,0.4
318448,0.6,0.6
318449,1.2,1.4
318450,1.8,1.2
318451,1.4,1.2
318452,0.4,1.4
318453,1.6,1.4
318454,1.4,2.6
318455,0.6,2.0
318456,1.2,0.2
318457,1.4,0.4
318458,1.2,1.4
318459,0.6,0.8
318460,1.2,2.2
318461,1.0,0.8
318462,1.0,0.6
318463,0.8,0.4
318464,2.2,0.6
318465,1.0,1.8
318466,0.6,1.2
318472,1.8,0.4
318467,0.4,1.2
318468,1.8,1.0
318469,0.8,2.4
318470,0.6,1.8
318471,1.2,0.8
318473,1.2,1.6
318474,0.6,1.0
318475,1.6,2.4
318476,1.2,1.2
318477,1.4,0.8
318478,1.4,1.0
318479,2.6,0.4
318480,0.8,1.8
318481,1.0,1.0
318482,0.4,0.8
318483,1.4,1.2
318484,1.0,1.6
318485,0.6,1.4
318486,0.8,1.2
318487,1.8,1.0
318488,1.0,1.4
318489,0.4,1.0
318490,1.8,1.8
318491,0.8,1.0
318492,1.6,0.8
318493,1.4,1.0
318494,2.6,0.6
318495,0.8,1.4
318496,1.0,0.8
318497,1.4,1.2
318498,2.6,0.8
318499,0.4,0.4
318500,1.6,0.8
318502,0.8,1.0
318503,2.0,1.4
318504,0.2,1.6
318505,1.0,1.4
318506,1.2,0.8
318507,3.0,0.2
318508,0.8,1.0
318509,1.4,1.6
318510,1.2,0.6
318511,0.8,0.6
318512,1.0,1.2
318513,1.8,1.2
318514,1.8,2.0
318515,1.8,0.6
318516,0.8,1.0
318517,1.0,0.6
318518,2.2,1.4
318519,0.2,1.6
318520,1.0,1.0
318521,1.4,1.2
318522,2.6,0.0
318523,0.8,0.6
318524,1.4,1.4
318525,1.0,0.4
318526,1.2,0.6
318527,1.2,1.2
318528,1.4,1.2
318529,1.4,1.2
318530,1.8,0.6
318531,0.6,0.8
318532,0.8,0.8
318533,2.0,1.4
318534,0.0,1.6
318535,1.0,1.0
318536,1.6,1.6
318537,2.2,0.2
318538,0.6,1.0
318539,1.2,1.2
318540,0.6,0.4
318541,1.2,0.2
318542,1.8,2.0
318543,1.6,0.6
318544,1.0,0.6
318545,0.0,0.8
318546,1.2,0.4
318547,0.4,0.8
318548,0.8,2.2
318549,1.4,0.2
318584,1.0,2.0
319074,0.0,0.4
318550,1.6,0.8
318551,1.4,1.2
318552,1.6,0.6
318553,1.0,0.4
318554,1.0,1.2
318555,1.2,0.4
318556,0.4,1.2
318557,0.8,1.4
318558,1.2,1.0
318559,0.8,2.2
318560,1.0,0.0
318561,0.6,0.2
318562,1.2,0.8
318563,0.4,0.4
318564,1.6,1.8
318565,1.4,1.2
318566,1.0,0.6
318567,1.6,1.0
318568,1.0,0.4
318569,1.4,0.8
318570,0.6,0.4
318571,0.4,1.0
318572,0.6,1.6
318573,1.2,1.6
318574,1.2,1.6
318575,1.4,0.0
318576,1.0,0.6
318577,1.4,0.6
318578,0.8,0.4
318579,1.8,2.2
318580,1.2,0.8
318581,0.8,0.6
318582,1.4,0.8
318583,1.2,0.8
318585,1.0,0.4
318586,0.8,1.4
318587,1.4,1.8
318588,1.0,0.2
318589,0.8,1.0
318590,1.4,0.2
318591,0.8,0.4
318592,1.8,1.8
318593,0.2,1.4
318594,1.0,0.8
318595,1.8,0.4
318596,1.8,1.2
318597,1.4,1.0
318598,1.8,0.6
318599,1.6,0.2
318600,1.2,1.4
318601,1.6,1.2
318602,0.6,0.8
318603,1.4,0.8
318604,1.2,0.0
318605,0.8,0.4
318606,1.2,1.4
318607,0.6,1.0
318608,0.2,1.8
318609,1.0,1.4
318610,1.8,0.6
318611,1.2,1.2
318612,0.6,1.4
318613,1.6,0.6
318614,0.8,0.0
318615,2.0,1.2
318616,2.0,1.4
318617,0.8,1.2
318618,2.0,1.2
318619,0.8,0.2
318620,0.8,0.6
318621,1.2,1.2
318622,0.6,1.0
318623,1.2,1.8
318624,1.2,1.6
318625,1.8,0.6
318626,1.0,1.4
318627,0.8,1.4
318628,0.8,0.6
318629,0.8,0.2
318630,2.0,1.2
318631,1.6,1.0
318632,0.6,1.6
318633,1.4,1.2
318634,0.6,0.6
318635,0.8,0.8
318636,1.6,1.2
318637,0.4,0.8
318638,0.4,2.0
318639,0.6,0.4
318640,1.2,2.2
318641,1.2,0.8
318642,0.4,1.6
318643,0.8,1.6
318644,0.6,0.4
318645,1.6,1.0
318646,1.6,0.8
318647,1.0,1.6
318648,0.8,1.8
318649,0.4,1.8
318650,1.2,2.0
318651,1.0,0.6
318652,1.4,0.6
318653,0.6,1.6
318654,0.8,0.4
318655,0.8,0.8
318656,1.2,1.0
318657,0.6,1.4
318658,1.0,1.2
318659,0.4,0.4
318660,1.2,1.4
318661,1.6,0.4
318662,1.0,1.2
318663,1.0,1.8
318664,0.6,1.6
318665,0.4,2.2
318666,1.0,0.8
318667,1.8,1.4
318668,1.2,1.0
318669,1.4,0.6
318670,0.8,0.6
318671,1.4,1.4
318672,1.0,1.0
318673,0.6,1.2
318674,1.2,0.6
318675,0.8,1.2
318676,1.0,1.6
318677,0.4,1.2
318678,1.0,0.6
318679,2.4,1.6
318680,1.6,1.4
318681,1.8,0.6
318682,0.6,0.8
318683,1.4,1.0
318684,0.6,1.8
318685,0.2,0.4
318686,0.6,1.4
318687,1.2,1.6
318688,1.0,2.6
318689,0.8,0.6
318690,0.8,1.4
318691,0.8,0.6
318692,1.4,0.8
318693,1.8,1.6
318694,1.4,1.4
318695,0.8,0.8
318696,1.8,0.4
318697,0.6,1.2
318698,1.2,1.0
318699,0.6,1.6
318700,0.0,0.4
318701,0.4,1.8
318702,1.2,2.0
318703,0.6,2.2
318704,0.6,0.4
318705,0.6,1.4
318706,0.6,0.4
318707,1.6,1.2
318708,1.6,1.4
318709,1.2,0.8
318710,0.8,0.8
318711,2.0,0.4
318712,0.4,1.6
318713,0.8,1.0
318714,0.6,1.4
318715,0.2,0.4
318716,0.2,1.2
318717,1.2,1.6
318718,0.6,1.8
318719,0.4,0.4
318720,0.8,0.8
318721,0.8,0.6
318722,1.6,1.6
318723,1.8,1.0
318724,1.0,1.0
