date,n_games,auc,log_loss,brier,n_bets,pnl_units,roi_per_bet
2025-06-04,11,0.7,0.5172124280801893,0.16385310861571012,2,-2.0,-1.0
2025-06-05,10,0.5714285714285714,0.6202308015225386,0.21422980874208117,1,-1.0,-1.0
2025-06-06,14,0.35555555555555557,0.6556738398387444,0.23141423062353614,0,0.0,0.0
2025-06-07,12,0.21875,0.6525523939100525,0.22968844694066493,1,-1.0,-1.0
2025-06-08,5,0.5,0.5643702168313413,0.18700000310532738,0,0.0,0.0
2025-06-09,9,0.25,0.7649077314516652,0.28472467731917206,2,0.8200000000000001,0.41000000000000003
2025-06-10,15,0.5833333333333334,0.5633978514144197,0.18657392022791602,2,-2.0,-1.0
2025-06-11,9,0.3571428571428571,0.8825192905605492,0.34213201372399216,0,0.0,0.0
2025-06-12,4,,0.44796656079742186,0.13037751933147168,0,0.0,0.0
2025-06-13,3,0.0,0.814963201997065,0.30935455092806796,1,2.02,2.02
2025-06-14,4,1.0,0.5898242543406486,0.19945742327468083,0,0.0,0.0
2025-06-15,1,,0.45460524440233174,0.13344520834991666,0,0.0,0.0
2025-06-16,7,0.5833333333333333,0.6908827030277938,0.24867954143111876,1,1.94,1.94
2025-06-20,15,0.8035714285714285,0.7455974738506257,0.27543363700061646,0,0.0,0.0
2025-06-21,14,0.15151515151515155,0.8828150133574526,0.34239836497928255,0,0.0,0.0
2025-06-22,13,0.7666666666666666,0.8626831512347295,0.3328046428934357,0,0.0,0.0
2025-06-23,9,0.7222222222222223,0.8056425251117463,0.30498174761287944,1,1.93,1.93
2025-06-24,15,0.46153846153846156,0.8988617896935551,0.35076682023787337,1,1.87,1.87
2025-06-25,15,0.6399999999999999,0.7845439823866592,0.2949465896742648,2,3.4699999999999998,1.7349999999999999
2025-06-26,9,0.7142857142857143,0.8211651679721333,0.3131359807171558,4,4.21,1.0525
2025-06-27,15,0.4107142857142857,0.7406786636752505,0.27312309528533896,3,2.91,0.9700000000000001
2025-06-28,15,0.7142857142857143,0.6930070646607095,0.24998536888625392,2,0.6799999999999999,0.33999999999999997
2025-06-29,14,0.6499999999999999,0.8134679089986879,0.3090465491664952,2,3.41,1.705
