game_pk,home_batting_avg_rolling_10,away_batting_avg_rolling_10
5058124,0.24850299401197604,0.23668639053254437
5058125,0.2542372881355932,0.21604938271604937
5058126,0.24773413897280966,0.23006134969325154
5058127,0.2215568862275449,0.2042042042042042
5058128,0.24624624624624625,0.26843657817109146
5058129,0.256797583081571,0.23493975903614459
5058130,0.2606060606060606,0.22388059701492538
5058131,0.22857142857142856,0.28125
5058132,0.24260355029585798,0.24471299093655588
5058133,0.19504643962848298,0.23053892215568864
5058134,0.29608938547486036,0.21686746987951808
5058135,0.24629080118694363,0.27049180327868855
5058136,0.2246153846153846,0.25316455696202533
5058137,0.26744186046511625,0.23460410557184752
5058138,0.26666666666666666,0.27380952380952384
5058139,0.22507122507122507,0.28895184135977336
5058140,0.2672672672672673,0.228486646884273
5058141,0.3125,0.22485207100591717
5058142,0.24012158054711247,0.253125
5058143,0.28939828080229224,0.25501432664756446
5058144,0.26062322946175637,0.258160237388724
5058145,0.2298507462686567,0.24382716049382716
5058146,0.203125,0.2298507462686567
5058147,0.25443786982248523,0.2659279778393352
5058148,0.2043343653250774,0.25609756097560976
5058149,0.20238095238095238,0.21100917431192662
5058150,0.28405797101449276,0.23780487804878048
5058151,0.20504731861198738,0.2692307692307692
5058152,0.25936599423631124,0.24198250728862974
5058153,0.2755681818181818,0.21637426900584794
5058154,0.23323615160349853,0.25
5058155,0.25,0.2611111111111111
5058156,0.268361581920904,0.21965317919075145
5058157,0.25297619047619047,0.24850299401197604
5058158,0.23100303951367782,0.25
5058159,0.23372781065088757,0.2692307692307692
5058160,0.26331360946745563,0.325068870523416
5058161,0.24057971014492754,0.2656716417910448
5058164,0.23121387283236994,0.21100917431192662
5058162,0.2359882005899705,0.24773413897280966
5058163,0.2761627906976744,0.23404255319148937
5058165,0.25,0.2861271676300578
5058166,0.2236024844720497,0.2648809523809524
5058167,0.2492753623188406,0.24277456647398843
5058168,0.27507163323782235,0.21282798833819241
5058169,0.2914285714285714,0.25609756097560976
5058170,0.24624624624624625,0.25663716814159293
5058171,0.239067055393586,0.2415902140672783
5058172,0.24024024024024024,0.24923076923076923
5058173,0.2319277108433735,0.24369747899159663
5058174,0.21779141104294478,0.27002967359050445
5058175,0.2768361581920904,0.20234604105571846
5058176,0.257396449704142,0.3268698060941828
5058177,0.2276657060518732,0.23668639053254437
5058178,0.27450980392156865,0.207492795389049
5058179,0.27218934911242604,0.2361963190184049
5058180,0.23469387755102042,0.2819672131147541
5058181,0.23353293413173654,0.27325581395348836
5058182,0.2411764705882353,0.22674418604651161
5058183,0.23333333333333334,0.2682926829268293
5058184,0.21846153846153846,0.24444444444444444
5058185,0.2792022792022792,0.21839080459770116
5058186,0.24926686217008798,0.2811594202898551
5058187,0.25075528700906347,0.25936599423631124
5058188,0.2607449856733524,0.26409495548961426
5058189,0.2849002849002849,0.24096385542168675
5058190,0.28,0.3146067415730337
5058191,0.26436781609195403,0.23076923076923078
6978332,0.23469387755102042,0.27722772277227725
5058192,0.2347560975609756,0.24404761904761904
5058193,0.23545706371191136,0.24561403508771928
5058194,0.27596439169139464,0.2222222222222222
5058195,0.26912181303116145,0.24925816023738873
5058196,0.21282798833819241,0.27696793002915454
5058197,0.25301204819277107,0.2680722891566265
5058198,0.23809523809523808,0.2910662824207493
5058199,0.2703488372093023,0.24550898203592814
5058200,0.22796352583586627,0.24024024024024024
5058201,0.22580645161290322,0.23652694610778444
5058202,0.22321428571428573,0.2819672131147541
5058203,0.2,0.26011560693641617
5058204,0.2222222222222222,0.23615160349854228
5058205,0.26646706586826346,0.2344213649851632
5058206,0.23890784982935154,0.20588235294117646
5058207,0.27323943661971833,0.26666666666666666
5058208,0.2711864406779661,0.26253687315634217
5058209,0.22392638036809817,0.29745042492917845
5058210,0.22832369942196531,0.2743362831858407
5058211,0.24695121951219512,0.2702702702702703
5058212,0.24778761061946902,0.2753623188405797
5058213,0.26420454545454547,0.27605633802816903
5058214,0.2573099415204678,0.24096385542168675
5058215,0.2222222222222222,0.24024024024024024
5058216,0.2608695652173913,0.2522255192878338
5058217,0.23076923076923078,0.28695652173913044
5058218,0.2260061919504644,0.26706231454005935
5058219,0.26443768996960487,0.2314540059347181
5058220,0.2536443148688047,0.24242424242424243
5058221,0.2359882005899705,0.2776203966005666
5058224,0.21511627906976744,0.25
5058222,0.239067055393586,0.24926686217008798
5058223,0.24709302325581395,0.28846153846153844
5058225,0.22598870056497175,0.24127906976744187
5058226,0.2152777777777778,0.19345238095238096
5058227,0.2693409742120344,0.27167630057803466
5058228,0.2403560830860534,0.2832369942196532
5058229,0.25071225071225073,0.26345609065155806
5058230,0.2647058823529412,0.26453488372093026
5058231,0.24193548387096775,0.25245901639344265
