game_pk,home_batting_bb_per_g_rolling_10,away_batting_bb_per_g_rolling_10
5058348,4.2,2.9
5058349,1.4,4.3
5058350,3.3,2.0
5058351,4.7,4.0
5058352,3.2,1.9
5058353,3.2,2.6
5058354,3.4,3.6
5058355,2.7,3.5
5058356,4.3,2.7
5058357,4.2,5.5
5058358,3.4,4.0
5058359,3.9,3.7
5058360,4.0,3.8
5058361,3.2,2.5
5058362,2.5,3.1
5058363,1.4,4.8
5058364,3.9,2.9
5058365,3.4,3.6
5058366,4.4,3.8
5058367,2.5,3.1
5058368,3.1,2.1
5058369,3.1,2.0
5058370,3.2,2.2
5058371,4.8,2.9
5058372,3.5,4.4
5058373,4.1,3.7
5058374,4.2,5.5
5058375,1.7,5.2
5058376,3.6,3.1
5058377,3.1,2.6
5058378,2.6,2.7
5058379,3.2,3.7
5058380,5.2,1.9
5058381,4.1,4.8
5058382,2.9,2.4
5058383,4.0,3.1
5058384,2.2,3.8
5058385,4.1,1.9
5058386,5.4,2.2
5058387,4.2,4.5
5058388,5.7,2.8
5058389,3.2,3.3
5058390,3.0,2.1
5058391,2.8,2.5
5058392,2.8,4.0
5058393,2.9,5.0
5058394,3.8,3.1
5058395,2.8,3.0
5058396,3.7,2.9
5058397,3.7,3.1
5058398,2.2,3.4
5058399,3.7,2.5
5058400,3.7,2.0
5058402,3.8,4.4
5058401,5.2,2.6
5058403,5.5,2.4
5058404,3.4,3.5
5058405,3.0,2.0
5058406,2.9,2.6
5058407,3.0,3.5
5058408,3.0,5.1
5058409,3.5,3.1
5058410,3.0,2.6
5058411,3.3,2.8
5058412,3.5,3.3
5058413,2.3,3.5
5058414,3.9,2.8
5058415,3.8,2.1
5058416,5.0,2.3
5058417,3.9,3.4
5058418,3.1,3.6
5058419,3.1,2.5
5058420,3.0,2.6
5058421,2.2,3.9
5058422,3.5,2.6
5058423,2.3,2.2
5058424,2.5,5.2
5058425,3.2,3.7
5058426,3.7,2.2
5058427,4.2,2.0
5058428,3.6,3.4
5058429,3.6,3.8
5058430,5.1,4.1
5058431,2.7,2.8
5058435,3.6,3.1
5058432,3.1,4.6
5058433,2.3,2.1
5058434,3.4,4.9
5058436,2.2,3.4
5058437,2.7,3.4
5058438,2.1,4.0
5058439,2.6,3.7
5058440,4.1,2.7
5058441,3.6,2.3
5058442,4.0,3.3
5058443,2.8,3.7
5058444,2.1,4.2
5058445,3.8,4.0
5058446,4.3,2.2
5058447,2.9,2.8
5058448,5.8,4.0
5058449,3.5,4.9
5058450,3.3,3.0
5058451,2.3,3.6
5058452,1.7,2.2
5058453,3.2,4.2
5058454,3.6,2.8
5058455,2.7,3.5
5058456,3.4,2.2
5868557,3.1,2.6
5868558,3.9,3.7
5868559,1.8,2.0
5868560,4.0,2.7
5868561,6.3,4.3
5868562,3.7,4.2
5868563,4.0,3.2
5868564,3.4,4.4
5868565,2.8,2.9
5868566,2.4,3.9
5868567,2.9,3.8
5868568,2.2,4.0
5868569,3.3,2.4
5868570,3.1,4.0
5868571,3.7,3.0
5058472,2.5,2.2
5058473,3.2,3.1
5058474,2.7,4.1
5058475,3.9,6.1
5058476,3.8,3.7
5058477,5.0,3.0
5058478,3.5,1.4
5058479,3.1,2.6
5058480,4.9,3.4
5058481,2.3,3.6
5058482,2.9,3.4
5058483,4.0,3.3
5058484,3.0,4.1
5058485,4.3,2.8
5058486,2.9,2.3
5058487,3.5,3.1
5058488,3.2,3.6
5058489,3.7,6.0
5058490,4.3,3.6
5058491,4.8,3.2
5058492,3.1,1.6
5058493,3.0,3.0
5058494,4.5,3.5
5058495,2.7,3.9
5058496,2.0,3.3
5058497,2.4,3.3
5058498,3.8,3.1
5058499,2.9,4.6
5058500,4.1,2.9
5058501,2.6,4.0
5058502,3.7,2.9
5058503,2.9,2.7
5058504,2.0,3.4
5058505,4.2,2.9
5058506,3.8,3.1
5058507,3.1,2.8
5058508,3.8,6.1
5058509,3.9,3.5
5058510,5.2,2.9
5058511,3.1,1.6
5058512,4.1,3.5
5058513,2.6,4.0
5058514,3.1,4.5
5058515,2.7,3.5
5058516,3.9,5.6
5058517,2.5,3.6
5058518,3.9,3.3
5058519,2.9,2.5
5058520,4.5,2.8
5058521,2.9,3.7
5058522,3.9,2.0
5058523,3.7,2.6
5058524,2.9,5.1
5058525,3.7,2.5
5058527,4.3,4.1
5058528,3.0,3.3
5058529,1.9,2.9
5058530,2.8,3.1
5058526,2.8,3.6
5058531,2.5,4.0
5058532,3.7,4.5
5058533,3.0,3.9
5058534,2.8,3.2
5058535,3.1,3.9
5058536,4.3,2.2
5058537,2.5,3.3
8128168,3.2,2.4
5058538,4.2,4.2
5058539,4.2,2.7
5058540,3.5,2.6
5058541,2.7,4.3
5058542,2.6,3.3
5058543,2.2,3.7
5058544,2.3,3.1
5058545,3.0,2.6
5058546,2.6,3.7
5058547,2.9,4.1
5058548,3.2,2.8
5058549,3.4,4.9
5058550,2.7,3.9
5058551,2.9,3.3
5058552,4.2,2.4
5058553,3.3,2.5
5058555,2.3,2.8
5058554,3.1,4.0
5058556,2.8,2.6
5058557,3.6,4.1
5058558,2.7,2.7
5058559,3.0,3.2
5058560,3.7,5.5
5058561,2.9,3.6
5058562,4.0,2.8
5058563,2.4,3.4
5058564,2.7,3.5
5058565,3.2,4.3
5058566,4.1,2.5
8158336,2.7,2.9
5058567,2.8,3.7
5058568,2.9,4.0
5058575,2.6,4.2
5058569,3.8,2.8
5058570,3.6,2.9
5058571,2.7,3.3
5058572,2.8,2.6
5058573,2.4,3.3
5058574,4.0,3.6
5058576,3.5,3.2
5058577,3.6,2.7
5058578,2.8,2.9
5058579,5.8,2.4
5058580,4.7,3.2
5058581,3.5,3.4
5058582,3.0,3.9
5058583,2.7,2.6
5058584,2.5,4.2
5058585,2.9,2.9
5058586,2.7,3.2
5058587,2.5,2.7
5058588,3.5,2.3
5058589,3.0,3.1
5058590,3.3,2.5
5058591,4.0,2.5
5058592,3.5,3.5
5058593,4.8,2.8
5058594,2.3,3.2
5058595,5.7,2.5
5058596,2.7,3.2
5058597,3.1,3.5
5058598,3.6,2.5
5058599,4.7,2.6
5058600,2.4,3.3
5058601,3.6,3.6
5058602,3.0,3.8
5058603,3.1,2.4
5058604,2.3,3.8
5058605,3.1,3.2
5058606,2.2,2.7
5058607,3.1,2.5
5058608,2.4,3.3
5058609,3.8,2.5
5058610,5.5,2.6
5058611,3.3,2.3
5058612,3.6,2.4
5058613,2.8,3.3
5058614,3.1,2.8
5058615,2.7,4.3
5058616,3.2,2.8
