game_pk,home_bp_era_rolling_5,away_bp_era_rolling_5,home_bp_era_rolling_10,away_bp_era_rolling_10
777276,6.328125,2.2727272727272725,6.673728813559323,3.853904282115869
777277,4.7368421052631575,6.192660550458715,5.709969788519637,4.029850746268657
777279,4.235294117647059,4.285714285714286,2.6011560693641624,3.103448275862069
777284,4.787234042553191,5.7324840764331215,6.017441860465117,4.796954314720812
777289,5.777027027027026,3.058252427184466,5.357142857142858,3.3333333333333335
777290,1.9736842105263157,4.354838709677419,3.708791208791209,3.4710743801652897
777251,1.8090452261306533,5.567010309278351,3.0154639175257736,3.729281767955801
777253,3.375,2.625,4.68,2.6865671641791042
777256,5.59322033898305,5.09433962264151,4.421965317919075,5.135869565217391
777257,8.089887640449438,2.7551020408163263,6.262425447316104,2.888888888888889
777258,5.526315789473684,5.775401069518717,6.462765957446808,4.0
777259,0.5084745762711863,6.506024096385541,2.0224719101123596,6.216216216216217
777260,4.915966386554621,10.125,4.535809018567639,6.310975609756098
777261,3.1818181818181817,6.605504587155963,2.7049180327868854,4.455445544554456
777263,3.016759776536313,2.9220779220779223,2.6213592233009706,4.697802197802198
777264,2.204081632653061,4.1116751269035525,3.506493506493506,3.8532110091743115
777235,3.857142857142857,3.65482233502538,4.040816326530612,3.7388724035608307
777236,3.0582524271844664,0.4186046511627907,3.6363636363636362,1.0392609699769053
777239,3.2530120481927707,3.272727272727273,3.8028169014084505,3.8863636363636362
777242,3.7499999999999996,5.265957446808511,4.90909090909091,4.7727272727272725
777243,2.297872340425532,2.4545454545454546,3.868778280542986,2.3926380368098155
777244,3.214285714285714,5.827338129496403,3.609625668449197,5.48780487804878
777245,7.751196172248805,3.0252100840336134,7.356948228882834,5.784061696658098
777246,0.5389221556886227,1.2949640287769784,0.2593659942363113,1.7704918032786887
777247,2.647058823529412,3.7278106508875744,3.256578947368421,8.112676056338028
777248,5.732484076433121,3.8918918918918926,5.202312138728323,3.3962264150943393
777249,4.782608695652174,6.223404255319148,5.1923076923076925,3.9237057220708444
777250,7.003891050583658,10.5,6.04887983706721,7.220630372492837
777252,2.6785714285714284,6.455696202531645,2.8647214854111405,5.421686746987952
777254,1.6875,1.925133689839572,2.0558375634517763,2.896039603960396
777255,2.848101265822785,5.720338983050847,2.2222222222222223,3.9036144578313245
777221,5.142857142857143,2.1428571428571432,5.170212765957447,3.204747774480712
777223,3.4394904458598727,3.257918552036199,3.6,2.857142857142857
777225,3.068181818181818,1.0909090909090908,3.7305699481865284,1.4928909952606635
777227,4.166666666666666,4.260355029585799,4.203296703296703,5.857988165680473
777228,5.648535564853557,3.432203389830508,5.798969072164947,5.581395348837209
777229,1.161290322580645,4.128440366972477,0.782608695652174,2.6557377049180326
777230,1.2162162162162162,4.260355029585799,2.2222222222222223,7.253731343283582
777231,4.3478260869565215,4.812834224598931,3.9637305699481873,4.101265822784811
777232,2.307692307692308,2.5714285714285716,3.877551020408163,2.4893617021276597
777233,1.8181818181818181,4.235294117647059,2.459016393442623,3.9647577092511015
777234,2.6946107784431135,2.727272727272728,4.931506849315069,3.240997229916897
777237,2.528089887640449,4.591836734693877,2.7906976744186043,4.859154929577466
777238,2.4,1.6744186046511629,2.2842639593908625,1.8320610687022898
777240,2.380952380952381,4.306220095693781,5.053475935828877,3.351063829787234
777241,5.720338983050847,10.588235294117647,6.2195121951219505,7.9411764705882355
777205,2.710843373493976,1.8493150684931507,3.4974093264248705,0.9183673469387754
777206,7.65,2.1428571428571432,5.086956521739131,3.1123919308357344
777207,2.694610778443114,3.2984293193717273,2.7123287671232883,3.061224489795918
777210,2.9032258064516125,3.539325842696629,3.9947780678851172,4.693251533742331
777213,6.028708133971293,3.1858407079646014,5.103092783505154,4.651162790697674
777214,3.4177215189873413,3.7500000000000004,3.677884615384616,3.768472906403941
777215,4.368932038834951,2.857142857142857,4.275534441805227,2.2551252847380407
777216,4.230769230769231,12.176470588235293,5.326530612244898,8.454545454545455
777217,1.6513761467889907,4.576271186440677,2.2613065326633164,4.447058823529412
777218,2.830188679245283,3.6000000000000005,5.217391304347826,3.8814016172506736
777219,3.495145631067961,6.050420168067227,2.0558375634517767,3.03030303030303
777220,3.3157894736842106,5.892857142857142,2.967032967032967,7.791044776119403
777222,3.79746835443038,3.8297872340425534,3.380281690140845,4.5473684210526315
777224,1.0714285714285714,1.945945945945946,2.227722772277228,2.114882506527415
