game_pk,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
778365,5.921052631578947,3.891891891891892
778366,9.060402684563758,2.9577464788732395
778367,3.662790697674419,5.242718446601941
778368,5.131578947368421,1.7088607594936709
778369,4.576271186440678,4.2631578947368425
778370,4.7368421052631575,4.311377245508982
778374,2.710843373493976,2.8767123287671237
778375,5.74468085106383,2.1818181818181817
778341,3.6818181818181817,3.539325842696629
778345,3.8755980861244024,2.25
778346,3.789473684210526,2.916666666666667
778347,5.684210526315789,3.891891891891892
778348,3.5064935064935066,2.393617021276596
778349,8.456375838926174,2.769230769230769
778350,1.6167664670658684,3.850267379679144
778351,5.318181818181818,4.038461538461538
778352,2.389380530973451,5.32258064516129
778353,2.616279069767442,5.416666666666666
778354,5.538461538461538,4.2631578947368425
778355,7.578947368421052,4.8979591836734695
778357,1.6265060240963853,3.1658291457286434
778359,4.13265306122449,3.4394904458598727
778362,4.012738853503185,3.4177215189873418
778329,5.934065934065934,4.090909090909092
778330,1.607142857142857,5.172413793103448
778331,2.380952380952381,0.0
778332,1.0778443113772456,6.666666666666667
778333,4.022346368715084,3.351063829787234
778334,2.889908256880734,3.3689839572192515
778335,3.795180722891566,2.52808988764045
778336,4.0,3.579545454545455
778337,5.129533678756476,4.787234042553191
778338,5.084745762711864,3.214285714285715
778339,8.520710059171599,4.256756756756757
778340,3.5,6.057692307692308
778342,3.3644859813084116,4.064516129032258
778343,1.1464968152866242,3.016759776536313
778344,4.337349397590361,2.8662420382165608
778315,2.076923076923077,1.0112359550561798
778320,2.155688622754491,2.1428571428571432
778321,3.033707865168539,6.067415730337078
778322,2.4064171122994655,5.42713567839196
778323,8.08988764044944,3.0681818181818183
778324,3.214285714285715,3.214285714285714
778325,2.8272251308900525,4.455445544554456
778326,2.71356783919598,7.2
778327,7.700534759358289,4.405594405594406
778328,2.25,3.050847457627119
778302,3.6180904522613067,7.636363636363637
778305,3.5156250000000004,4.067796610169491
778306,3.016759776536313,4.090909090909092
778307,2.8723404255319154,3.7278106508875744
778308,3.6842105263157894,4.450549450549451
778309,2.8877005347593583,5.025380710659898
778310,6.882352941176471,3.2530120481927716
778311,2.393617021276596,5.92814371257485
778312,8.617021276595745,5.121951219512195
778313,1.6981132075471699,2.02247191011236
778314,2.528089887640449,6.305732484076433
778316,1.0650887573964498,2.0454545454545454
778317,3.5294117647058827,2.647058823529412
778318,5.351351351351352,1.2080536912751678
778319,1.4210526315789473,3.829787234042554
778287,4.022346368715083,5.595854922279794
778288,2.608695652173913,4.331550802139038
778289,1.0650887573964498,4.090909090909092
778290,1.2857142857142858,1.4210526315789473
778293,2.4161073825503356,6.122448979591837
778294,1.8367346938775508,5.217391304347826
778295,5.0,3.8181818181818183
778296,1.1392405063291138,2.2784810126582276
778297,2.8723404255319154,3.4838709677419355
778298,2.1176470588235294,3.3333333333333335
778299,2.7411167512690358,3.0201342281879193
778300,7.346938775510203,7.232142857142858
778301,3.3644859813084116,0.9278350515463918
778303,3.891891891891892,1.8120805369127517
778304,2.8877005347593583,2.380952380952381
778278,1.894736842105263,1.6875
778279,3.2335329341317367,1.8181818181818181
778280,2.5899280575539567,5.912408759124088
778281,0.9574468085106382,3.8414634146341466
778282,2.1176470588235294,4.4021739130434785
778283,2.083333333333333,5.7073170731707314
778285,3.214285714285714,1.5083798882681565
778286,3.6986301369863015,5.206611570247934
778291,4.838709677419354,2.2929936305732483
778292,2.825112107623318,1.0465116279069768
778260,1.0975609756097562,2.6785714285714284
778261,4.545454545454545,4.864864864864865
778263,1.0714285714285714,3.4449760765550237
778268,6.42857142857143,3.7724550898203595
778269,1.5,2.4324324324324325
778270,2.7,1.9285714285714286
778271,1.9565217391304346,0.5921052631578948
778272,0.5325443786982248,2.4324324324324325
778273,1.914893617021277,4.2857142857142865
778274,3.417721518987342,5.454545454545455
778275,2.284263959390863,1.6
778276,2.6341463414634148,4.186046511627907
778277,4.615384615384616,4.122137404580153
778284,4.363636363636363,2.5961538461538463
778243,1.730769230769231,3.0405405405405403
778247,5.407725321888413,5.58139534883721
778251,1.2949640287769784,2.8571428571428568
778252,4.556962025316456,5.318181818181818
778253,3.197969543147208,4.891304347826087
778254,2.4161073825503356,1.7532467532467535
778255,1.0778443113772456,1.6822429906542058
778256,2.4657534246575343,3.0405405405405403
778257,7.149532710280375,5.159235668789809
778258,2.3684210526315788,4.5251396648044695
778259,1.588235294117647,2.4324324324324325
778262,2.083333333333333,3.951219512195122
778264,1.8367346938775513,1.5859030837004404
778265,5.892857142857142,3.5294117647058822
778267,2.727272727272727,3.6363636363636362
778232,1.153846153846154,2.8125
778234,1.9424460431654678,2.513966480446927
778235,5.647058823529412,5.179856115107914
778236,6.990291262135923,5.510204081632653
778237,2.0,2.5568181818181817
778239,2.2727272727272725,3.4615384615384617
778240,2.1844660194174756,1.6071428571428572
778241,3.6,4.56221198156682
778242,3.8848920863309355,2.2085889570552144
778244,3.317972350230415,2.4657534246575343
778245,2.488479262672811,3.6585365853658534
778246,5.892857142857142,4.11764705882353
778248,3.7500000000000004,4.323144104803494
778249,2.5714285714285716,3.552631578947368
778250,4.326923076923077,5.361702127659575
778266,4.576271186440678,4.883720930232558
778225,3.7327188940092166,4.528301886792453
778226,3.71900826446281,2.528089887640449
778227,3.1213872832369947,2.9439252336448596
778228,4.0,1.5168539325842696
778230,4.895397489539749,4.372469635627531
778231,2.1176470588235294,3.0252100840336134
778233,2.3076923076923075,3.9705882352941178
778238,2.3936170212765955,3.9647577092511006
778210,4.864864864864865,3.033707865168539
778211,3.085714285714286,2.8301886792452833
778212,4.628571428571429,1.7475728155339805
778213,4.114285714285714,2.790697674418605
778215,2.5862068965517238,3.7762237762237767
778216,3.3027522935779814,4.545454545454545
