game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
778270,3.8333333333333335,3.0,3.230769230769231,2.3636363636363638
778275,6.2,4.0,4.0,1.6111111111111112
778284,1.625,3.5,1.7142857142857142,2.5833333333333335
778263,8.5,3.25,3.888888888888889,2.4705882352941178
778269,5.666666666666667,4.25,2.75,4.0
778261,2.3,1.8,2.7777777777777777,2.3333333333333335
778260,7.5,3.4,3.5555555555555554,3.0
778252,2.125,1.7692307692307692,2.5833333333333335,1.4166666666666667
778265,1.0909090909090908,2.6666666666666665,1.5294117647058822,2.4615384615384617
778257,0.9411764705882353,2.6666666666666665,1.6470588235294117,3.090909090909091
778258,4.4,1.5555555555555556,3.8,1.75
778262,4.2,2.0,2.6153846153846154,2.6363636363636362
778254,2.5,6.0,2.4,4.0
778256,4.5,1.6,3.6666666666666665,2.4545454545454546
778251,6.5,4.5,3.4444444444444446,3.5454545454545454
778247,1.2142857142857142,1.875,1.4,2.0555555555555554
778264,6.75,4.0,3.909090909090909,2.4285714285714284
778255,6.5,5.5,4.142857142857143,2.45
778259,6.0,3.5,2.6666666666666665,4.857142857142857
778253,2.857142857142857,1.5,2.0952380952380953,1.9444444444444444
778267,2.4,2.5,1.736842105263158,2.1333333333333333
778243,4.333333333333333,2.6,2.9,3.6666666666666665
778266,1.3125,2.125,1.2692307692307692,1.85
778266,1.3125,2.125,1.2692307692307692,1.631578947368421
778266,1.3125,2.1,1.2692307692307692,1.7894736842105263
778266,1.3125,2.0,1.2692307692307692,1.9473684210526316
778266,2.0,2.125,1.3703703703703705,1.85
778266,2.0,2.125,1.3703703703703705,1.631578947368421
778266,2.0,2.1,1.3703703703703705,1.7894736842105263
778266,2.0,2.0,1.3703703703703705,1.9473684210526316
778266,2.6363636363636362,2.125,1.7391304347826086,1.85
778266,2.6363636363636362,2.125,1.7391304347826086,1.631578947368421
778266,2.6363636363636362,2.1,1.7391304347826086,1.7894736842105263
778266,2.6363636363636362,2.0,1.7391304347826086,1.9473684210526316
778266,2.888888888888889,2.125,1.8695652173913044,1.85
778266,2.888888888888889,2.125,1.8695652173913044,1.631578947368421
778266,2.888888888888889,2.1,1.8695652173913044,1.7894736842105263
778266,2.888888888888889,2.0,1.8695652173913044,1.9473684210526316
778266,1.3125,2.125,1.2692307692307692,1.85
778266,1.3125,2.125,1.2692307692307692,1.631578947368421
778266,1.3125,2.1,1.2692307692307692,1.7894736842105263
778266,1.3125,2.0,1.2692307692307692,1.9473684210526316
778266,2.0,2.125,1.3703703703703705,1.85
778266,2.0,2.125,1.3703703703703705,1.631578947368421
778266,2.0,2.1,1.3703703703703705,1.7894736842105263
778266,2.0,2.0,1.3703703703703705,1.9473684210526316
778266,2.6363636363636362,2.125,1.7391304347826086,1.85
778266,2.6363636363636362,2.125,1.7391304347826086,1.631578947368421
778266,2.6363636363636362,2.1,1.7391304347826086,1.7894736842105263
778266,2.6363636363636362,2.0,1.7391304347826086,1.9473684210526316
778266,2.888888888888889,2.125,1.8695652173913044,1.85
778266,2.888888888888889,2.125,1.8695652173913044,1.631578947368421
778266,2.888888888888889,2.1,1.8695652173913044,1.7894736842105263
778266,2.888888888888889,2.0,1.8695652173913044,1.9473684210526316
778250,2.2,1.4285714285714286,1.9444444444444444,2.0
778242,2.1666666666666665,4.5,2.272727272727273,4.3
778249,2.4,2.0,2.0,2.3333333333333335
778245,4.833333333333333,1.6,3.75,2.1875
778248,1.5714285714285714,2.4545454545454546,2.9,1.7272727272727273
778241,2.875,1.1818181818181819,3.3846153846153846,1.75
778246,0.9090909090909091,2.0,1.3529411764705883,2.0
778244,3.0,2.0,2.8,2.090909090909091
778240,3.8,5.25,4.375,2.090909090909091
778239,4.2,2.6666666666666665,1.8095238095238095,2.0588235294117645
778236,0.9375,2.3333333333333335,1.7222222222222223,3.0
778234,4.0,4.8,3.4444444444444446,3.8181818181818183
778235,3.0,1.8,1.6666666666666667,1.65
778266,1.3125,2.125,1.2692307692307692,1.85
778266,1.3125,2.125,1.2692307692307692,1.631578947368421
778266,1.3125,2.1,1.2692307692307692,1.7894736842105263
778266,1.3125,2.0,1.2692307692307692,1.9473684210526316
778266,2.0,2.125,1.3703703703703705,1.85
778266,2.0,2.125,1.3703703703703705,1.631578947368421
778266,2.0,2.1,1.3703703703703705,1.7894736842105263
778266,2.0,2.0,1.3703703703703705,1.9473684210526316
778266,2.6363636363636362,2.125,1.7391304347826086,1.85
778266,2.6363636363636362,2.125,1.7391304347826086,1.631578947368421
778266,2.6363636363636362,2.1,1.7391304347826086,1.7894736842105263
778266,2.6363636363636362,2.0,1.7391304347826086,1.9473684210526316
778266,2.888888888888889,2.125,1.8695652173913044,1.85
778266,2.888888888888889,2.125,1.8695652173913044,1.631578947368421
778266,2.888888888888889,2.1,1.8695652173913044,1.7894736842105263
778266,2.888888888888889,2.0,1.8695652173913044,1.9473684210526316
778266,1.3125,2.125,1.2692307692307692,1.85
