Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
New York Yankees,20,31.4,3.94,40,25,.615,3.76,65,65,65,0,6,0,19,575.0,473,256,240,67,218,2,612,16,2,20,2400,108,3.68,1.202,7.4,1.0,3.4,9.6,2.81,425
Philadelphia Phillies,21,30.2,4.37,38,29,.567,4.03,67,67,67,0,5,0,20,601.0,580,293,269,72,207,6,627,19,1,19,2556,104,3.67,1.309,8.7,1.1,3.1,9.4,3.03,472
Pittsburgh Pirates,21,28.4,4.04,27,41,.397,3.81,68,68,67,1,7,0,14,604.0,524,275,256,55,204,10,504,25,1,19,2508,109,3.73,1.205,7.8,0.8,3.0,7.5,2.47,434
San Diego Padres,20,29.4,3.79,38,28,.576,3.42,66,66,64,2,12,2,24,587.0,490,250,223,64,223,7,573,25,3,16,2453,120,3.81,1.215,7.5,1.0,3.4,8.8,2.57,451
Seattle Mariners,26,27.5,4.55,33,33,.500,4.04,66,66,66,0,1,0,19,599.0,590,300,269,76,208,14,539,26,1,20,2564,92,4.10,1.332,8.9,1.1,3.1,8.1,2.59,486
San Francisco Giants,17,29.4,3.45,39,28,.582,3.07,67,67,67,0,4,0,21,593.0,506,231,202,46,205,8,585,24,1,23,2457,124,3.27,1.199,7.7,0.7,3.1,8.9,2.85,457
St. Louis Cardinals,19,30.2,4.30,36,31,.537,3.96,67,67,66,1,8,1,17,595.2,577,288,262,55,183,8,474,21,2,19,2518,103,3.71,1.276,8.7,0.8,2.8,7.2,2.59,453
Tampa Bay Rays,18,27.6,3.73,36,31,.537,3.53,67,67,66,1,5,0,16,601.1,525,250,236,86,178,5,535,25,0,8,2455,111,4.17,1.169,7.9,1.3,2.7,8.0,3.01,409
Texas Rangers,21,32.0,3.33,32,35,.478,3.12,67,67,65,2,7,1,18,583.0,478,223,202,57,184,4,520,19,3,25,2376,120,3.61,1.136,7.4,0.9,2.8,8.0,2.83,404
Toronto Blue Jays,24,30.9,4.33,37,30,.552,4.09,67,67,67,0,4,0,22,598.2,532,290,272,94,200,7,599,29,4,16,2497,103,4.26,1.223,8.0,1.4,3.0,9.0,3.00,422
Washington Nationals,18,28.2,5.02,30,36,.455,4.88,66,66,66,0,6,0,19,581.0,576,331,315,64,222,1,524,42,2,33,2535,81,4.07,1.373,8.9,1.0,3.4,8.1,2.36,465
League Average,22,29.3,4.31,33,33,.500,4.01,67,67,66,0,5,0,17,592,549,288,264,72,216,8,552,26,3,20,2513,102,4.02,1.292,8.3,1.1,3.3,8.4,2.55,457
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,673,29.3,4.31,1002,1002,.500,4.01,2004,2004,1992,12,147,6,519,17768.1,16465,8646,7919,2166,6485,228,16558,768,76,599,75403,102,4.02,1.292,8.3,1.1,3.3,8.4,2.55,13716
