Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Los Angeles Dodgers,30,29.5,4.56,42,29,.592,4.19,71,71,71,0,3,0,21,634.0,580,324,295,90,256,13,631,29,1,31,2702,95,4.28,1.319,8.2,1.3,3.6,9.0,2.46,488
Miami Marlins,22,27.6,5.43,27,41,.397,5.09,68,68,68,0,4,0,14,603.0,619,369,341,82,243,9,540,26,4,21,2648,86,4.39,1.430,9.2,1.2,3.6,8.1,2.22,481
Milwaukee Brewers,27,28.5,4.07,38,34,.528,3.81,72,72,72,0,6,0,18,638.1,572,293,270,75,260,12,595,25,5,17,2716,105,4.08,1.303,8.1,1.1,3.7,8.4,2.29,515
Minnesota Twins,22,28.7,4.09,36,34,.514,3.90,70,70,70,0,5,0,14,615.2,567,286,267,75,186,4,610,32,7,14,2594,107,3.74,1.223,8.3,1.1,2.7,8.9,3.28,469
New York Mets,26,30.5,3.37,45,26,.634,2.88,71,71,70,1,6,1,22,634.1,540,239,203,51,245,4,628,28,3,27,2657,132,3.43,1.238,7.7,0.7,3.5,8.9,2.56,526
New York Yankees,20,31.3,3.84,42,27,.609,3.63,69,69,69,0,7,0,21,610.2,499,265,246,68,232,3,640,17,3,21,2543,113,3.65,1.197,7.4,1.0,3.4,9.4,2.76,453
Philadelphia Phillies,22,30.1,4.24,41,29,.586,3.91,70,70,70,0,6,0,21,628.0,598,297,273,72,211,6,652,20,1,19,2660,107,3.59,1.288,8.6,1.0,3.0,9.3,3.09,491
Pittsburgh Pirates,21,28.3,3.93,29,43,.403,3.72,72,72,71,1,7,0,16,639.0,549,283,264,59,211,10,538,25,1,20,2643,113,3.70,1.189,7.7,0.8,3.0,7.6,2.55,457
San Diego Padres,20,29.4,3.88,38,31,.551,3.53,69,69,67,2,12,2,24,612.1,516,268,240,69,234,7,602,27,3,17,2570,116,3.85,1.225,7.6,1.0,3.4,8.8,2.57,474
Seattle Mariners,26,27.5,4.49,35,34,.507,4.02,69,69,69,0,1,0,19,625.0,612,310,279,81,215,14,561,26,1,21,2669,92,4.12,1.323,8.8,1.2,3.1,8.1,2.61,503
San Francisco Giants,18,29.3,3.65,41,30,.577,3.24,71,71,71,0,4,0,21,627.2,542,259,226,53,228,9,605,24,1,25,2618,117,3.45,1.227,7.8,0.8,3.3,8.7,2.65,486
St. Louis Cardinals,20,30.1,4.32,37,34,.521,4.00,71,71,70,1,8,1,17,629.2,614,307,280,58,193,8,506,23,2,20,2664,102,3.69,1.282,8.8,0.8,2.8,7.2,2.62,478
Tampa Bay Rays,18,27.6,3.76,38,32,.543,3.50,70,70,69,1,5,0,17,627.1,552,263,244,92,186,5,561,27,1,9,2570,112,4.21,1.176,7.9,1.3,2.7,8.0,3.02,433
Texas Rangers,21,32.0,3.34,35,36,.493,3.14,71,71,69,2,7,1,19,620.0,511,237,216,58,195,5,558,19,3,25,2528,120,3.53,1.139,7.4,0.8,2.8,8.1,2.86,433
Toronto Blue Jays,25,30.8,4.33,38,32,.543,4.11,70,70,70,0,4,0,23,623.2,553,303,285,97,212,7,626,32,4,16,2606,103,4.26,1.227,8.0,1.4,3.1,9.0,2.95,443
Washington Nationals,19,28.2,5.07,30,40,.429,4.93,70,70,70,0,6,0,19,615.0,618,355,337,72,237,1,548,45,2,33,2693,81,4.19,1.390,9.0,1.1,3.5,8.0,2.31,497
League Average,23,29.3,4.32,35,35,.500,4.02,70,70,70,0,5,0,18,623,579,304,278,76,228,8,581,27,3,21,2646,102,4.03,1.293,8.4,1.1,3.3,8.4,2.55,481
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,682,29.3,4.32,1055,1055,.500,4.02,2110,2110,2096,14,153,7,543,18699.0,17356,9115,8351,2289,6826,239,17426,812,81,621,79379,102,4.03,1.293,8.4,1.1,3.3,8.4,2.55,14439
