Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Milwaukee Brewers,26,28.4,4.30,29,28,.509,4.00,57,57,57,0,5,0,13,504.1,464,245,224,61,213,11,467,21,5,14,2166,103,4.19,1.342,8.3,1.1,3.8,8.3,2.19,415
Minnesota Twins,20,28.8,3.45,30,25,.545,3.29,55,55,55,0,5,0,13,481.1,425,190,176,49,133,3,487,27,6,11,1997,126,3.37,1.159,7.9,0.9,2.5,9.1,3.66,368
New York Mets,24,30.5,3.32,34,22,.607,2.87,56,56,56,0,5,0,16,498.0,420,186,159,36,208,2,498,21,3,23,2102,133,3.40,1.261,7.6,0.7,3.8,9.0,2.39,430
New York Yankees,19,31.5,3.49,35,20,.636,3.25,55,55,55,0,5,0,17,487.0,371,192,176,46,188,1,528,12,1,20,2008,122,3.37,1.148,6.9,0.9,3.5,9.8,2.81,361
Philadelphia Phillies,18,30.4,4.12,36,20,.643,3.77,56,56,56,0,5,0,20,503.2,471,231,211,55,172,6,546,17,0,16,2128,110,3.45,1.277,8.4,1.0,3.1,9.8,3.17,396
Pittsburgh Pirates,21,28.4,4.26,21,36,.368,3.99,57,57,56,1,5,0,12,507.0,460,243,225,47,181,9,423,25,1,17,2135,106,3.83,1.264,8.2,0.8,3.2,7.5,2.34,384
San Diego Padres,19,29.5,3.98,31,23,.574,3.61,54,54,52,2,9,2,19,479.0,404,215,192,57,173,5,469,20,3,13,1998,112,3.87,1.205,7.6,1.1,3.3,8.8,2.71,352
Seattle Mariners,26,27.6,4.33,30,25,.545,3.83,55,55,55,0,1,0,18,498.2,491,238,212,57,169,12,439,19,1,11,2131,97,3.93,1.324,8.9,1.0,3.1,7.9,2.60,411
San Francisco Giants,16,29.8,3.62,31,25,.554,3.22,56,56,56,0,3,0,15,492.0,429,203,176,41,163,6,483,18,0,17,2039,120,3.30,1.203,7.8,0.8,3.0,8.8,2.96,367
St. Louis Cardinals,18,30.2,4.00,32,24,.571,3.71,56,56,55,1,6,1,16,496.2,454,224,205,42,155,6,401,18,2,15,2077,112,3.61,1.226,8.2,0.8,2.8,7.3,2.59,371
Tampa Bay Rays,17,27.6,3.73,29,27,.518,3.57,56,56,56,0,5,0,14,501.2,436,209,199,75,153,3,427,22,0,7,2049,109,4.36,1.174,7.8,1.3,2.7,7.7,2.79,340
Texas Rangers,20,32.2,3.46,27,30,.474,3.19,57,57,56,1,6,1,16,496.1,413,197,176,50,163,4,441,16,3,18,2038,117,3.69,1.161,7.5,0.9,3.0,8.0,2.71,352
Toronto Blue Jays,23,31.0,4.20,28,28,.500,3.93,56,56,56,0,4,0,17,499.2,434,235,218,76,159,7,508,24,4,15,2068,105,4.12,1.187,7.8,1.4,2.9,9.2,3.20,344
Washington Nationals,18,28.2,5.09,26,30,.464,4.98,56,56,56,0,4,0,16,492.0,493,285,272,55,193,1,452,38,1,32,2156,81,4.10,1.394,9.0,1.0,3.5,8.3,2.34,398
League Average,21,29.4,4.32,28,28,.500,4.00,56,56,56,0,4,0,14,495,458,241,220,60,183,6,462,22,2,17,2104,102,4.01,1.294,8.3,1.1,3.3,8.4,2.53,384
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,642,29.4,4.32,839,839,.500,4.00,1678,1678,1670,8,125,5,431,14861.0,13752,7243,6613,1790,5476,190,13858,646,67,514,63122,102,4.01,1.294,8.3,1.1,3.3,8.4,2.53,11512
