Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
San Diego Padres,20,29.5,3.83,36,27,.571,3.48,63,63,61,2,11,2,23,559.0,467,241,216,63,207,6,544,24,3,14,2330,116,3.83,1.206,7.5,1.0,3.3,8.8,2.63,420
Seattle Mariners,26,27.6,4.44,32,31,.508,3.94,63,63,63,0,1,0,18,571.2,564,280,250,70,193,12,502,26,1,20,2446,94,4.05,1.324,8.9,1.1,3.0,7.9,2.60,468
San Francisco Giants,17,29.5,3.43,37,28,.569,3.04,65,65,65,0,4,0,19,575.0,492,223,194,44,196,8,567,23,1,22,2381,125,3.23,1.197,7.7,0.7,3.1,8.9,2.89,443
St. Louis Cardinals,19,30.2,4.16,36,28,.563,3.82,64,64,63,1,8,1,17,567.2,538,266,241,50,177,7,456,19,2,18,2390,106,3.64,1.260,8.5,0.8,2.8,7.2,2.58,430
Tampa Bay Rays,17,27.6,3.70,34,30,.531,3.52,64,64,63,1,5,0,16,573.1,501,237,224,85,167,4,503,23,0,7,2335,111,4.23,1.165,7.9,1.3,2.6,7.9,3.01,384
Texas Rangers,21,32.1,3.34,30,35,.462,3.12,65,65,63,2,7,1,17,565.0,459,217,196,55,180,4,505,19,3,25,2305,121,3.60,1.131,7.3,0.9,2.9,8.0,2.81,393
Toronto Blue Jays,24,30.9,4.23,35,29,.547,3.98,64,64,64,0,4,0,20,571.2,501,271,253,88,187,7,581,28,4,16,2374,106,4.16,1.203,7.9,1.4,2.9,9.1,3.11,398
Washington Nationals,18,28.2,5.03,30,34,.469,4.92,64,64,64,0,6,0,19,563.0,557,322,308,61,219,1,508,42,2,33,2461,81,4.06,1.378,8.9,1.0,3.5,8.1,2.32,453
League Average,22,29.3,4.30,32,32,.500,4.00,64,64,64,0,5,0,17,569,526,276,253,69,208,7,530,25,3,19,2413,101,4.01,1.290,8.3,1.1,3.3,8.4,2.55,439
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,667,29.3,4.30,963,963,.500,4.00,1926,1926,1915,11,144,5,498,17063.1,15776,8286,7588,2076,6232,216,15906,739,76,580,72389,101,4.01,1.290,8.3,1.1,3.3,8.4,2.55,13157
