Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
New York Mets,24,30.5,3.28,36,22,.621,2.84,58,58,58,0,5,0,17,516.0,429,190,163,38,213,2,518,22,3,23,2170,135,3.40,1.244,7.5,0.7,3.7,9.0,2.43,440
New York Yankees,20,31.4,3.82,35,22,.614,3.61,57,57,57,0,5,0,17,503.0,404,218,202,53,197,2,537,12,2,20,2096,111,3.57,1.195,7.2,0.9,3.5,9.6,2.73,375
Philadelphia Phillies,19,30.3,4.38,36,22,.621,4.04,58,58,58,0,5,0,20,521.2,506,254,234,60,179,6,566,17,1,16,2222,104,3.54,1.313,8.7,1.0,3.1,9.8,3.16,413
Pittsburgh Pirates,21,28.4,4.17,22,37,.373,3.92,59,59,58,1,6,0,12,524.0,465,246,228,47,186,9,430,25,1,17,2194,108,3.82,1.242,8.0,0.8,3.2,7.4,2.31,389
San Diego Padres,20,29.6,3.96,32,24,.571,3.60,56,56,54,2,9,2,20,497.0,423,222,199,58,177,5,493,21,3,13,2074,112,3.81,1.207,7.7,1.1,3.2,8.9,2.79,367
Seattle Mariners,26,27.5,4.46,31,26,.544,3.91,57,57,57,0,1,0,18,519.2,517,254,226,62,176,12,457,22,1,12,2227,96,4.02,1.334,9.0,1.1,3.0,7.9,2.60,431
San Francisco Giants,16,29.7,3.52,32,26,.552,3.13,58,58,58,0,4,0,16,509.0,435,204,177,41,173,6,503,19,0,19,2104,124,3.29,1.194,7.7,0.7,3.1,8.9,2.91,380
St. Louis Cardinals,19,30.2,4.05,33,25,.569,3.77,58,58,57,1,7,1,17,513.2,473,235,215,44,160,6,420,19,2,16,2150,110,3.61,1.232,8.3,0.8,2.8,7.4,2.63,382
Tampa Bay Rays,17,27.6,3.69,30,28,.517,3.54,58,58,57,1,5,0,14,519.1,453,214,204,78,155,3,441,23,0,7,2118,111,4.37,1.171,7.9,1.4,2.7,7.6,2.85,351
Texas Rangers,20,32.1,3.39,28,31,.475,3.13,59,59,58,1,6,1,17,514.1,423,200,179,50,169,4,456,17,3,22,2108,121,3.66,1.151,7.4,0.9,3.0,8.0,2.70,365
Toronto Blue Jays,23,31.0,4.29,30,28,.517,4.03,58,58,58,0,4,0,18,517.2,455,249,232,81,168,7,523,25,4,15,2147,103,4.22,1.203,7.9,1.4,2.9,9.1,3.11,355
Washington Nationals,18,28.2,5.16,28,30,.483,5.05,58,58,58,0,4,0,17,510.0,515,299,286,57,199,1,463,40,1,32,2235,80,4.13,1.400,9.1,1.0,3.5,8.2,2.33,409
League Average,22,29.4,4.33,29,29,.500,4.03,58,58,58,0,4,0,15,513,476,251,230,63,189,7,478,22,2,18,2179,102,4.04,1.296,8.4,1.1,3.3,8.4,2.53,397
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,649,29.4,4.33,869,869,.500,4.03,1738,1738,1728,10,132,5,447,15391.0,14284,7527,6893,1876,5659,197,14345,670,69,529,65376,102,4.04,1.296,8.4,1.1,3.3,8.4,2.53,11898
