Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Houston Astros,23,29.1,3.66,36,29,.554,3.52,65,65,62,3,6,0,19,572.1,464,238,224,62,202,3,623,22,1,15,2362,116,3.48,1.164,7.3,1.0,3.2,9.8,3.08,412
Kansas City Royals,20,30.1,3.56,34,32,.515,3.31,66,66,66,0,7,0,22,587.2,512,235,216,64,191,9,538,19,2,28,2430,125,3.73,1.196,7.8,1.0,2.9,8.2,2.82,443
Los Angeles Angels,27,30.0,5.06,31,34,.477,4.84,65,65,65,0,2,0,17,571.1,597,329,307,84,265,18,480,22,5,28,2526,86,4.81,1.509,9.4,1.3,4.2,7.6,1.81,487
Los Angeles Dodgers,30,29.4,4.48,40,27,.597,4.12,67,67,67,0,3,0,20,599.0,544,300,274,85,236,13,601,27,1,29,2542,95,4.23,1.302,8.2,1.3,3.5,9.0,2.55,457
Miami Marlins,22,27.6,5.47,24,40,.375,5.12,64,64,64,0,4,0,11,568.0,583,350,323,78,230,8,507,23,4,20,2494,85,4.41,1.431,9.2,1.2,3.6,8.0,2.20,451
Milwaukee Brewers,26,28.5,4.12,35,32,.522,3.87,67,67,67,0,5,0,15,593.1,534,276,255,71,245,12,547,22,5,15,2530,103,4.13,1.313,8.1,1.1,3.7,8.3,2.23,481
Minnesota Twins,21,28.7,3.68,35,30,.538,3.51,65,65,65,0,5,0,14,572.0,508,239,223,64,164,4,575,30,6,12,2381,118,3.53,1.175,8.0,1.0,2.6,9.0,3.51,434
New York Mets,25,30.5,3.29,42,24,.636,2.85,66,66,66,0,5,0,21,588.1,494,217,186,46,233,4,590,25,3,25,2467,133,3.40,1.236,7.6,0.7,3.6,9.0,2.53,495
New York Yankees,20,31.4,3.97,39,25,.609,3.78,64,64,64,0,6,0,19,566.0,464,254,238,66,216,2,607,16,2,20,2362,107,3.67,1.201,7.4,1.0,3.4,9.7,2.81,416
Philadelphia Phillies,21,30.2,4.32,38,28,.576,3.97,66,66,66,0,5,0,20,592.0,567,285,261,68,202,6,620,19,1,19,2512,105,3.59,1.299,8.6,1.0,3.1,9.4,3.07,463
Pittsburgh Pirates,21,28.3,4.06,27,40,.403,3.83,67,67,66,1,7,0,14,595.0,516,272,253,54,204,10,497,25,1,18,2473,109,3.73,1.210,7.8,0.8,3.1,7.5,2.44,429
San Diego Padres,20,29.5,3.83,37,28,.569,3.46,65,65,63,2,12,2,24,578.0,484,249,222,64,216,7,561,25,3,16,2414,117,3.82,1.211,7.5,1.0,3.4,8.7,2.60,440
Seattle Mariners,26,27.6,4.46,33,32,.508,3.94,65,65,65,0,1,0,19,591.0,576,290,259,73,204,14,530,26,1,20,2525,94,4.05,1.320,8.8,1.1,3.1,8.1,2.60,481
San Francisco Giants,17,29.4,3.42,38,28,.576,3.04,66,66,66,0,4,0,20,584.0,498,226,197,44,198,8,575,24,1,23,2417,125,3.22,1.192,7.7,0.7,3.1,8.9,2.90,449
St. Louis Cardinals,19,30.1,4.21,36,30,.545,3.87,66,66,65,1,8,1,17,586.2,561,278,252,53,183,8,469,21,2,18,2476,105,3.69,1.268,8.6,0.8,2.8,7.2,2.56,448
Tampa Bay Rays,18,27.6,3.74,36,30,.545,3.53,66,66,65,1,5,0,16,593.1,518,247,233,85,176,5,522,25,0,8,2422,111,4.19,1.170,7.9,1.3,2.7,7.9,2.97,403
Texas Rangers,21,32.0,3.32,31,35,.470,3.10,66,66,64,2,7,1,18,574.0,465,219,198,56,182,4,516,19,3,25,2338,122,3.59,1.127,7.3,0.9,2.9,8.1,2.84,397
Toronto Blue Jays,24,30.9,4.26,36,30,.545,4.01,66,66,66,0,4,0,21,589.2,520,281,263,91,198,7,595,28,4,16,2456,105,4.21,1.218,7.9,1.4,3.0,9.1,3.01,417
Washington Nationals,18,28.2,5.02,30,35,.462,4.89,65,65,65,0,6,0,19,572.0,568,326,311,63,221,1,515,42,2,33,2500,81,4.08,1.379,8.9,1.0,3.5,8.1,2.33,461
League Average,22,29.3,4.31,33,33,.500,4.00,66,66,65,0,5,0,17,583,540,284,260,71,213,8,543,25,3,20,2475,101,4.01,1.290,8.3,1.1,3.3,8.4,2.55,450
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,671,29.3,4.31,987,987,.500,4.00,1974,1974,1963,11,146,5,511,17499.2,16189,8506,7785,2127,6394,226,16303,755,76,589,74250,101,4.01,1.290,8.3,1.1,3.3,8.4,2.55,13505
