game_pk,date,home_whip_rolling_5,away_whip_rolling_5,home_whip_rolling_10,away_whip_rolling_10
317941,2012-04-21,0.8709663371510692,0.8852429992032814,0.8709663371510692,0.8852429992032814
317942,2012-04-21,0.9750024375060937,1.6875105469409182,0.9750024375060937,1.6875105469409182
317943,2012-04-21,1.875,1.297300803515685,1.875,1.297300803515685
317944,2012-04-21,1.36,0.0,1.36,0.0
317945,2012-04-21,0.0,2.538481065238963,0.0,2.538481065238963
317946,2012-04-21,0.9473684210526315,1.2162195032959546,0.9473684210526315,1.2162195032959546
317947,2012-04-21,2.2499929687719726,1.1739155954686857,2.2499929687719726,1.1739155954686857
317948,2012-04-21,1.1718768310575485,1.064514412073529,1.1718768310575485,1.064514412073529
317949,2012-04-21,1.7,1.5483771072444694,1.7,1.5483771072444694
317950,2012-04-21,1.4705882352941178,0.782608695652174,1.4705882352941178,0.782608695652174
317951,2012-04-21,1.7999948571575513,1.105268975099869,1.7999948571575513,1.105268975099869
317952,2012-04-21,0.0,0.8571428571428571,0.0,0.8571428571428571
317953,2012-04-21,0.8863616219054048,1.0714285714285714,0.8863616219054048,1.0714285714285714
317954,2012-04-21,2.275854221192341,0.0,2.275854221192341,0.0
317955,2012-04-22,1.3392833227083525,1.645166597311604,1.3392833227083525,1.645166597311604
317956,2012-04-22,1.588235294117647,1.4545454545454546,1.588235294117647,1.4545454545454546
317957,2012-04-22,1.7,1.3392833227083525,1.7,1.3392833227083525
317958,2012-04-22,0.0,1.105263157894737,0.0,1.105263157894737
317959,2012-04-22,1.1666666666666667,1.37999724000552,1.1666666666666667,1.37999724000552
317960,2012-04-22,1.528299003209428,1.6730801405387317,1.528299003209428,1.6730801405387317
317962,2012-04-22,1.0909110743837716,0.6885257188946211,1.0909110743837716,0.6885257188946211
317963,2012-04-22,1.0,2.7353021626534195,1.0,2.7353021626534195
317965,2012-04-22,1.2857188775674198,1.25,1.2857188775674198,1.25
317967,2012-04-22,1.3529411764705883,0.5901649019096752,1.3529411764705883,0.5901649019096752
317968,2012-04-22,1.5,1.0677948003477962,1.5,1.0677948003477962
317969,2012-04-22,1.026313088649767,1.1379329964362006,1.026313088649767,1.1379329964362006
317966,2012-04-23,1.1351382030762245,1.3269256287031321,1.1351382030762245,1.3269256287031321
317970,2012-04-23,1.3125,2.2500056250140625,1.3125,2.2500056250140625
317971,2012-04-23,1.8,1.5294117647058822,1.8,1.5294117647058822
317972,2012-04-23,0.8048790303402809,0.8135579431221304,0.8048790303402809,0.8135579431221304
317974,2012-04-23,1.1320733357106874,1.1886770024962219,1.1320733357106874,1.1886770024962219
317975,2012-04-23,0.8852473528645128,1.3448299048791463,0.8852473528645128,1.3448299048791463
317976,2012-04-23,0.0,0.0,0.0,0.0
317977,2012-04-23,0.0,1.9024483046258762,0.0,1.9024483046258762
317978,2012-04-23,1.0677948003477962,1.6415063367804967,1.0677948003477962,1.6415063367804967
317979,2012-04-23,0.8333333333333334,1.1,0.8333333333333334,1.1
317980,2012-04-24,1.7333333333333334,1.4464259885250206,1.7333333333333334,1.4464259885250206
317981,2012-04-24,1.62000648002592,0.8852473528645128,1.62000648002592,0.8852473528645128
317982,2012-04-24,1.323533304509719,1.1186421717929291,1.323533304509719,1.1186421717929291
317983,2012-04-24,1.0526315789473684,1.2452806692817562,1.0526315789473684,1.2452806692817562
317984,2012-04-24,0.8333333333333334,1.3018843360672905,0.8333333333333334,1.3018843360672905
317985,2012-04-24,1.5000044117776818,2.03999592000816,1.5000044117776818,2.03999592000816
317986,2012-04-24,1.9565259924478096,1.368421052631579,1.9565259924478096,1.368421052631579
317987,2012-04-24,1.7222222222222223,1.8947318559688,1.7222222222222223,1.8947318559688
317988,2012-04-24,1.8113173371370999,1.6111111111111112,1.8113173371370999,1.6111111111111112
317989,2012-04-24,1.7027073046143366,1.3157894736842106,1.7027073046143366,1.3157894736842106
317990,2012-04-24,1.6363599173638241,0.9868434037413206,1.6363599173638241,0.9868434037413206
317991,2012-04-24,1.8912961247994575,0.5,1.8912961247994575,0.5
317992,2012-04-24,1.61537840239076,1.6097521713361675,1.61537840239076,1.6097521713361675
317993,2012-04-24,1.4999973214333546,1.034484542214728,1.4999973214333546,1.034484542214728
317994,2012-04-24,1.3090932892605258,0.9056586685685499,1.3090932892605258,0.9056586685685499
317973,2012-04-25,1.4,1.4,1.4,1.4
317995,2012-04-25,1.344822948886383,1.0526315789473684,1.344822948886383,1.0526315789473684
317996,2012-04-25,1.0,0.8793118608825187,1.0,0.8793118608825187
317997,2012-04-25,1.1999965714383674,1.7647058823529411,1.1999965714383674,1.7647058823529411
317998,2012-04-25,0.0,1.2222222222222223,0.0,1.2222222222222223
317999,2012-04-25,1.2127633770991977,1.4375,1.2127633770991977,1.4375
318000,2012-04-25,1.6730801405387317,1.1311493953268774,1.6730801405387317,1.1311493953268774
318001,2012-04-25,1.0526315789473684,1.4444444444444444,1.0526315789473684,1.4444444444444444
318002,2012-04-25,1.5,1.3695681947134666,1.5,1.3695681947134666
318003,2012-04-25,0.0,1.8750046875117188,0.0,1.8750046875117188
318004,2012-04-25,1.2105263157894737,1.2000021818221487,1.2105263157894737,1.2000021818221487
318005,2012-04-25,1.6666666666666667,1.022728434918676,1.6666666666666667,1.022728434918676
318006,2012-04-25,0.8769257751562312,0.8571428571428571,0.8769257751562312,0.8571428571428571
318007,2012-04-25,1.375,0.7368421052631579,1.375,0.7368421052631579
318008,2012-04-25,1.105263157894737,1.2777848765826476,1.105263157894737,1.2777848765826476
318009,2012-04-25,1.2727272727272727,0.7142857142857143,1.2727272727272727,0.7142857142857143
318010,2012-04-26,1.6551752675435647,1.7142734694752182,1.6551752675435647,1.7142734694752182
318011,2012-04-26,0.627908436996365,1.5,0.627908436996365,1.5
318012,2012-04-26,1.124997991075016,1.3090932892605258,1.124997991075016,1.3090932892605258
318013,2012-04-26,1.0,2.5384615384615383,1.0,2.5384615384615383
318014,2012-04-26,1.5319116342305656,1.8648699050537976,1.5319116342305656,1.8648699050537976
318015,2012-04-26,1.3392833227083525,1.0500026250065624,1.3392833227083525,1.0500026250065624
318016,2012-04-26,2.2499948863752586,2.062512890705567,2.2499948863752586,2.062512890705567
318017,2012-04-26,1.4782608695652173,0.8421052631578947,1.4782608695652173,0.8421052631578947
318018,2012-04-27,1.6153821301813382,0.7752800277752497,1.6153821301813382,0.7752800277752497
318019,2012-04-27,0.9473684210526315,1.0,0.9473684210526315,1.0
318020,2012-04-27,1.459457487219612,1.714280816340525,1.459457487219612,1.714280816340525
318021,2012-04-27,0.9,1.5714285714285714,0.9,1.5714285714285714
318022,2012-04-27,1.4210526315789473,0.7978731892267971,1.4210526315789473,0.7978731892267971
318023,2012-04-27,1.5,1.0263171398909734,1.5,1.0263171398909734
318024,2012-04-27,1.1624985468768165,0.0,1.1624985468768165,0.0
318025,2012-04-27,1.016127393342914,1.3783765157074113,1.016127393342914,1.3783765157074113
318026,2012-04-27,1.7142918367565596,0.0,1.7142918367565596,0.0
318027,2012-04-27,1.094593115414709,1.46875,1.094593115414709,1.46875
318028,2012-04-27,1.2083333333333333,0.7142857142857143,1.2083333333333333,0.7142857142857143
318029,2012-04-27,0.0,1.16,0.0,1.16
318030,2012-04-27,1.0609769036303702,1.0862087693254643,1.0609769036303702,1.0862087693254643
318031,2012-04-27,0.969229278108803,1.090910330579921,0.969229278108803,1.090910330579921
318032,2012-04-27,1.0298522833616168,0.9375,1.0298522833616168,0.9375
318033,2012-04-28,0.6818212810058227,1.3972621880303946,0.6818212810058227,1.3972621880303946
318034,2012-04-28,1.034484542214728,1.4025955810447,1.034484542214728,1.4025955810447
318035,2012-04-28,0.7325572877240841,1.5,0.7325572877240841,1.5
318036,2012-04-28,1.3333333333333333,2.2,1.3333333333333333,2.2
318037,2012-04-28,1.9166506945775452,1.375,1.9166506945775452,1.375
318038,2012-04-28,1.1052646121902792,1.27940988322076,1.1052646121902792,1.27940988322076
318040,2012-04-28,0.6585373884602298,0.4,0.6585373884602298,0.4
318041,2012-04-28,0.0,1.4210526315789473,0.0,1.4210526315789473
318042,2012-04-28,1.3846180473423986,1.263154570645867,1.3846180473423986,1.263154570645867
318043,2012-04-28,1.5319214124315421,1.4166666666666667,1.5319214124315421,1.4166666666666667
318044,2012-04-28,1.8750066964524872,1.304350661631873,1.8750066964524872,1.304350661631873
318045,2012-04-28,1.124998593751758,1.7608733932030285,1.124998593751758,1.7608733932030285
318046,2012-04-28,1.0499986875016407,0.9782629962239048,1.0499986875016407,0.9782629962239048
318047,2012-04-28,0.9295800833241784,0.92,0.9295800833241784,0.92
318048,2012-04-29,1.6666666666666667,1.5211246181343407,1.6666666666666667,1.5211246181343407
318049,2012-04-29,1.6285667755234985,0.5,1.6285667755234985,0.5
318050,2012-04-29,1.04,1.1688296508705833,1.04,1.1688296508705833
318051,2012-04-29,4.0,1.0499986875016407,4.0,1.0499986875016407
318052,2012-04-29,1.2439039559804341,1.8305053720247932,1.2439039559804341,1.8305053720247932
318053,2012-04-29,1.567159501016415,0.0,1.567159501016415,0.0
318054,2012-04-29,1.7647110726796253,0.92,1.7647110726796253,0.92
318055,2012-04-29,1.4210488919766002,1.2676038484452838,1.4210488919766002,1.2676038484452838
318056,2012-04-29,1.3521107716749696,1.2222222222222223,1.3521107716749696,1.2222222222222223
318057,2012-04-29,1.3783765157074113,0.9320397398444076,1.3783765157074113,0.9320397398444076
318058,2012-04-29,0.0,0.7777777777777778,0.0,0.7777777777777778
318059,2012-04-29,1.1506865077897366,1.3378414536255503,1.1506865077897366,1.3378414536255503
318060,2012-04-29,1.0253177535667766,1.0212776822103002,1.0253177535667766,1.0212776822103002
318061,2012-04-29,1.177216680021114,1.3333333333333333,1.177216680021114,1.3333333333333333
318062,2012-04-29,1.3478260869565217,0.8450692322968559,1.3478260869565217,0.8450692322968559
318063,2012-04-30,1.0609769036303702,0.0,1.0609769036303702,0.0
318064,2012-04-30,1.459457487219612,1.0,1.459457487219612,1.0
318065,2012-04-30,1.24,1.2727272727272727,1.24,1.2727272727272727
318067,2012-04-30,1.455880211940865,1.6323577422286535,1.455880211940865,1.6323577422286535
318068,2012-04-30,1.2941176470588236,1.7812527832074736,1.2941176470588236,1.7812527832074736
318069,2012-04-30,1.0769230769230769,1.6744224986569736,1.0769230769230769,1.6744224986569736
318070,2012-04-30,1.4999979729757122,1.3561662413236182,1.4999979729757122,1.3561662413236182
318071,2012-04-30,1.9253760080238924,0.8518518518518519,1.9253760080238924,0.8518518518518519
318072,2012-04-30,0.9873430219531923,1.0147043901406028,0.9873430219531923,1.0147043901406028
318073,2012-04-30,1.30262815097855,1.0183495581188606,1.30262815097855,1.0183495581188606
318074,2012-04-30,1.291672048633536,1.5769230769230769,1.291672048633536,1.5769230769230769
318075,2012-05-01,0.7037037037037037,1.2739743479100656,0.7037037037037037,1.2739743479100656
318076,2012-05-01,1.875,1.8870937304939832,1.875,1.8870937304939832
318078,2012-05-01,1.0769230769230769,1.5,1.0769230769230769,1.5
318079,2012-05-01,0.6263743146970491,1.1842120844895847,0.6263743146970491,1.1842120844895847
318080,2012-05-01,1.4776075295297628,1.292311668651288,1.4776075295297628,1.292311668651288
318081,2012-05-01,1.55,0.85,1.55,0.85
318082,2012-05-01,1.2666666666666666,1.3333333333333333,1.2666666666666666,1.3333333333333333
318083,2012-05-01,1.469381757625479,2.326535360276245,1.469381757625479,2.326535360276245
318084,2012-05-01,1.5217391304347827,0.9740247090588194,1.5217391304347827,0.9740247090588194
318085,2012-05-01,1.4545454545454546,1.2631645429712788,1.4545454545454546,1.2631645429712788
318086,2012-05-01,0.9740285039701401,1.0253177535667766,0.9740285039701401,1.0253177535667766
318087,2012-05-01,1.4745737719088612,1.2352941176470589,1.4745737719088612,1.2352941176470589
318088,2012-05-01,1.56,1.6730801405387317,1.56,1.6730801405387317
318089,2012-05-01,1.741941103035816,1.0,1.741941103035816,1.0
318090,2012-05-02,0.9740247090588194,0.8666666666666667,0.9740247090588194,0.8666666666666667
318091,2012-05-02,1.6849338149778286,1.0879096969017652,1.6849338149778286,1.0879096969017652
318092,2012-05-02,1.0875027187567967,1.4166607639134836,1.0875027187567967,1.4166607639134836
318093,2012-05-02,1.034484542214728,1.3018843360672905,1.034484542214728,1.3018843360672905
318094,2012-05-02,0.9259259259259259,1.2,0.9259259259259259,1.2
318095,2012-05-02,0.8571436224496629,2.01922300298845,0.8571436224496629,2.01922300298845
318096,2012-05-02,1.80000450001125,0.8901108682537013,1.80000450001125,0.8901108682537013
318097,2012-05-02,0.0,1.6499979375025782,0.0,1.6499979375025782
318098,2012-05-02,0.953270137130713,1.5957412856568391,0.953270137130713,1.5957412856568391
318099,2012-05-02,1.085107537348444,2.0,1.085107537348444,2.0
318100,2012-05-02,1.4464259885250206,1.53125,1.4464259885250206,1.4102564102564104
318101,2012-05-02,1.2666666666666666,0.9459459459459459,1.2666666666666666,0.9459459459459459
318102,2012-05-02,0.8148148148148148,1.0769230769230769,0.8148148148148148,1.0769230769230769
318103,2012-05-02,1.2169822801719623,1.12,1.2169822801719623,1.12
318104,2012-05-02,1.0588235294117647,1.3499983125021093,1.0588235294117647,1.3499983125021093
318105,2012-05-03,1.0,1.4375,1.0,1.4375
318106,2012-05-03,1.36,0.934423165825686,1.36,0.934423165825686
318107,2012-05-03,1.5164801835600363,1.4666666666666666,1.5164801835600363,1.4666666666666666
