game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
633416,2021-07-03,144,146,ATL,MIA,Atlanta Braves,Miami Marlins,Braves,Marlins,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2021,2021,81,80,40,34,41,46,0.494,0.425,380,315,364,295,16,20,4.69,3.94,4.49,3.69,0.2,0.25,0.0,0.0,0.0,0.0,0.551,0.471,0.488,0.517,23,18,21,18,17,16,20,28,W3,L1,0,0,0.0,0.0,0.0,0.0,40-41,34-46,23-21,18-18,17-20,16-28,20-21,15-14,38-31,32-36,6-4,3-7,True
633403,2021-07-03,141,139,TOR,TB,Toronto Blue Jays,Tampa Bay Rays,Blue Jays,Rays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2021,2021,80,82,42,47,38,35,0.525,0.573,416,398,342,333,74,65,5.2,4.85,4.28,4.06,0.92,0.79,0.0,0.0,0.0,0.0,0.446,0.557,0.5,0.636,18,23,19,16,24,24,19,19,W1,L4,0,0,0.0,0.0,0.0,0.0,42-38,47-35,18-19,23-16,24-19,24-19,18-18,21-12,29-36,39-31,7-3,4-6,True
633401,2021-07-03,133,111,OAK,BOS,Oakland Athletics,Boston Red Sox,Athletics,Red Sox,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2021,2021,84,83,48,52,36,31,0.571,0.627,376,428,347,365,29,63,4.48,5.16,4.13,4.4,0.35,0.76,0.0,0.0,0.0,0.0,0.563,0.592,0.485,0.677,26,27,21,17,22,25,15,14,L2,W8,0,0,0.0,0.0,0.0,0.0,48-36,52-31,26-21,27-17,22-15,25-14,16-17,21-10,40-31,42-29,4-6,8-2,False
633390,2021-07-03,143,135,PHI,SD,Philadelphia Phillies,San Diego Padres,Phillies,Padres,National League,National League,NL,NL,NL East,NL West,NL East,NL West,2021,2021,79,84,38,49,41,35,0.481,0.583,337,384,360,306,-23,78,4.27,4.57,4.56,3.64,-0.29,0.93,0.0,0.0,0.0,0.0,0.493,0.547,0.476,0.595,23,30,15,15,15,19,26,20,W1,L2,0,0,0.0,0.0,0.0,0.0,38-41,49-35,23-15,30-15,15-26,19-20,20-22,22-15,34-35,41-34,4-6,7-3,False
633388,2021-07-03,109,137,AZ,SF,Arizona Diamondbacks,San Francisco Giants,Diamondbacks,Giants,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2021,2021,84,81,23,51,61,30,0.274,0.63,351,399,473,297,-122,102,4.18,4.93,5.63,3.67,-1.45,1.26,0.0,0.0,0.0,0.0,0.299,0.627,0.235,0.6,13,26,25,11,10,25,36,19,L1,W1,0,0,0.0,0.0,0.0,0.0,23-61,51-30,13-25,26-11,10-36,25-19,8-26,21-14,23-54,42-25,2-8,6-4,True
633387,2021-07-03,134,158,PIT,MIL,Pittsburgh Pirates,Milwaukee Brewers,Pirates,Brewers,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2021,2021,81,83,29,50,52,33,0.358,0.602,281,364,390,324,-109,40,3.47,4.39,4.81,3.9,-1.35,0.48,0.0,0.0,0.0,0.0,0.318,0.632,0.286,0.629,16,26,23,18,13,24,29,15,L5,W10,0,0,0.0,0.0,0.0,0.0,29-52,50-33,16-23,26-18,13-29,24-15,10-25,22-13,21-45,48-28,3-7,10-0,True
633379,2021-07-03,136,140,SEA,TEX,Seattle Mariners,Texas Rangers,Mariners,Rangers,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2021,2021,83,82,44,32,39,50,0.53,0.39,345,337,386,390,-41,-53,4.16,4.11,4.65,4.76,-0.49,-0.65,0.0,0.0,0.0,0.0,0.563,0.435,0.571,0.375,25,20,16,21,19,12,23,29,W3,L1,0,0,0.0,0.0,0.0,0.0,44-39,32-50,25-16,20-21,19-23,12-29,16-12,12-20,40-31,30-39,7-3,6-4,True
633522,2021-07-04,147,121,NYY,NYM,New York Yankees,New York Mets,Yankees,Mets,American League,National League,AL,NL,AL East,NL East,AL East,NL East,2021,2021,81,78,41,42,40,36,0.506,0.538,332,283,340,281,-8,2,4.1,3.63,4.2,3.6,-0.1,0.03,0.0,0.0,0.0,0.0,0.521,0.559,0.415,0.514,22,24,21,11,19,18,19,25,L2,W1,0,0,0.0,0.0,0.0,0.0,41-40,42-36,22-21,24-11,19-19,18-25,17-24,19-18,38-35,38-30,3-7,5-5,False
633436,2021-07-04,109,137,AZ,SF,Arizona Diamondbacks,San Francisco Giants,Diamondbacks,Giants,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2021,2021,85,82,23,52,62,30,0.271,0.634,356,405,479,302,-123,103,4.19,4.94,5.64,3.68,-1.45,1.26,0.0,0.0,0.0,0.0,0.295,0.632,0.229,0.611,13,26,26,11,10,26,36,19,L2,W2,0,0,0.0,0.0,0.0,0.0,23-62,52-30,13-26,26-11,10-36,26-19,8-27,22-14,23-55,43-25,2-8,6-4,True
633431,2021-07-04,118,142,KC,MIN,Kansas City Royals,Minnesota Twins,Royals,Twins,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2021,2021,82,81,35,33,47,48,0.427,0.407,340,375,417,443,-77,-68,4.15,4.63,5.09,5.47,-0.94,-0.84,0.0,0.0,0.0,0.0,0.395,0.397,0.425,0.4,20,17,19,23,15,16,28,25,W2,L5,0,0,0.0,0.0,0.0,0.0,35-47,33-48,20-19,17-23,15-28,16-25,17-23,14-21,30-46,29-44,2-8,3-7,True
