Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
New York Mets,24,30.6,3.24,30,20,.600,2.82,50,50,50,0,5,0,13,440.0,375,162,138,33,177,1,448,17,2,23,1856,137,3.34,1.255,7.7,0.7,3.6,9.2,2.53,378
New York Yankees,19,31.6,3.77,29,19,.604,3.49,48,48,48,0,3,0,13,425.0,325,181,165,43,175,1,453,12,1,12,1768,114,3.58,1.176,6.9,0.9,3.7,9.6,2.59,318
Philadelphia Phillies,17,30.4,4.16,31,18,.633,3.79,49,49,49,0,3,0,15,439.2,405,204,185,49,138,3,477,17,0,15,1842,110,3.41,1.235,8.3,1.0,2.8,9.8,3.46,327
Pittsburgh Pirates,18,28.5,4.22,17,33,.340,3.97,50,50,49,1,5,0,10,444.0,397,211,196,39,160,8,367,21,1,17,1863,107,3.79,1.255,8.0,0.8,3.2,7.4,2.29,332
San Diego Padres,18,29.6,3.79,27,20,.574,3.50,47,47,45,2,9,2,16,413.2,336,178,161,50,152,4,412,16,3,11,1717,114,3.87,1.180,7.3,1.1,3.3,9.0,2.71,300
Seattle Mariners,23,27.6,4.17,28,20,.583,3.62,48,48,48,0,1,0,17,437.2,414,200,176,47,153,10,398,12,1,9,1859,102,3.79,1.296,8.5,1.0,3.1,8.2,2.60,359
San Francisco Giants,15,30.1,3.76,29,21,.580,3.34,50,50,50,0,2,0,14,442.0,390,188,164,39,153,5,425,16,0,13,1841,115,3.45,1.229,7.9,0.8,3.1,8.7,2.78,334
St. Louis Cardinals,18,30.1,4.00,27,23,.540,3.73,50,50,49,1,6,1,12,443.2,394,200,184,37,145,6,354,15,1,14,1845,112,3.65,1.215,8.0,0.8,2.9,7.2,2.44,322
Tampa Bay Rays,17,27.6,4.04,23,26,.469,3.88,49,49,49,0,3,0,12,438.2,396,198,189,70,137,3,381,19,0,7,1811,103,4.48,1.215,8.1,1.4,2.8,7.8,2.78,302
Texas Rangers,20,32.2,3.48,25,25,.500,3.30,50,50,49,1,5,1,14,436.1,358,174,160,43,137,3,391,15,3,18,1775,117,3.61,1.134,7.4,0.9,2.8,8.1,2.85,292
Toronto Blue Jays,22,31.2,4.31,24,24,.500,4.13,48,48,48,0,2,0,15,429.2,384,207,197,68,140,6,442,23,4,15,1793,99,4.22,1.220,8.0,1.4,2.9,9.3,3.16,305
Washington Nationals,18,28.3,5.29,22,27,.449,5.24,49,49,49,0,2,0,15,428.0,444,259,249,49,172,1,396,33,1,27,1897,78,4.15,1.439,9.3,1.0,3.6,8.3,2.30,355
League Average,21,29.4,4.34,25,25,.500,4.04,49,49,49,0,4,0,12,436,403,214,196,54,161,5,406,19,2,15,1850,102,4.05,1.293,8.3,1.1,3.3,8.4,2.53,335
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,616,29.4,4.34,739,739,.500,4.04,1478,1478,1471,7,109,4,375,13071.2,12080,6408,5869,1606,4822,155,12181,558,56,454,55505,102,4.05,1.293,8.3,1.1,3.3,8.4,2.53,10058
