game_pk,date,venue,away_team,home_team,away_runs,away_hits,away_doubles,away_triples,away_homeruns,away_rbi,away_walks,away_strikeouts,away_stolen_bases,away_caught_stealing,away_hit_by_pitch,away_at_bats,away_obp,away_slg,away_ops,away_avg,away_left_on_base,away_sac_bunts,away_sac_flies,away_ground_into_dp,away_total_bases,home_runs,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_hit_by_pitch,home_at_bats,home_obp,home_slg,home_ops,home_avg,home_left_on_base,home_sac_bunts,home_sac_flies,home_ground_into_dp,home_total_bases,away_innings_pitched,away_earned_runs,away_pitcher_strikeouts,away_pitcher_walks,away_pitcher_hits,away_pitcher_homeruns,away_pitcher_era,away_pitcher_whip,away_hit_batters,away_wild_pitches,away_balks,away_pitches_thrown,away_strikes,home_innings_pitched,home_earned_runs,home_pitcher_strikeouts,home_pitcher_walks,home_pitcher_hits,home_pitcher_homeruns,home_pitcher_era,home_pitcher_whip,home_hit_batters,home_wild_pitches,home_balks,home_pitches_thrown,home_strikes,away_errors,away_putouts,away_assists,away_chances,away_passed_balls,away_double_plays,home_errors,home_putouts,home_assists,home_chances,home_passed_balls,home_double_plays
778541,2025-03-28,T-Mobile Park,Athletics,Seattle Mariners,7,12,2,0,3,7,5,5,0,0,1,38,.297,.478,.775,.224,13,0,0,0,23,0,5,0,0,0,0,3,13,0,0,0,31,.309,.286,.595,.179,13,0,0,0,5,9.0,0,13,3,5,0,1.59,1.18,0,0,0,139,89,9.0,7,5,5,12,3,4.50,1.17,1,0,0,160,94,0,0,10,37,0,0,0,0,12,39,0,0
778542,2025-03-28,Petco Park,Atlanta Braves,San Diego Padres,3,5,1,0,1,3,4,13,0,0,0,32,.286,.328,.614,.179,11,0,0,0,9,4,10,1,0,2,4,2,3,0,0,0,33,.343,.500,.843,.313,13,0,0,0,17,8.0,4,3,2,10,2,6.19,1.50,0,0,0,120,78,9.0,3,13,4,5,1,3.50,1.22,0,1,0,165,106,0,0,14,38,0,0,0,0,7,34,0,0
778544,2025-03-28,Dodger Stadium,Detroit Tigers,Los Angeles Dodgers,5,10,2,1,2,5,5,16,1,0,0,39,.349,.466,.815,.260,17,0,0,0,20,8,8,1,0,3,8,2,10,0,0,1,35,.320,.477,.797,.223,8,0,0,1,18,9.1,7,10,2,8,3,6.23,1.04,1,0,0,147,99,10.0,4,16,5,10,2,2.92,1.32,0,0,0,164,106,0,0,9,37,0,0,0,0,11,41,0,0
778538,2025-03-29,Yankee Stadium,Milwaukee Brewers,New York Yankees,9,13,2,0,1,7,2,9,1,0,2,44,.326,.377,.703,.260,23,0,0,0,18,20,16,2,0,9,20,8,5,0,0,2,40,.435,.855,1.290,.333,12,0,1,0,45,8.0,18,5,8,16,9,12.38,2.19,2,0,0,187,104,9.0,5,9,2,13,1,3.50,1.44,2,0,0,165,103,1,0,7,32,0,0,5,0,8,40,0,0
778534,2025-03-29,Rate Field,Los Angeles Angels,Chicago White Sox,1,8,0,0,0,1,4,7,1,0,0,32,.282,.266,.548,.203,19,0,0,3,8,0,2,0,0,0,0,4,7,0,0,0,27,.258,.367,.625,.183,8,0,0,1,2,9.0,0,7,4,2,0,4.24,1.00,0,1,0,111,68,9.0,1,7,4,8,0,1.00,1.06,0,1,0,139,84,0,0,14,41,0,0,0,0,8,35,0,0
778528,2025-03-29,Busch Stadium,Minnesota Twins,St. Louis Cardinals,1,3,1,0,0,1,0,3,1,0,0,30,.209,.266,.475,.172,7,0,0,1,4,5,10,2,0,0,5,5,10,2,1,2,32,.387,.446,.833,.308,27,0,1,0,12,8.0,5,10,5,10,0,4.50,1.69,2,0,0,164,107,9.0,1,3,0,3,0,2.00,0.78,0,0,0,105,69,0,0,5,29,0,0,1,0,10,38,0,0
778536,2025-03-29,Rogers Centre,Baltimore Orioles,Toronto Blue Jays,9,12,3,0,3,9,1,9,1,0,2,36,.350,.606,.956,.279,8,0,2,0,24,5,8,3,0,1,5,5,14,0,0,0,34,.354,.396,.750,.271,20,0,1,0,14,9.0,5,14,5,8,1,4.85,1.50,0,1,0,157,98,9.0,9,9,1,12,3,7.67,1.44,2,0,0,159,104,0,0,5,32,0,0,0,0,6,33,0,0
778535,2025-03-29,Nationals Park,Philadelphia Phillies,Washington Nationals,11,14,2,0,3,10,8,5,0,0,0,39,.400,.566,.966,.289,16,0,0,1,25,6,12,2,0,3,6,4,15,2,0,0,39,.313,.444,.757,.236,19,0,0,0,23,9.0,6,15,4,12,3,4.26,1.26,0,0,0,176,116,9.0,11,5,8,14,3,8.05,1.89,0,1,1,191,117,0,0,7,34,0,0,0,0,16,43,0,0
778529,2025-03-29,Kauffman Stadium,Cleveland Guardians,Kansas City Royals,3,5,1,0,1,3,4,5,0,2,0,28,.297,.422,.719,.234,12,0,1,1,9,4,10,1,0,1,4,2,4,1,1,0,33,.278,.382,.660,.250,16,0,0,0,14,8.0,4,4,2,10,1,4.00,1.11,0,1,0,125,89,9.0,3,5,4,5,1,4.26,1.16,0,0,0,137,81,0,0,8,32,0,0,0,0,7,34,0,0
778540,2025-03-29,Great American Ball Park,San Francisco Giants,Cincinnati Reds,2,8,2,0,1,2,0,1,1,0,1,32,.250,.385,.635,.215,10,0,0,3,13,3,8,1,0,2,3,1,9,0,0,0,32,.310,.369,.679,.246,10,0,0,0,15,8.0,3,9,1,8,2,3.71,1.24,0,0,0,135,92,9.0,2,1,0,8,1,4.00,0.89,1,0,0,122,83,0,0,3,27,0,0,0,0,15,42,0,0
