game_pk,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
5057981,1.565217391304348,4.5957642372946275
5057982,4.1538397633234405,6.171437387767696
5057983,2.3684335180711478,5.094358846637157
5057984,4.714285714285714,5.926858179796
5057985,5.0,5.03386417719202
5057986,4.1896623959696475,4.02985676098024
5057987,5.625,2.892851977050041
5057988,3.9375,8.307660355152482
5057989,0.9818199669453944,1.1250070312939455
5057990,3.7241443519730204,5.926858179796
5057991,4.242845020442799,3.5999999999999996
5057992,6.749978906315919,6.113196012837712
5057993,2.0149193584496765,2.0
5057994,6.000040000266669,4.295444783080039
5057995,2.5890446425269076,4.295474070336684
5057996,3.4468231779709697,4.86001944007776
5057997,4.76469887544283,6.6521739130434785
5057998,3.789473684210526,5.603731292594019
5057999,2.454549917363486,4.9499752501237495
5058000,3.258626307976393,5.161779887587904
5058001,4.909079752091473,8.27996688013248
5058002,5.4,2.3684210526315788
5058003,4.263180332528066,4.500028125175782
5058004,3.681809814068605,8.258804096931538
5058005,2.5471794233185787,1.723411588985485
5058006,1.7704947057290257,2.3275902199831378
5058007,7.3636095868742295,5.869565217391305
5058008,1.9756193932653332,6.749987946450096
5058009,4.50002500013889,2.4
5058010,1.6530645980910164,4.395328393821424
5058011,3.15,4.800032000213335
5058012,2.454549917363486,3.5
5058013,7.3125,2.24998875005625
5058014,2.410722895438912,2.4
5058015,2.2131183821612823,3.203384401043388
5058016,5.78575561254009,3.7799924400151204
5058017,7.5441065527844815,5.142893877813413
5058018,7.71427193880011,4.808206004915055
5058019,3.068195764526202,6.982734542294683
5058020,3.8571566327022593,4.5
5058021,2.8125,4.0
5058022,5.890919801672366,3.626871084882216
5058023,4.835806460279223,2.7391185255716284
5058024,3.3157894736842106,4.021293707632799
5058025,8.132520322264673,6.000022222304528
5058026,3.223885408784192,3.9375
5058027,2.5961588387669976,3.7058823529411766
5058028,7.071428571428571,1.89472686985858
5058029,0.9473734072284591,3.4468011770187728
5058030,3.4285714285714284,4.021293707632799
5058031,3.5999999999999996,3.7241443519730204
5058032,3.626871084882216,3.0422492362686815
5058033,3.4615650889622227,4.7646778548361475
5058034,7.967186992829533,4.909113223241923
5058035,6.9677306972085535,4.443026726514617
5058036,4.584922961973441,5.93998812002376
5058037,3.5409894114580514,4.2
5058038,5.2105263157894735,4.285714285714286
5058039,4.808206004915055,3.698620003780812
5058040,6.923076923076923,5.58622615940055
5058041,3.223885408784192,3.857142857142857
5058042,3.0,4.959193794273049
5058043,5.40001350003375,2.5961438609851504
5058044,5.04,4.618408898923951
5058045,7.2,4.695662381874743
5058046,1.975619393265333,5.4
5058047,3.5660511926460097,6.06123685966706
5058048,4.218736816447449,2.820887101829547
5058049,5.120671997682766,5.014292877561253
5058050,3.7799924400151195,5.062531640822755
5058051,3.705904152377367,0.47368670361422954
5058052,6.328134887710761,5.478284688194297
