balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
42676,776764,2025-08-12,140,109,TEX,AZ,Texas Rangers,Arizona Diamondbacks,Rangers,D-backs,American League,National League,AL,NL,AL West,NL West,AL West,NL West,2025,2025,120,120,61,57,59,63,0.508,0.475,489,589,429,589,60,0,4.08,4.91,3.58,4.91,0.5,0.0,0.0,0.0,0.0,0.0,0.508,0.475,0.0,0.0,37,30,24,30,24,27,35,33,W1,L1,0,0,0.0,0.0,0.0,0.0,0.5083333333333333,0.475,0.6065573770491803,0.5,0.4067796610169492,0.45,0.5,0.6,0.5083333333333333,0.475,0.4,0.6,False
42677,776769,2025-08-12,117,111,HOU,BOS,Houston Astros,Boston Red Sox,Astros,Red Sox,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2025,2025,119,125,67,69,52,56,0.563,0.552,520,638,465,538,55,100,4.37,5.1,3.91,4.3,0.46,0.8,0.0,0.0,0.0,0.0,0.563,0.552,0.0,0.0,36,43,24,22,31,26,28,34,W2,L3,0,0,0.0,0.0,0.0,0.0,0.5630252100840336,0.552,0.6,0.6615384615384615,0.5254237288135594,0.4333333333333333,0.3888888888888889,0.75,0.5630252100840336,0.552,0.5,0.6,False
42678,776775,2025-08-12,138,115,STL,COL,St. Louis Cardinals,Colorado Rockies,Cardinals,Rockies,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2025,2025,126,121,66,31,60,90,0.524,0.256,564,444,565,786,-1,-342,4.48,3.67,4.48,6.5,-0.01,-2.83,0.0,0.0,0.0,0.0,0.524,0.256,0.0,0.0,37,17,25,43,29,14,35,47,W2,L8,0,0,0.0,0.0,0.0,0.0,0.5238095238095238,0.256198347107438,0.5967741935483871,0.2833333333333333,0.453125,0.2295081967213114,0.4,0.16666666666666666,0.5238095238095238,0.256198347107438,0.6,0.2,False
42679,776773,2025-08-12,145,116,CWS,DET,Chicago White Sox,Detroit Tigers,White Sox,Tigers,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2025,2025,121,124,43,72,78,52,0.355,0.581,461,609,541,512,-80,97,3.81,4.91,4.47,4.13,-0.66,0.78,0.0,0.0,0.0,0.0,0.355,0.581,0.0,0.0,25,40,37,25,18,32,41,27,L1,W2,0,0,0.0,0.0,0.0,0.0,0.3553719008264462,0.5806451612903226,0.4032258064516129,0.6153846153846154,0.3050847457627119,0.5423728813559322,0.375,0.6470588235294118,0.3553719008264462,0.5806451612903226,0.3,0.5,True
42680,776771,2025-08-12,158,134,MIL,PIT,Milwaukee Brewers,Pittsburgh Pirates,Brewers,Pirates,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2025,2025,119,121,75,52,44,69,0.63,0.43,601,435,458,495,143,-60,5.05,3.6,3.85,4.09,1.2,-0.5,0.0,0.0,0.0,0.0,0.63,0.43,0.0,0.0,40,34,20,29,35,18,24,40,W10,L3,0,0,0.0,0.0,0.0,0.0,0.6302521008403361,0.4297520661157025,0.6666666666666666,0.5396825396825397,0.5932203389830508,0.3103448275862069,0.7058823529411765,0.4666666666666667,0.6302521008403361,0.4297520661157025,1.0,0.4,True
42681,776770,2025-08-12,118,120,KC,WSH,Kansas City Royals,Washington Nationals,Royals,Nationals,American League,National League,AL,NL,AL Central,NL East,AL Central,NL East,2025,2025,122,121,61,47,61,74,0.5,0.388,457,506,468,671,-11,-165,3.75,4.18,3.84,5.55,-0.09,-1.36,0.0,0.0,0.0,0.0,0.5,0.388,0.0,0.0,31,22,28,38,30,25,33,36,W1,L1,0,0,0.0,0.0,0.0,0.0,0.5,0.3884297520661157,0.5254237288135594,0.3666666666666666,0.4761904761904761,0.4098360655737705,0.38461538461538464,0.0,0.5,0.3884297520661157,0.5,0.3,False
42682,776763,2025-08-12,108,119,LAA,LAD,Los Angeles Angels,Los Angeles Dodgers,Angels,Dodgers,American League,National League,AL,NL,AL West,NL West,AL West,NL West,2025,2025,119,119,57,68,62,51,0.479,0.571,522,615,589,533,-67,82,4.39,5.17,4.95,4.48,-0.56,0.69,0.0,0.0,0.0,0.0,0.479,0.571,0.0,0.0,31,38,30,24,26,30,32,27,W1,L2,0,0,0.0,0.0,0.0,0.0,0.4789915966386555,0.5714285714285714,0.5081967213114754,0.6129032258064516,0.4482758620689655,0.5263157894736842,0.6,0.75,0.4789915966386555,0.5714285714285714,0.4,0.5,False
42683,776767,2025-08-12,137,135,SF,SD,San Francisco Giants,San Diego Padres,Giants,Padres,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2025,2025,119,120,59,67,60,53,0.496,0.558,489,494,481,460,8,34,4.11,4.12,4.04,3.83,0.07,0.28,0.0,0.0,0.0,0.0,0.496,0.558,0.0,0.0,29,38,29,20,30,29,31,33,L3,W3,0,0,0.0,0.0,0.0,0.0,0.4957983193277311,0.5583333333333333,0.5,0.6551724137931034,0.4918032786885246,0.4677419354838709,0.4444444444444444,0.45454545454545453,0.4957983193277311,0.5583333333333333,0.5,0.7,True
68274,776762,2025-08-12,133,139,ATH,TB,Athletics,Tampa Bay Rays,Athletics,Rays,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2025,2025,121,120,53,58,68,62,0.438,0.483,536,538,637,495,-101,43,4.43,4.48,5.26,4.12,-0.83,0.36,0.0,0.0,0.0,0.0,0.438,0.483,0.0,0.0,23,32,35,30,30,26,33,32,L1,W1,0,0,0.0,0.0,0.0,0.0,0.4380165289256198,0.4833333333333333,0.396551724137931,0.5161290322580645,0.4761904761904761,0.4482758620689655,0.4444444444444444,0.3333333333333333,0.4380165289256198,0.4833333333333333,0.5,0.4,False
43118,776756,2025-08-13,121,144,NYM,ATL,New York Mets,Atlanta Braves,Mets,Braves,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2025,2025,122,122,64,53,58,69,0.525,0.434,535,519,507,538,28,-19,4.39,4.25,4.16,4.41,0.23,-0.16,0.0,0.0,0.0,0.0,0.525,0.434,0.0,0.0,39,31,22,30,25,22,36,39,W1,L1,0,0,0.0,0.0,0.0,0.0,0.5245901639344263,0.4344262295081967,0.639344262295082,0.5081967213114754,0.4098360655737705,0.360655737704918,0.5,0.5909090909090909,0.5245901639344263,0.4344262295081967,0.2,0.5,True
