Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
18,Texas Rangers0.7,MIL-1.0,ATL0.3,PHI-1.0,SFG-1.2,ARI-0.2,KCR-0.7,CHW-0.3,STL-0.1,STL0.5,ATH-0.4,PIT0.2,WSN-0.3,MIL-0.3,NYM-0.3,BAL-0.3
19,Cincinnati Reds0.4,BOS-1.3,SFG0.3,CLE-1.1,MIN-1.2,MIA-0.2,TEX-0.7,PHI-0.4,CHC-0.1,TOR0.3,TBR-0.5,TEX0.1,ATL-0.4,CIN-0.3,WSN-0.5,SEA-0.3
20,San Diego Padres0.2,SEA-1.4,TOR0.1,ARI-1.2,PHI-1.3,PIT-0.2,SDP-0.7,ATL-0.4,SEA-0.2,ATL0.0,MIA-0.5,MIL-0.1,TOR-0.4,ARI-0.4,SDP-0.6,ATH-0.3
21,Milwaukee Brewers-1.3,TBR-1.4,TBR-0.5,CHC-1.3,BAL-1.3,HOU-0.3,WSN-1.0,TEX-0.4,NYM-0.2,SDP0.0,COL-0.5,WSN-0.2,BAL-0.4,ATH-1.1,SFG-0.7,TEX-0.3
22,Pittsburgh Pirates-2.7,CLE-1.8,SEA-0.5,PIT-1.3,CLE-1.7,LAA-0.3,SEA-1.1,MIN-0.6,NYY-0.2,MIN0.0,BAL-0.6,ATL-0.3,CHW-0.5,PIT-1.3,TBR-0.7,LAA-0.3
23,Cleveland Guardians-3.5,CHC-2.1,CLE-0.7,CHW-1.6,ATH-1.9,WSN-0.4,HOU-1.2,HOU-0.6,PIT-0.7,MIA-0.2,PIT-0.7,BAL-0.3,PIT-0.8,BAL-1.3,LAA-0.8,SFG-0.4
24,Washington Nationals-3.6,LAA-2.3,CHC-0.8,LAD-1.9,CIN-2.9,TEX-0.5,SFG-1.4,ATH-0.6,MIL-0.7,DET-0.6,CHW-0.8,LAA-0.5,PHI-0.8,LAA-1.6,CHW-0.9,MIL-0.4
25,Chicago White Sox-5.6,MIA-2.6,BOS-0.8,MIL-2.0,PIT-3.5,PHI-0.6,PIT-1.4,WSN-0.8,MIA-0.7,BOS-0.7,ARI-0.9,PHI-0.7,STL-1.0,ATL-1.7,TOR-1.0,KCR-0.6
26,Miami Marlins-6.1,WSN-3.0,LAD-1.4,TEX-3.0,MIA-3.5,SDP-0.7,BOS-1.4,BOS-0.8,CIN-0.8,COL-0.8,ATL-1.0,ARI-0.8,SEA-1.0,PHI-1.9,HOU-1.0,MIN-0.6
27,Los Angeles Angels-6.7,LAD-3.3,ATH-1.5,BAL-3.3,LAA-4.4,SFG-0.8,CHW-1.5,LAA-1.1,PHI-0.8,CHW-0.9,HOU-1.0,CHW-0.8,LAA-1.0,CHW-2.1,MIA-1.0,CHW-0.6
28,Athletics-7.7,COL-5.4,MIA-2.1,WSN-4.2,KCR-5.9,KCR-0.8,MIA-1.5,CIN-1.2,LAA-1.0,SFG-1.0,LAD-1.2,ATH-0.9,CLE-1.7,CLE-2.1,KCR-1.1,CLE-0.8
29,Baltimore Orioles-8.1,ATH-5.8,BAL-3.5,ATH-4.3,CHW-5.9,BAL-1.2,COL-1.7,KCR-1.4,ATH-1.2,CLE-1.2,SDP-1.4,COL-1.4,COL-1.8,KCR-3.1,TEX-1.1,SDP-0.9
30,Colorado Rockies-17.3,BAL-6.8,COL-5.7,LAA-4.5,COL-11.9,COL-1.3,CIN-1.9,COL-2.0,MIN-1.4,MIL-1.7,KCR-1.4,CLE-2.0,KCR-2.0,COL-3.7,COL-1.3,COL-1.3
AVG,0.0,-0.0,0.9,-0.9,0.0,0.1,-0.3,-0.1,0.1,0.5,-0.1,0.2,0.0,0.1,-0.1,-0.3
