Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
11,Philadelphia Phillies1.8,CHW1.6,NYY1.9,TOR-0.3,DET1.9,NYM0.6,MIL0.0,BAL0.1,COL0.3,WSN1.0,SFG0.3,TOR0.5,DET0.3,SFG0.9,ARI0.0,WSN-0.1
12,St. Louis Cardinals1.8,TEX1.4,WSN1.9,CLE-0.4,STL1.5,CHW0.3,ARI-0.1,TBR0.1,KCR0.3,PHI1.0,NYY0.2,DET0.4,MIN0.1,LAD0.9,MIN0.0,BAL-0.2
13,Boston Red Sox1.7,PIT0.9,MIL1.7,CIN-0.4,HOU0.4,MIN0.2,MIN-0.2,PIT0.0,BAL0.2,BAL1.0,MIL0.1,TBR0.4,TEX0.1,MIA0.2,MIL0.0,MIA-0.2
14,Cincinnati Reds1.3,STL0.3,SDP1.5,STL-0.5,MIN-0.1,CLE0.0,LAA-0.2,SEA-0.1,CHC0.2,TEX1.0,TBR-0.3,STL0.4,MIL0.0,STL0.2,DET-0.1,CIN-0.2
15,Kansas City Royals1.0,TOR0.1,LAA1.3,MIA-0.6,MIL-0.5,NYY-0.1,STL-0.2,CLE-0.1,TEX0.2,CIN0.9,LAA-0.3,PIT0.3,MIA-0.1,SDP0.1,STL-0.1,DET-0.2
16,Texas Rangers0.5,MIL-0.1,STL0.9,TBR-0.8,TEX-0.9,PIT-0.1,BAL-0.2,TEX-0.2,DET0.1,PIT0.8,COL-0.3,KCR0.3,WSN-0.1,HOU-0.1,NYM-0.2,LAA-0.3
17,San Diego Padres0.5,CLE-0.2,SFG0.7,CHW-0.9,BAL-1.6,TBR-0.2,ATH-0.3,MIN-0.3,WSN0.0,CHC0.7,CIN-0.5,SDP0.3,SFG-0.2,CIN-0.1,CIN-0.2,STL-0.3
18,Arizona Diamondbacks0.3,TBR-0.9,TOR0.5,PHI-1.0,SFG-1.8,ARI-0.2,KCR-0.4,ATL-0.3,NYY-0.1,STL0.5,TOR-0.5,TEX0.0,ATL-0.3,MIL-0.1,PIT-0.5,MIL-0.3
19,Atlanta Braves0.1,ARI-1.9,CLE0.2,PIT-1.2,WSN-1.8,MIA-0.3,TEX-0.7,SDP-0.3,SEA-0.1,TOR0.2,MIA-0.6,NYM0.0,TOR-0.4,ARI-0.3,SFG-0.6,TEX-0.3
20,Seattle Mariners0.0,ATL-1.9,ARI0.1,SEA-1.4,SDP-2.1,LAA-0.3,SDP-0.8,MIA-0.4,STL-0.1,SDP0.0,BAL-0.6,WSN-0.1,CIN-0.5,TOR-0.4,WSN-0.7,SEA-0.4
21,Milwaukee Brewers-0.6,WSN-2.4,TBR-0.1,ATL-1.6,CIN-2.1,HOU-0.3,WSN-1.2,CHW-0.5,CHW-0.1,MIA-0.1,ATH-0.6,LAA-0.1,LAA-0.6,ATH-1.0,TBR-0.7,SFG-0.4
22,Cleveland Guardians-2.9,LAA-2.6,ATL-0.3,CHC-1.6,PHI-2.3,ATH-0.4,PIT-1.4,PHI-0.7,NYM-0.4,MIN-0.1,PHI-0.8,MIL-0.2,BAL-0.6,LAA-1.0,SDP-0.8,PIT-0.4
23,Pittsburgh Pirates-3.2,CHC-2.7,CHC-1.1,LAD-1.7,ATH-2.5,PHI-0.6,BOS-1.4,HOU-0.7,PIT-0.6,ATL-0.2,ARI-0.9,ATL-0.3,CHW-0.8,BAL-1.6,LAA-0.8,ATH-0.4
24,Washington Nationals-4.2,BOS-2.8,SEA-1.7,MIL-1.9,CLE-2.7,KCR-0.6,SEA-1.4,ATH-0.8,PHI-0.6,BOS-0.6,CHW-1.0,BAL-0.4,STL-1.0,ATL-1.8,KCR-1.0,MIN-0.5
25,Chicago White Sox-5.3,SEA-3.1,LAD-1.8,BAL-2.0,LAA-3.7,SDP-0.7,SFG-1.5,WSN-0.9,MIL-0.7,CHW-0.7,PIT-1.1,PHI-0.8,PHI-1.0,PIT-1.9,TOR-1.0,PHI-0.5
26,Los Angeles Angels-6.3,MIA-3.3,BOS-2.5,ARI-2.0,PIT-4.1,TEX-0.7,CHW-1.5,BOS-1.0,MIA-0.7,DET-0.7,HOU-1.1,CHW-0.9,PIT-1.1,CLE-2.3,CHW-1.0,KCR-0.6
27,Baltimore Orioles-6.6,LAD-3.6,MIA-2.8,TEX-2.9,MIA-4.3,SFG-0.9,HOU-1.5,CIN-1.0,MIN-1.0,COL-1.1,ATL-1.2,ARI-0.9,SEA-1.2,PHI-2.6,HOU-1.1,CHW-0.7
28,Miami Marlins-7.6,BAL-5.0,ATH-2.9,LAA-3.8,KCR-4.7,COL-1.0,CIN-1.6,LAA-1.1,CIN-1.1,CLE-1.2,KCR-1.3,ATH-1.0,COL-1.7,CHW-2.7,MIA-1.1,SDP-1.0
29,Athletics-9.4,COL-5.5,BAL-3.0,ATH-4.0,CHW-6.9,WSN-1.1,COL-1.7,KCR-1.4,LAA-1.3,SFG-1.4,LAD-1.4,COL-1.8,CLE-1.9,KCR-3.3,COL-1.2,CLE-1.0
30,Colorado Rockies-17.1,ATH-6.9,COL-5.9,WSN-4.3,COL-11.6,BAL-1.1,MIA-1.7,COL-1.9,ATH-1.6,MIL-1.7,SDP-1.6,CLE-2.2,KCR-2.3,COL-3.8,TEX-1.2,COL-1.2
AVG,0.0,-0.0,0.8,-0.8,0.0,0.1,-0.3,-0.1,0.1,0.5,-0.2,0.2,0.0,0.0,-0.1,-0.3
