Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
15,San Francisco Giants1.2,ATL-0.4,STL1.0,CIN-0.8,WSN-0.6,NYY-0.1,MIN-0.4,MIA0.0,DET0.1,CIN0.6,TOR-0.2,SDP0.4,MIL-0.1,HOU0.3,STL-0.1,DET-0.2
16,Cincinnati Reds0.9,TOR-0.6,MIL1.0,ATL-0.8,MIN-0.7,HOU-0.2,LAA-0.4,BAL-0.1,WSN0.0,CHC0.6,COL-0.3,DET0.3,CIN-0.2,MIA0.2,CIN-0.2,PHI-0.3
17,Kansas City Royals0.8,MIL-1.3,ATL0.4,TOR-0.9,MIL-0.7,ARI-0.2,STL-0.6,PIT-0.1,KCR0.0,STL0.6,TBR-0.4,NYM0.1,BAL-0.2,TOR0.0,PIT-0.3,STL-0.3
18,Arizona Diamondbacks0.7,SEA-1.4,TOR0.3,CLE-0.9,PHI-1.1,ATH-0.2,KCR-0.8,CHW-0.2,CHC0.0,PHI0.5,CIN-0.4,PIT0.1,SFG-0.2,CIN0.0,NYM-0.3,BAL-0.3
19,Texas Rangers0.1,CLE-1.4,SFG0.2,PIT-0.9,BAL-1.2,MIA-0.3,TEX-0.8,PHI-0.2,STL-0.1,TOR0.3,ATH-0.4,TEX0.0,ATL-0.3,ARI-0.2,SDP-0.5,SEA-0.3
20,San Diego Padres-0.1,ARI-1.4,ARI0.2,TBR-1.0,SDP-1.3,LAA-0.3,SDP-0.8,ATL-0.4,SEA-0.1,MIN0.0,BAL-0.5,WSN-0.1,WSN-0.4,MIL-0.3,WSN-0.5,TEX-0.3
21,Milwaukee Brewers-2.0,BOS-1.6,CLE-0.5,CHC-1.2,SFG-1.5,PIT-0.3,WSN-1.0,MIN-0.5,NYM-0.2,SDP0.0,PHI-0.5,MIL-0.1,TOR-0.4,BAL-1.0,TBR-0.5,LAA-0.3
22,Pittsburgh Pirates-2.8,TBR-1.7,SEA-0.6,ARI-1.6,CLE-2.1,WSN-0.4,SEA-1.1,HOU-0.5,NYY-0.2,ATL-0.2,ARI-0.7,ATL-0.3,PHI-0.7,ATH-1.0,SFG-0.6,SFG-0.4
23,Washington Nationals-3.2,LAA-1.8,CHC-0.7,CHW-1.6,ATH-2.2,TBR-0.4,HOU-1.1,WSN-0.6,MIA-0.6,MIA-0.5,MIA-0.7,BAL-0.3,CHW-0.7,LAA-1.5,LAA-0.7,PIT-0.4
24,Cleveland Guardians-3.5,CHC-2.0,TBR-0.7,LAD-1.8,CIN-2.5,PHI-0.5,PIT-1.3,TEX-0.6,PIT-0.7,COL-0.6,PIT-0.8,LAA-0.5,STL-0.8,ATL-1.5,TOR-0.9,MIL-0.4
25,Chicago White Sox-5.7,MIA-2.5,BOS-1.0,MIL-2.3,MIA-3.8,TEX-0.5,BOS-1.4,ATH-0.8,PHI-0.7,DET-0.7,ATL-0.9,ARI-0.8,PIT-0.9,PIT-1.6,CHW-1.0,MIN-0.5
26,Los Angeles Angels-5.9,WSN-2.6,LAD-1.2,TEX-3.2,PIT-4.0,SDP-0.8,SFG-1.5,BOS-1.0,MIL-0.8,BOS-0.8,CHW-0.9,CHW-0.8,LAA-0.9,PHI-2.0,HOU-1.0,KCR-0.6
27,Miami Marlins-6.3,LAD-3.0,ATH-1.4,BAL-3.3,LAA-4.1,SFG-0.8,CHW-1.5,CIN-1.1,CIN-0.8,CHW-0.9,HOU-1.0,PHI-0.8,SEA-1.0,CLE-2.2,MIA-1.0,CHW-0.6
28,Athletics-7.2,ATH-5.0,MIA-1.9,ATH-3.6,KCR-5.5,KCR-0.9,MIA-1.5,LAA-1.1,LAA-1.0,SFG-1.0,LAD-1.1,ATH-0.9,CLE-1.8,CHW-2.4,KCR-1.1,CLE-0.8
29,Baltimore Orioles-8.0,COL-5.5,BAL-3.5,WSN-4.0,CHW-6.0,COL-1.2,COL-1.6,KCR-1.3,ATH-1.2,CLE-1.2,KCR-1.2,COL-1.3,COL-1.9,KCR-2.7,TEX-1.1,SDP-0.9
30,Colorado Rockies-16.8,BAL-6.8,COL-5.6,LAA-4.6,COL-11.3,BAL-1.2,CIN-1.8,COL-2.1,MIN-1.3,MIL-1.9,SDP-1.3,CLE-1.9,KCR-1.9,COL-3.5,COL-1.3,COL-1.3
AVG,0.0,-0.0,0.9,-0.9,0.0,0.1,-0.3,-0.1,0.1,0.4,-0.1,0.2,0.0,0.1,-0.1,-0.3
