game_pk,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9,home_bp_era_rolling_5,away_bp_era_rolling_5,home_bp_era_rolling_10,away_bp_era_rolling_10,home_bp_whip_rolling_5,away_bp_whip_rolling_5,home_bp_whip_rolling_10,away_bp_whip_rolling_10,home_bp_k_per_9_rolling_5,away_bp_k_per_9_rolling_5,home_bp_k_per_9_rolling_10,away_bp_k_per_9_rolling_10,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10,home_bp_hr_per_9_rolling_10,away_bp_hr_per_9_rolling_10,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
5057797,2.0,3.7,3,3,1.5,0.82,0,0,0.0,0.0,0,0,0.0,0.0,4,2,2.0,0.55,0,0,0.0,0.0,0.0,0.0,1.5,0.82,18.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.818174380232907,1.5,0.818174380232907,18.0,4.909046281397441,18.0,4.909046281397441,,,,,0.0,0.0,0.0,0.0
5057798,4.0,7.3,4,7,1.0,0.95,3,6,0.75,0.82,0,7,0.0,0.95,3,9,0.75,1.23,1,2,0.25,0.27,6.75,7.36,1.0,1.91,6.75,11.05,0.0,1.29,2.25,2.45,0.0,8.59,6.75,7.363669834862885,6.75,7.363669834862885,1.0,1.909099586816304,1.0,1.909099586816304,6.75,11.045504752294327,6.75,11.045504752294327,,1.2857142857142858,,1.2857142857142858,2.25,2.4545566116209616,0.0,8.590948140673365
5057799,7.7,7.7,7,1,0.91,0.13,4,0,0.52,0.0,6,4,0.78,0.52,10,9,1.3,1.17,3,0,0.39,0.0,4.7,0.0,1.7,0.65,11.74,10.57,1.67,2.25,3.52,0.0,7.04,4.7,4.695693006026139,0.0,4.695693006026139,0.0,1.6956669188427724,0.6521710775170543,1.6956669188427724,0.6521710775170543,11.739232515065348,10.56517145577628,11.739232515065348,10.56517145577628,1.6666666666666667,2.25,1.6666666666666667,2.25,3.521769754519604,0.0,7.043539509039208,4.695631758122791
5057800,4.0,6.3,2,9,0.5,1.42,1,10,0.25,1.58,2,8,0.5,1.26,9,1,2.25,0.16,1,2,0.25,0.32,2.25,14.21,1.0,2.68,20.25,1.42,4.5,0.12,2.25,2.84,4.5,11.37,2.25,14.210601108426886,2.25,14.210601108426886,1.0,2.684224653813968,1.0,2.684224653813968,20.25,1.4210601108426886,20.25,1.4210601108426886,4.5,0.125,4.5,0.125,2.25,2.842120221685377,4.5,11.368480886741509
5057801,3.0,4.0,2,5,0.67,1.25,0,2,0.0,0.5,0,0,0.0,0.0,2,5,0.67,1.25,0,0,0.0,0.0,0.0,4.5,0.67,1.25,6.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.6666666666666666,1.25,0.6666666666666666,1.25,6.0,11.25,6.0,11.25,,,,,0.0,0.0,0.0,0.0
5057802,7.7,6.3,4,1,0.52,0.16,1,0,0.13,0.0,5,3,0.65,0.47,8,7,1.04,1.11,1,0,0.13,0.0,1.17,0.0,1.17,0.63,9.39,9.95,1.6,2.33,1.17,0.0,5.87,4.26,1.1739079395306975,0.0,1.1739079395306975,0.0,1.1739079395306975,0.6315722992389554,1.1739079395306975,0.6315722992389554,9.391263516245582,9.947263713013546,9.391263516245582,9.947263713013546,1.6,2.333333333333333,1.6,2.333333333333333,1.1739079395306975,0.0,5.869539697653488,4.263113019862948
5057803,10.0,6.0,10,3,1.0,0.5,6,1,0.6,0.17,5,4,0.5,0.67,9,8,0.9,1.33,1,1,0.1,0.17,5.4,1.5,1.5,1.17,8.1,12.0,1.8,2.0,0.9,1.5,4.5,6.0,5.4,1.5,5.4,1.5,1.5,1.1666666666666667,1.5,1.1666666666666667,8.1,12.0,8.1,12.0,1.8,2.0,1.8,2.0,0.9,1.5,4.5,6.0
5057804,8.7,7.3,4,7,0.46,0.95,0,5,0.0,0.68,2,3,0.23,0.41,8,3,0.92,0.41,0,1,0.0,0.14,0.0,6.14,0.69,1.36,8.31,3.68,4.0,1.0,0.0,1.23,2.08,3.68,0.0,6.136391529052405,0.0,6.136391529052405,0.6923050295960401,1.3636425620116457,0.6923050295960401,1.3636425620116457,8.307660355152482,3.681834917431443,8.307660355152482,3.681834917431443,4.0,1.0,4.0,1.0,0.0,1.227278305810481,2.0769150887881205,3.681834917431443
5057805,6.7,7.0,9,3,1.35,0.43,3,3,0.45,0.43,3,1,0.45,0.14,7,10,1.05,1.43,1,2,0.15,0.29,4.05,3.86,1.8,0.57,9.45,12.86,2.33,10.0,1.35,2.57,4.05,1.29,4.049979750101249,3.857142857142857,4.049979750101249,3.857142857142857,1.7999910000449997,0.5714285714285714,1.7999910000449997,0.5714285714285714,9.449952750236248,12.857142857142858,9.449952750236248,12.857142857142858,2.333333333333333,10.0,2.333333333333333,10.0,1.3499932500337497,2.571428571428572,4.049979750101249,1.2857142857142858
5057806,6.0,6.3,4,11,0.67,1.74,1,8,0.17,1.26,1,3,0.17,0.47,7,6,1.17,0.95,0,1,0.0,0.16,1.5,11.37,0.83,2.21,10.5,8.53,7.0,2.0,0.0,1.42,1.5,4.26,1.5,11.36848088674151,1.5,11.36848088674151,0.8333333333333334,2.210537950199738,0.8333333333333334,2.210537950199738,10.5,8.526360665056133,10.5,8.526360665056133,7.0,2.0,7.0,2.0,0.0,1.4210601108426888,1.5,4.263180332528067
5057807,6.3,7.3,4,6,0.63,0.82,2,2,0.32,0.27,1,4,0.16,0.55,10,8,1.58,1.09,0,0,0.0,0.0,2.84,2.45,0.79,1.36,14.21,9.82,10.0,2.0,0.0,0.0,1.42,4.91,2.842120221685377,2.454523140698721,2.842120221685377,2.454523140698721,0.7894778393570492,1.3636239670548451,0.7894778393570492,1.3636239670548451,14.210601108426886,9.818092562794885,14.210601108426886,9.818092562794885,10.0,2.0,10.0,2.0,0.0,0.0,1.4210601108426886,4.909046281397442
5057808,8.0,9.3,10,7,1.25,0.75,4,0,0.5,0.0,2,3,0.25,0.32,7,11,0.88,1.18,1,0,0.12,0.0,4.5,0.0,1.5,1.07,7.88,10.61,3.5,3.67,1.12,0.0,2.25,2.89,4.5,0.0,4.5,0.0,1.5,1.07143239797285,1.5,1.07143239797285,7.875,10.607180739931216,7.875,10.607180739931216,3.5,3.6666666666666665,3.5,3.6666666666666665,1.125,0.0,2.25,2.8928674745266947
5057809,8.7,8.7,7,13,0.81,1.5,6,5,0.69,0.58,5,6,0.58,0.69,12,5,1.38,0.58,2,1,0.23,0.12,6.23,5.19,1.38,2.19,12.46,5.19,2.4,0.83,2.08,1.04,5.19,6.23,6.230745266364361,5.1922877219703,6.230745266364361,5.1922877219703,1.3846100591920802,2.19229926038746,1.3846100591920802,2.19229926038746,12.461490532728725,5.1922877219703,12.461490532728725,5.1922877219703,2.4,0.8333333333333334,2.4,0.8333333333333334,2.0769150887881205,1.03845754439406,5.192287721970301,6.23074526636436
5057810,10.0,9.3,8,5,0.8,0.54,5,1,0.5,0.11,5,7,0.5,0.75,13,11,1.3,1.18,1,1,0.1,0.11,4.5,0.96,1.3,1.29,11.7,10.61,2.6,1.57,0.9,0.96,4.5,6.75,4.5,0.9642891581755648,4.5,0.9642891581755648,1.3,1.2857188775674198,1.3,1.2857188775674198,11.7,10.607180739931213,11.7,10.607180739931213,2.6,1.5714285714285714,2.6,1.5714285714285714,0.9,0.9642891581755648,4.5,6.7500241072289535
5057811,4.0,7.3,4,6,1.0,0.82,0,1,0.0,0.14,0,1,0.0,0.14,6,5,1.5,0.68,0,0,0.0,0.0,0.0,1.23,1.0,0.95,13.5,6.14,0.0,5.0,0.0,0.0,0.0,1.23,0.0,1.2272615703493603,0.0,1.2272615703493603,1.0,0.9545367769383916,1.0,0.9545367769383916,13.5,6.136307851746802,13.5,6.136307851746802,,5.0,,5.0,0.0,0.0,0.0,1.2272615703493603
